"State","Condition","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AL,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),134,"25, 26",10/01/2019,09/30/2020
AL,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,214,25,10/01/2019,09/30/2020
AL,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),266,25,10/01/2019,09/30/2020
AL,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),190,25,10/01/2019,09/30/2020
AL,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),166,25,10/01/2019,09/30/2020
AL,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),260,25,10/01/2019,09/30/2020
AL,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,70,"25, 26",10/01/2019,09/30/2020
AL,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2019,12/31/2019
AL,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,66,25,10/01/2019,09/30/2020
AL,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,84,26,01/01/2019,12/31/2019
AL,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2019,12/31/2019
AL,Cancer care,OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,81,26,01/01/2019,12/31/2019
AL,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,71,"25, 26",10/01/2019,09/30/2020
AL,Pregnancy and Delivery Care,PC_01,"Percent of mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessaryLower percentages are better",2,26,10/01/2019,09/30/2020
AL,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,61,26,10/01/2019,09/30/2020
AL,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,86,26,10/01/2019,09/30/2020
AL,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,82,26,10/01/2019,09/30/2020
AL,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,79,26,10/01/2019,09/30/2020
AL,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,91,26,10/01/2019,09/30/2020
AR,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,91,,10/01/2019,03/31/2020
AR,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,121,"25, 26",10/01/2019,09/30/2020
AR,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),150,"25, 26",10/01/2019,09/30/2020
AR,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),107,"25, 26",10/01/2019,09/30/2020
AR,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),152,"25, 26",10/01/2019,09/30/2020
AR,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),162,"25, 26",10/01/2019,09/30/2020
AR,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,198,25,10/01/2019,09/30/2020
AR,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),262,25,10/01/2019,09/30/2020
AR,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),173,25,10/01/2019,09/30/2020
AR,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),278,25,10/01/2019,09/30/2020
AR,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),302,25,10/01/2019,09/30/2020
AR,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,41,"25, 26",10/01/2019,09/30/2020
AR,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2019,12/31/2019
AR,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,76,25,10/01/2019,09/30/2020
AR,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,88,26,01/01/2019,12/31/2019
AR,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2019,12/31/2019
AR,Cancer care,OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,84,26,01/01/2019,12/31/2019
AR,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,64,"25, 26",10/01/2019,09/30/2020
AR,Pregnancy and Delivery Care,PC_01,"Percent of mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessaryLower percentages are better",2,26,10/01/2019,09/30/2020
AR,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,64,26,10/01/2019,09/30/2020
AR,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,88,26,10/01/2019,09/30/2020
AR,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,83,26,10/01/2019,09/30/2020
AR,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,80,26,10/01/2019,09/30/2020
AR,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,90,26,10/01/2019,09/30/2020
AS,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,Not Available,5,10/01/2019,03/31/2020
AS,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),Not Available,5,10/01/2019,09/30/2020
AS,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,Not Available,5,10/01/2019,09/30/2020
AS,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,Not Available,5,01/01/2019,12/31/2019
AS,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,Not Available,5,10/01/2019,09/30/2020
AS,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,Not Available,5,01/01/2019,12/31/2019
AS,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2019,12/31/2019
AS,Cancer care,OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,Not Available,5,01/01/2019,12/31/2019
AS,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,Not Available,5,10/01/2019,09/30/2020
AS,Pregnancy and Delivery Care,PC_01,"Percent of mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessaryLower percentages are better",Not Available,5,10/01/2019,09/30/2020
AS,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,Not Available,5,10/01/2019,09/30/2020
AS,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,Not Available,5,10/01/2019,09/30/2020
AS,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,Not Available,5,10/01/2019,09/30/2020
AS,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,Not Available,5,10/01/2019,09/30/2020
AS,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,Not Available,5,10/01/2019,09/30/2020
AZ,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,89,,10/01/2019,03/31/2020
AZ,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,164,"25, 26",10/01/2019,09/30/2020
AZ,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),183,"25, 26",10/01/2019,09/30/2020
AZ,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),120,"25, 26",10/01/2019,09/30/2020
AZ,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),155,"25, 26",10/01/2019,09/30/2020
AZ,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),206,"25, 26",10/01/2019,09/30/2020
AZ,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,305,25,10/01/2019,09/30/2020
AZ,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),269,25,10/01/2019,09/30/2020
AZ,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),197,25,10/01/2019,09/30/2020
AZ,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),316,25,10/01/2019,09/30/2020
AZ,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),442,25,10/01/2019,09/30/2020
AZ,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,50,"25, 26",10/01/2019,09/30/2020
AZ,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2019,12/31/2019
AZ,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,72,25,10/01/2019,09/30/2020
AZ,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,92,26,01/01/2019,12/31/2019
AZ,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2019,12/31/2019
AZ,Cancer care,OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,96,26,01/01/2019,12/31/2019
AZ,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,62,"25, 26",10/01/2019,09/30/2020
AZ,Pregnancy and Delivery Care,PC_01,"Percent of mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessaryLower percentages are better",2,26,10/01/2019,09/30/2020
AZ,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,56,26,10/01/2019,09/30/2020
AZ,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,84,26,10/01/2019,09/30/2020
AZ,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,73,26,10/01/2019,09/30/2020
AZ,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,77,26,10/01/2019,09/30/2020
AZ,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,87,26,10/01/2019,09/30/2020
CA,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,85,,10/01/2019,03/31/2020
CA,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,161,"25, 26",10/01/2019,09/30/2020
CA,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),160,"25, 26",10/01/2019,09/30/2020
CA,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),132,"25, 26",10/01/2019,09/30/2020
CA,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),152,"25, 26",10/01/2019,09/30/2020
CA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),189,"25, 26",10/01/2019,09/30/2020
CA,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,270,25,10/01/2019,09/30/2020
CA,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),234,25,10/01/2019,09/30/2020
CA,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),193,25,10/01/2019,09/30/2020
CA,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),262,25,10/01/2019,09/30/2020
CA,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),306,25,10/01/2019,09/30/2020
CA,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,59,"25, 26",10/01/2019,09/30/2020
CA,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2019,12/31/2019
CA,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,72,25,10/01/2019,09/30/2020
CA,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,91,26,01/01/2019,12/31/2019
CA,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,72,,01/01/2019,12/31/2019
CA,Cancer care,OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,91,26,01/01/2019,12/31/2019
CA,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,74,"25, 26",10/01/2019,09/30/2020
CA,Pregnancy and Delivery Care,PC_01,"Percent of mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessaryLower percentages are better",2,26,10/01/2019,09/30/2020
CA,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,64,26,10/01/2019,09/30/2020
CA,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,88,26,10/01/2019,09/30/2020
CA,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,78,26,10/01/2019,09/30/2020
CA,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,82,26,10/01/2019,09/30/2020
CA,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,91,26,10/01/2019,09/30/2020
CO,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,97,,10/01/2019,03/31/2020
CO,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,138,"25, 26",10/01/2019,09/30/2020
CO,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),163,"25, 26",10/01/2019,09/30/2020
CO,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),127,"25, 26",10/01/2019,09/30/2020
CO,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),153,"25, 26",10/01/2019,09/30/2020
CO,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),152,"25, 26",10/01/2019,09/30/2020
CO,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,241,25,10/01/2019,09/30/2020
CO,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),256,25,10/01/2019,09/30/2020
CO,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),223,25,10/01/2019,09/30/2020
CO,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),259,25,10/01/2019,09/30/2020
CO,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),276,25,10/01/2019,09/30/2020
CO,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,61,"25, 26",10/01/2019,09/30/2020
CO,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,1,"25, 26",01/01/2019,12/31/2019
CO,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,71,25,10/01/2019,09/30/2020
CO,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,95,26,01/01/2019,12/31/2019
CO,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2019,12/31/2019
CO,Cancer care,OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,92,26,01/01/2019,12/31/2019
CO,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,43,"25, 26",10/01/2019,09/30/2020
CO,Pregnancy and Delivery Care,PC_01,"Percent of mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessaryLower percentages are better",3,26,10/01/2019,09/30/2020
CO,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,66,26,10/01/2019,09/30/2020
CO,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,89,26,10/01/2019,09/30/2020
CO,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,81,26,10/01/2019,09/30/2020
CO,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,83,26,10/01/2019,09/30/2020
CO,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,91,26,10/01/2019,09/30/2020
CT,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,90,,10/01/2019,03/31/2020
CT,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,155,"25, 26",10/01/2019,09/30/2020
CT,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),171,"25, 26",10/01/2019,09/30/2020
CT,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),124,"25, 26",10/01/2019,09/30/2020
CT,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),149,"25, 26",10/01/2019,09/30/2020
CT,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),164,"25, 26",10/01/2019,09/30/2020
CT,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,296,25,10/01/2019,09/30/2020
