SRA_ID	Sample	GEO_ID	Donor	Tissue	Treatment	Disease	ERCC_Mix
SRX6072834	SRR9304176	GSM3891521	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072834	SRR9304177	GSM3891521	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072835	SRR9304178	GSM3891522	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072835	SRR9304179	GSM3891522	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072836	SRR9304180	GSM3891523	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072836	SRR9304181	GSM3891523	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072837	SRR9304182	GSM3891524	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072837	SRR9304183	GSM3891524	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072838	SRR9304184	GSM3891525	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072838	SRR9304185	GSM3891525	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072839	SRR9304186	GSM3891526	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072839	SRR9304187	GSM3891526	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072840	SRR9304188	GSM3891527	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072840	SRR9304189	GSM3891527	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072841	SRR9304190	GSM3891528	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072841	SRR9304191	GSM3891528	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072842	SRR9304192	GSM3891529	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072842	SRR9304193	GSM3891529	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072843	SRR9304194	GSM3891530	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072843	SRR9304195	GSM3891530	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072844	SRR9304196	GSM3891531	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072844	SRR9304197	GSM3891531	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072845	SRR9304198	GSM3891532	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
SRX6072845	SRR9304199	GSM3891532	strain: C57BL/6	ASM	cell typ: CD4+ T cell	nonasthma	strain: C57BL/6
