SRA_ID	Sample	Run	GEO_ID	Donor	Tissue	Treatment	Time	Status	ERCC_Mix	Disease	R1	R2
SRX6072835	SRX6072835	SRR9304178	GSM3891522	Donor_2	CD4_Tcell	IL6_TGFb	48	IL6_TGFb_48	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072835_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072835_R2.fastq.gz
SRX6072836	SRX6072836	SRR9304181	GSM3891523	Donor_3	CD4_Tcell	IL6_TGFb	48	IL6_TGFb_48	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072836_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072836_R2.fastq.gz
SRX6072837	SRX6072837	SRR9304182	GSM3891524	Donor_1	CD4_Tcell	IL6_rmSAA1	3	IL6_rmSAA1_3	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072837_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072837_R2.fastq.gz
SRX6072838	SRX6072838	SRR9304185	GSM3891525	Donor_2	CD4_Tcell	IL6_rmSAA1	3	IL6_rmSAA1_3	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072838_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072838_R2.fastq.gz
SRX6072839	SRX6072839	SRR9304186	GSM3891526	Donor_3	CD4_Tcell	IL6_rmSAA1	3	IL6_rmSAA1_3	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072839_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072839_R2.fastq.gz
SRX6072840	SRX6072840	SRR9304189	GSM3891527	Donor_1	CD4_Tcell	IL6_rmSAA1	12	IL6_rmSAA1_12	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072840_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072840_R2.fastq.gz
SRX6072841	SRX6072841	SRR9304190	GSM3891528	Donor_2	CD4_Tcell	IL6_rmSAA1	12	IL6_rmSAA1_12	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072841_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072841_R2.fastq.gz
SRX6072842	SRX6072842	SRR9304193	GSM3891529	Donor_3	CD4_Tcell	IL6_rmSAA1	12	IL6_rmSAA1_12	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072842_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072842_R2.fastq.gz
SRX6072843	SRX6072843	SRR9304194	GSM3891530	Donor_1	CD4_Tcell	IL6_rmSAA1	48	IL6_rmSAA1_48	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072843_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072843_R2.fastq.gz
SRX6072844	SRX6072844	SRR9304197	GSM3891531	Donor_2	CD4_Tcell	IL6_rmSAA1	48	IL6_rmSAA1_48	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072844_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072844_R2.fastq.gz
SRX6072845	SRX6072845	SRR9304199	GSM3891532	Donor_3	CD4_Tcell	IL6_rmSAA1	48	IL6_rmSAA1_48	-	-	/projects/RNASeq/SRP201470/merged_fastq/SRX6072845_R1.fastq.gz	/projects/RNASeq/SRP201470/merged_fastq/SRX6072845_R2.fastq.gz
