# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0.5 FPKM in experiment E-MTAB-5214
# Selected columns: 13/53 
# Timestamp: Fri, 16-Nov-2018 14:20:14
Gene ID	Gene Name	Brodmann (1909) area 24	Brodmann (1909) area 9	amygdala	caudate nucleus	cerebellar hemisphere	cerebellum	cerebral cortex	hippocampus proper	hypothalamus	nucleus accumbens	pituitary gland	putamen	substantia nigra
ENSG00000006555	TTC22				0.5						1.0	3.0		
ENSG00000006576	PHTF2	1.0	2.0	1.0	1.0	3.0	3.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0
ENSG00000006606	CCL26											4.0		
ENSG00000006607	FARP2	1.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0
ENSG00000006611	USH1C			0.7	3.0			0.9	3.0	2.0	0.5	3.0	3.0	4.0
ENSG00000006625	GGCT	11.0	12.0	7.0	7.0	8.0	7.0	12.0	7.0	8.0	7.0	8.0	7.0	7.0
ENSG00000006634	DBF4	0.6	0.7		0.8	1.0	1.0	0.8	0.5	0.6	0.9	0.9	0.7	
ENSG00000006638	TBXA2R	0.5		0.5				0.5	0.5	0.6		0.9	0.5	0.5
ENSG00000006652	IFRD1	4.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	12.0	4.0	5.0
ENSG00000006695	COX10	2.0	2.0	1.0	2.0	3.0	3.0	3.0	1.0	2.0	2.0	2.0	2.0	2.0
ENSG00000006704	GTF2IRD1	2.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	2.0	14.0	2.0	2.0
ENSG00000006712	PAF1	16.0	18.0	15.0	16.0	24.0	24.0	19.0	16.0	18.0	15.0	31.0	17.0	19.0
ENSG00000006715	VPS41	9.0	11.0	7.0	7.0	6.0	6.0	10.0	7.0	9.0	8.0	10.0	7.0	8.0
ENSG00000006740	ARHGAP44	6.0	7.0	3.0	4.0	11.0	11.0	7.0	4.0	5.0	5.0	6.0	3.0	2.0
ENSG00000006744	ELAC2	6.0	7.0	5.0	6.0	8.0	9.0	8.0	5.0	6.0	6.0	8.0	6.0	6.0
ENSG00000006747	SCIN				0.9				0.5	0.6	1.0	0.7	0.6	0.9
ENSG00000006756	ARSD	1.0	1.0	1.0	1.0	0.9	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0
ENSG00000006757	PNPLA4	4.0	4.0	4.0	5.0	2.0	2.0	4.0	3.0	5.0	5.0	5.0	5.0	5.0
ENSG00000006831	ADIPOR2	10.0	11.0	15.0	15.0	8.0	9.0	12.0	18.0	16.0	11.0	14.0	15.0	27.0
ENSG00000006837	CDKL3		0.5		0.5	0.6	0.6	0.5	0.5	0.6	0.5	0.6		0.5
ENSG00000007001	UPP2	1.0	1.0	1.0	0.7	0.6	0.7	1.0	1.0	0.5	1.0		0.5	
ENSG00000007047	MARK4	10.0	10.0	7.0	10.0	7.0	8.0	11.0	9.0	7.0	9.0	7.0	10.0	5.0
ENSG00000007062	PROM1	0.9	0.7	1.0	0.9			0.7	1.0	1.0	0.6		0.7	1.0
ENSG00000007080	CCDC124	37.0	37.0	28.0	26.0	23.0	23.0	39.0	29.0	30.0	27.0	22.0	27.0	31.0
ENSG00000007129	CEACAM21									2.0				2.0
ENSG00000007168	PAFAH1B1	23.0	31.0	17.0	19.0	46.0	38.0	28.0	18.0	25.0	20.0	22.0	17.0	19.0
ENSG00000007171	NOS2	0.7	2.0			0.6	0.6	2.0				0.9		
ENSG00000007174	DNAH9				0.6				0.7	0.8	0.7			
ENSG00000007202	KIAA0100	9.0	9.0	6.0	8.0	11.0	13.0	11.0	7.0	8.0	8.0	14.0	7.0	7.0
ENSG00000007237	GAS7	28.0	41.0	20.0	29.0	98.0	72.0	37.0	25.0	14.0	37.0	1.0	32.0	22.0
ENSG00000007255	TRAPPC6A	10.0	9.0	9.0	11.0	6.0	7.0	10.0	10.0	9.0	11.0	12.0	11.0	12.0
ENSG00000007264	MATK	14.0	15.0	8.0	7.0	0.7	0.8	16.0	12.0	5.0	9.0	0.9	8.0	2.0
ENSG00000007312	CD79B											14.0		
ENSG00000007314	SCN4A											1.0		
ENSG00000007341	ST7L	0.6	0.7	0.6	0.7	1.0	1.0	0.7	0.6	0.8	0.7	2.0	0.6	0.6
ENSG00000007350	TKTL1											0.5		
ENSG00000007372	PAX6	2.0	2.0	2.0	2.0	17.0	16.0	2.0	1.0	1.0	2.0	1.0	2.0	0.8
ENSG00000007376	RPUSD1	8.0	8.0	5.0	6.0	7.0	8.0	10.0	5.0	5.0	5.0	6.0	5.0	4.0
ENSG00000007384	RHBDF1	3.0	2.0	4.0	4.0	2.0	3.0	4.0	3.0	3.0	4.0	5.0	3.0	3.0
ENSG00000007392	LUC7L	12.0	12.0	10.0	11.0	22.0	21.0	14.0	12.0	12.0	11.0	29.0	10.0	10.0
ENSG00000007402	CACNA2D2	3.0	3.0	1.0	4.0	11.0	14.0	3.0	1.0	8.0	5.0	7.0	3.0	3.0
ENSG00000007516	BAIAP3	26.0	24.0	17.0	7.0			39.0	14.0	68.0	17.0	284.0	4.0	5.0
ENSG00000007520	TSR3	25.0	25.0	23.0	24.0	21.0	22.0	26.0	23.0	21.0	25.0	20.0	24.0	26.0
ENSG00000007541	PIGQ	8.0	9.0	6.0	7.0	10.0	12.0	12.0	7.0	8.0	8.0	18.0	6.0	5.0
ENSG00000007545	CRAMP1	2.0	2.0	2.0	2.0	10.0	11.0	3.0	2.0	2.0	2.0	5.0	1.0	2.0
ENSG00000007866	TEAD3	1.0	1.0	2.0	2.0		0.7	1.0	1.0	1.0	2.0	6.0	2.0	1.0
ENSG00000007923	DNAJC11	4.0	5.0	3.0	3.0	6.0	7.0	5.0	3.0	3.0	4.0	5.0	3.0	3.0
ENSG00000007933	FMO3									0.5		2.0		
ENSG00000007944	MYLIP	4.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	3.0	5.0	5.0	6.0
ENSG00000008018	PSMB1	23.0	23.0	21.0	25.0	24.0	23.0	24.0	22.0	29.0	26.0	50.0	24.0	25.0
ENSG00000008056	SYN1	115.0	129.0	48.0	31.0	80.0	95.0	151.0	60.0	62.0	45.0	22.0	28.0	24.0
ENSG00000008083	JARID2	4.0	4.0	3.0	3.0	15.0	15.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0
ENSG00000008086	CDKL5	3.0	5.0	2.0	3.0	2.0	1.0	4.0	2.0	2.0	3.0	1.0	3.0	1.0
ENSG00000008118	CAMK1G	18.0	25.0	5.0	13.0	1.0	1.0	30.0	7.0	8.0	20.0	3.0	12.0	2.0
ENSG00000008128	CDK11A	1.0	1.0	1.0	1.0	5.0	6.0	2.0	1.0	2.0	1.0	6.0	1.0	1.0
ENSG00000008130	NADK	7.0	7.0	6.0	7.0	9.0	10.0	9.0	6.0	7.0	7.0	15.0	7.0	7.0
ENSG00000008196	TFAP2B					2.0	2.0							
ENSG00000008226	DLEC1				0.5					1.0	0.6	8.0		
ENSG00000008256	CYTH3	9.0	9.0	6.0	7.0	9.0	11.0	11.0	7.0	5.0	6.0	6.0	7.0	6.0
ENSG00000008277	ADAM22	5.0	8.0	3.0	4.0	28.0	24.0	6.0	4.0	5.0	4.0	2.0	3.0	4.0
ENSG00000008282	SYPL1	9.0	9.0	11.0	14.0	6.0	6.0	8.0	15.0	14.0	9.0	17.0	14.0	24.0
ENSG00000008283	CYB561	7.0	9.0	4.0	6.0	2.0	3.0	11.0	4.0	12.0	9.0	38.0	5.0	3.0
ENSG00000008294	SPAG9	12.0	12.0	15.0	13.0	16.0	16.0	12.0	15.0	14.0	12.0	11.0	12.0	17.0
ENSG00000008300	CELSR3	3.0	4.0	2.0	2.0	16.0	19.0	5.0	2.0	3.0	3.0	13.0	2.0	1.0
ENSG00000008311	AASS	2.0	2.0	3.0	3.0	0.6	1.0	2.0	2.0	2.0	2.0	5.0	2.0	3.0
ENSG00000008323	PLEKHG6											3.0		
ENSG00000008324	SS18L2	10.0	11.0	8.0	10.0	14.0	12.0	10.0	9.0	10.0	11.0	11.0	9.0	9.0
ENSG00000008382	MPND	9.0	9.0	6.0	4.0	5.0	5.0	10.0	5.0	5.0	5.0	5.0	4.0	5.0
ENSG00000008394	MGST1	7.0	4.0	8.0	11.0	2.0	3.0	5.0	5.0	9.0	10.0	0.9	7.0	10.0
ENSG00000008405	CRY1	2.0	3.0	3.0	3.0	11.0	11.0	3.0	3.0	3.0	3.0	5.0	2.0	3.0
ENSG00000008438	PGLYRP1					0.6	0.9					0.5		
ENSG00000008441	NFIX	28.0	31.0	20.0	21.0	76.0	73.0	33.0	27.0	17.0	16.0	9.0	20.0	21.0
ENSG00000008513	ST3GAL1	3.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	5.0	1.0	2.0
ENSG00000008516	MMP25					0.5	0.6					0.6		
ENSG00000008517	IL32	0.8	0.7	0.8	0.8	0.5	0.6	0.8	0.9	1.0	0.7	2.0	1.0	1.0
ENSG00000008710	PKD1	15.0	19.0	8.0	9.0	130.0	151.0	29.0	10.0	13.0	10.0	54.0	9.0	7.0
ENSG00000008735	MAPK8IP2	56.0	52.0	49.0	22.0	72.0	81.0	59.0	40.0	33.0	29.0	23.0	20.0	21.0
ENSG00000008838	MED24	9.0	9.0	7.0	7.0	18.0	21.0	12.0	8.0	8.0	8.0	20.0	6.0	7.0
ENSG00000008853	RHOBTB2	12.0	17.0	7.0	19.0	3.0	3.0	21.0	8.0	5.0	11.0	7.0	16.0	5.0
ENSG00000008869	HEATR5B	3.0	4.0	2.0	3.0	7.0	6.0	4.0	3.0	4.0	3.0	5.0	3.0	3.0
ENSG00000008952	SEC62	20.0	21.0	21.0	20.0	19.0	15.0	17.0	20.0	24.0	19.0	17.0	19.0	28.0
ENSG00000008988	RPS20	62.0	56.0	80.0	67.0	47.0	39.0	50.0	67.0	68.0	78.0	128.0	70.0	85.0
ENSG00000009307	CSDE1	46.0	51.0	45.0	47.0	55.0	43.0	42.0	48.0	55.0	45.0	53.0	47.0	66.0
ENSG00000009335	UBE3C	4.0	5.0	3.0	4.0	9.0	8.0	5.0	4.0	4.0	5.0	6.0	4.0	4.0
ENSG00000009413	REV3L	2.0	2.0	2.0	2.0	10.0	11.0	3.0	2.0	3.0	2.0	4.0	2.0	2.0
ENSG00000009694	TENM1	1.0	0.8	0.8	0.8	12.0	13.0	0.8	0.9	2.0	1.0	3.0	0.6	0.7
ENSG00000009709	PAX7		0.7					0.6						
ENSG00000009724	MASP2	0.5	0.6		0.6	4.0	4.0	0.7	0.5	0.5	0.6	1.0		
ENSG00000009780	FAM76A	3.0	3.0	2.0	3.0	6.0	5.0	3.0	3.0	3.0	3.0	5.0	2.0	2.0
ENSG00000009830	POMT2	2.0	2.0	2.0	3.0	4.0	5.0	3.0	3.0	3.0	2.0	8.0	3.0	3.0
ENSG00000009844	VTA1	4.0	5.0	3.0	3.0	6.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0
ENSG00000009950	MLXIPL	7.0	7.0	4.0	2.0	26.0	29.0	10.0	5.0	6.0	4.0	8.0	2.0	4.0
ENSG00000009954	BAZ1B	8.0	9.0	8.0	9.0	17.0	15.0	9.0	9.0	10.0	9.0	15.0	9.0	10.0
ENSG00000010017	RANBP9	17.0	21.0	12.0	12.0	14.0	13.0	17.0	12.0	15.0	11.0	13.0	11.0	14.0
ENSG00000010030	ETV7											2.0		
