Gene	logFC	SE	CI_lower	CI_upper	df	P.Value	qval	rank
TXNDC16	-0.656997242466741	0.0912464537644012	-0.835837005561966	-0.478157479371515	3	6.01024345480812e-13	3.2326950523004e-10	37
ATF6	0.528629199318299	0.0734350753904787	0.384699096350977	0.672559302285621	3	6.08371691696787e-13	3.2326950523004e-10	38
FASLG	-0.368259713212932	0.0512000732339719	-0.46861001275733	-0.267909413668533	3	6.35865666248306e-13	3.29215372638097e-10	39
COPS7B	-0.297823027445587	0.0415165093808348	-0.379193890595842	-0.216452164295332	3	7.30483304957674e-13	3.67744578805973e-10	40
PLXDC2	0.734507012762181	0.102433158200083	0.533741711867323	0.935272313657038	3	7.46707989849689e-13	3.67744578805973e-10	41
SRSF8	-0.843755206056491	0.118400640554314	-1.07581619728942	-0.611694214823562	3	1.03123604405451e-12	4.9577900479878e-10	42
COX5B	0.411743530978776	0.0581475216227444	0.297776482807933	0.525710579149619	3	1.43101377210397e-12	6.71977443867987e-10	43
ASB2	-0.274366174133042	0.0387889195409417	-0.35039105943251	-0.198341288833574	3	1.5127758984173e-12	6.94226612291868e-10	44
ARHGAP24	0.520252321648005	0.0737200301538843	0.375763717607185	0.664740925688825	3	1.69968545006219e-12	7.62667746836794e-10	45
TROVE2	0.377351167689993	0.0535154551076396	0.272462803062749	0.482239532317236	3	1.77310082384339e-12	7.78314170327083e-10	46
TNFSF13B	0.745844801739366	0.10588538246295	0.538313265622736	0.953376337855996	3	1.86948093916365e-12	8.03160832416861e-10	47
PAOX	-0.296900261502298	0.0423655727400915	-0.379935258257289	-0.213865264747307	3	2.41653916010088e-12	1.00589624898605e-09	48
COLGALT2	-0.267042472357112	0.0381127467285384	-0.341742083296944	-0.19234286141728	3	2.44101209391423e-12	1.00589624898605e-09	49
PAM	0.52821008798343	0.0755847857511621	0.380066630131976	0.676353545834884	3	2.78212558511948e-12	1.12353359629465e-09	50
ARNT	0.291469546150043	0.0417335344702968	0.209673321640701	0.373265770659386	3	2.8676766554664e-12	1.13537503974858e-09	51
LOC613266	-0.271554072090136	0.039054564010457	-0.348099610982545	-0.195008533197726	3	3.57099802358111e-12	1.38664600177211e-09	52
METRNL	0.663541205994289	0.0956246553083713	0.476120325555825	0.850962086432754	3	3.94834783059186e-12	1.50424602632662e-09	53
MCUR1	-0.544994106120606	0.0787659460658431	-0.699372523617883	-0.390615688623329	3	4.54332645567777e-12	1.69886755172306e-09	54
SH2B1	-0.23625056982837	0.0341775384218833	-0.303237314215495	-0.169263825441245	3	4.76349565037739e-12	1.74880916677128e-09	55
FTH1	0.408178202677385	0.0591103695302622	0.292324007285218	0.524032398069553	3	5.0077338833716e-12	1.80564576023284e-09	56
PPP1R14B	0.33578233213264	0.0487826010342641	0.240170191033296	0.431394473231984	3	5.8506489858287e-12	2.07256674248865e-09	57
PJA2	0.607243791649746	0.0884214688954302	0.433940897154574	0.780546686144918	3	6.52883349987687e-12	2.27293458671576e-09	58
SYCP3	0.341662767035373	0.0498926069703487	0.243875054278677	0.439450479792068	3	7.49085069575309e-12	2.56364842794316e-09	59
EDNRB	0.313033023634467	0.0458282621024236	0.223211280439655	0.402854766829279	3	8.45795514410497e-12	2.84638383782946e-09	60
GID8	-0.366173060771289	0.0536385314667466	-0.471302650629731	-0.261043470912847	3	8.69025702204884e-12	2.87661753752804e-09	61
CASTOR1	-0.234792747875081	0.0344239807157346	-0.302262510282422	-0.16732298546774	3	9.0651060925596e-12	2.929404349021e-09	62
ZNF333	0.314618144038635	0.0461522481028045	0.224161399951581	0.405074888125689	3	9.29855314643152e-12	2.929404349021e-09	63
EMC7	0.336780788382409	0.0494065747710095	0.239945681231745	0.433615895533073	3	9.32737799170042e-12	2.929404349021e-09	64
BCL9L	-0.517781130831722	0.0759773103517451	-0.666693922763365	-0.368868338900079	3	9.43003579072728e-12	2.929404349021e-09	65
TSC22D1	-0.532124934953487	0.0782421929281749	-0.685476815164144	-0.378773054742829	3	1.03897442418564e-11	3.17863205653884e-09	66
C6orf136	-0.392410689393898	0.0578027464041171	-0.505701990553469	-0.279119388234326	3	1.13078129255759e-11	3.40787102377953e-09	67
NECAB1	0.311281541157414	0.0459038823602554	0.22131158498075	0.401251497334078	3	1.1921529219718e-11	3.49835903022914e-09	68
PCGF5	-0.814062285794816	0.120054735293039	-1.04936524314266	-0.57875932844697	3	1.19545747368171e-11	3.49835903022914e-09	69
SGTB	0.364264078465862	0.0537479970064371	0.258919940092078	0.469608216839645	3	1.22477496816886e-11	3.53295087960938e-09	70
COX10	-0.263584081801519	0.0390202454334296	-0.340062357518955	-0.187105806084084	3	1.4277659572781e-11	4.06048594498021e-09	71
UBE2B	0.439495998651891	0.0651444769512051	0.311815170035829	0.567176827267953	3	1.51473529243731e-11	4.24799097567975e-09	72
TMEM127	0.375005388856578	0.0557566752972553	0.265724313376264	0.484286464336893	3	1.74691782559344e-11	4.8269688624526e-09	73
CRYBG1	0.389311173966618	0.0578994359472291	0.275830364784866	0.502791983148371	3	1.76899611639012e-11	4.8269688624526e-09	74
ALS2CL	-0.226380068508419	0.0338380620158667	-0.292701451366151	-0.160058685650688	3	2.23015902092025e-11	6.00418279338955e-09	75
DOCK5	0.423081250934598	0.0633188075023776	0.298978668685913	0.547183833183283	3	2.36084980122107e-11	6.27240515608629e-09	76
TNFRSF4	-0.288215926579955	0.043195113084324	-0.372876792533365	-0.203555060626545	3	2.51619613350697e-11	6.59831588672374e-09	77
ST3GAL1	-0.338637682401278	0.0508419023006777	-0.43828597981611	-0.238989384986445	3	2.72707996084557e-11	7.05964084222998e-09	78
LRRK1	0.249573015740509	0.0375977184312685	0.175882841714345	0.323263189766673	3	3.1800453197619e-11	8.06758954410417e-09	79
GNS	1.29517897434814	0.195138512382336	0.912714518082043	1.67764343061425	3	3.1963508494866e-11	8.06758954410417e-09	80
SOCS2	-0.592044723495376	0.089226187022847	-0.766924836537991	-0.41716461045276	3	3.23788950394811e-11	8.07153887206422e-09	81
TBC1D30	0.347848090391651	0.0524996806272433	0.244950607162399	0.450745573620903	3	3.45563816414757e-11	8.50929826956924e-09	82
RMDN3	-0.290783855577912	0.04390796744641	-0.376841890407232	-0.204725820748591	3	3.52992237595371e-11	8.58749308617559e-09	83
TMEM33	0.772548106347507	0.116757568871697	0.543707476436526	1.00138873625849	3	3.67341984659212e-11	8.83020161218906e-09	84
NFAT5	0.558080850459871	0.0844157081564006	0.392629102743882	0.72353259817586	3	3.8146971938427e-11	9.06192538094963e-09	85
RNF135	0.558085600203736	0.0844622799690242	0.392542573412309	0.723628626995162	3	3.90830271450635e-11	9.17304100798421e-09	86
RBM19	-0.346341268905916	0.052429448850163	-0.449101100381521	-0.243581437430312	3	3.95233046599953e-11	9.17304100798421e-09	87
SLC8A1	0.85232289821178	0.129288277591741	0.598922530508752	1.10572326591481	3	4.32708250527866e-11	9.9003402604904e-09	88
HIF1A	0.42553198832167	0.0645609252655284	0.298994899992652	0.552069076650687	3	4.36375932638493e-11	9.9003402604904e-09	89
SPSB3	-0.231456643343455	0.0353312366532796	-0.300704594713144	-0.162208691973765	3	5.71345143047709e-11	1.28184456982437e-08	90
NIPSNAP1	-0.23970536341947	0.0366011464970038	-0.311442292346471	-0.167968434492468	3	5.78764463857759e-11	1.28422110485889e-08	91
TSPAN18	-0.401329837849464	0.0613808421705821	-0.521634077844542	-0.281025597854386	3	6.21984589956471e-11	1.36512096091316e-08	92
SMARCD1	-0.240173238703942	0.0367796040218158	-0.312259937952345	-0.168086539455538	3	6.57407514298236e-11	1.40010411196288e-08	93
MSR1	0.237683503585164	0.0364024739574077	0.166335965680488	0.30903104148984	3	6.60677191449826e-11	1.40010411196288e-08	94
XKR6	-0.294114420414072	0.0450453224290078	-0.382401630046922	-0.205827210781223	3	6.60778136296633e-11	1.40010411196288e-08	95
MCMBP	0.455854984900619	0.0698286160987365	0.318993412256822	0.592716557544417	3	6.65659641186787e-11	1.40010411196288e-08	96
ELMO2	0.649146604603155	0.0994826294333463	0.454164233826452	0.844128975379858	3	6.78992372346372e-11	1.41342412189876e-08	97
STX12	0.444224921227897	0.0682267093570806	0.310503028104337	0.577946814351457	3	7.46461953171505e-11	1.52309715862226e-08	98
ZNF568	-0.217025190991294	0.0333334444539001	-0.282357541601605	-0.151692840380984	3	7.47844585007318e-11	1.52309715862226e-08	99
MYOF	0.8183841633575	0.125722638920887	0.571972319031227	1.06479600768377	3	7.54307229904053e-11	1.52309715862226e-08	100
ADGRA3	-0.356064883152026	0.054815686269156	-0.463501654027418	-0.248628112276633	3	8.26619328673405e-11	1.63897698587313e-08	101
IFITM1	0.413288712914975	0.0636275505107587	0.288581005489385	0.537996420340565	3	8.27930133513564e-11	1.63897698587313e-08	102
HPS4	-0.180738464318959	0.0278462123315397	-0.235316037594632	-0.126160891043286	3	8.54984853461326e-11	1.67575911114021e-08	103
DENND5A	0.430257997997301	0.0663040171712587	0.300304512311309	0.560211483683294	3	8.63108892425624e-11	1.67575911114021e-08	104
SYT17	-0.20533165810787	0.031731698353208	-0.267524644048447	-0.143138672167293	3	9.74409893653206e-11	1.87383662596624e-08	105
ACTR3	0.314149994407364	0.0485620004978396	0.218970222414382	0.409329766400345	3	9.86211626979159e-11	1.87864011056256e-08	106
CTBP2	0.366705122168049	0.0567462424454585	0.255484530716973	0.477925713619126	3	1.03196944120218e-10	1.94594560645912e-08	107
APBA2	-0.432293830545597	0.0669092247615945	-0.563433501311817	-0.301154159779376	3	1.04081876732164e-10	1.94594560645912e-08	108
UBXN7	0.569495929121554	0.0882223893201677	0.396583223423954	0.742408634819154	3	1.08053738261824e-10	1.99799661361147e-08	109
WDR60	-0.253151391377229	0.0392231843328988	-0.330027420028687	-0.176275362725772	3	1.08844902682875e-10	1.99799661361147e-08	110
MINDY2	0.292376866144702	0.04535391183139	0.203484832397173	0.381268899892231	3	1.14414799017045e-10	2.08131857815511e-08	111
DCAF5	-0.239515390562561	0.0372052285720985	-0.312436298600455	-0.166594482524668	3	1.21312674139913e-10	2.18709421092243e-08	112
USP46	-0.280294291530294	0.043810090218995	-0.366160490518975	-0.194428092541613	3	1.57488016622658e-10	2.81415755012807e-08	113
CSTA	0.929571087756405	0.14548173262059	0.644432131411563	1.21471004410125	3	1.66312699312247e-10	2.945777214485e-08	114
TDRKH	-0.291315217025589	0.0456323697575108	-0.380753018279525	-0.201877415771654	3	1.72566337408781e-10	3.02996476952879e-08	115
LINC002481	-0.426332170716812	0.0668156409105635	-0.557288420505478	-0.295375920928147	3	1.76252588272526e-10	3.06801057103348e-08	116
EPG5	0.427659875820006	0.0671091632087664	0.296128332898203	0.559191418741808	3	1.858497545965e-10	3.20741730325856e-08	117
RSG1	-0.325145532435104	0.0510387698156958	-0.425179683089098	-0.22511138178111	3	1.88339556613249e-10	3.22284095519893e-08	118
ARHGAP29	0.601797620764771	0.0945132019966883	0.416555148787703	0.787040092741839	3	1.92335452169421e-10	3.23677170698876e-08	119
RAB40B	-0.61293302633973	0.0962623256444091	-0.801603717670839	-0.424262335008622	3	1.92359649781424e-10	3.23677170698876e-08	120
TEF	-0.201404545970329	0.0316904955695305	-0.263516775938835	-0.139292316001823	3	2.07937432667458e-10	3.45625135903866e-08	121
SSFA2	0.581543762340094	0.0915138839974329	0.402179845619749	0.760907679060438	3	2.08826597564737e-10	3.45625135903866e-08	122
ZNF594	-0.243492771092302	0.0383296693926458	-0.318617542641215	-0.168367999543389	3	2.11716007234801e-10	3.47558505535374e-08	123
BEND2	-0.530835025346281	0.0835831598992404	-0.694655008462845	-0.367015042229718	3	2.13946719929456e-10	3.48388078130288e-08	124
HMGXB3	-0.214348814007561	0.0337960522021288	-0.280587859143369	-0.148109768871753	3	2.26181210794907e-10	3.65364080669661e-08	125
PPP1R10	0.326241447131878	0.0514781936233121	0.225346041641007	0.42713685262275	3	2.33570453598408e-10	3.74305920560243e-08	126
CHPF2	0.218594653093822	0.0345691969748071	0.150840272048729	0.286349034138915	3	2.55879736409351e-10	4.06828632880127e-08	127
H2AFY	0.55885364653091	0.0884897245994166	0.385416973314186	0.732290319747635	3	2.69352548968735e-10	4.24903645998179e-08	128
TJAP1	-0.184837801159101	0.0293136009581513	-0.242291403294256	-0.127384199023946	3	2.87208672890092e-10	4.49559497906724e-08	129
LRRFIP1	0.291806991902648	0.0463148703818487	0.201031514005583	0.382582469799712	3	2.96680768199707e-10	4.60813697806806e-08	130
FAM117A	-0.513804237768179	0.0816169890835035	-0.673770596898444	-0.353837878637913	3	3.06786364521748e-10	4.72872539879628e-08	131
SLC15A4	0.762411725733077	0.121571988247564	0.524135007238924	1.00068844422723	3	3.5809677728633e-10	5.4777955507315e-08	132
COX17	-0.45150476905074	0.0720289172486979	-0.592678852703603	-0.310330685397876	3	3.64818899643454e-10	5.52311684015625e-08	133
ACTR3B	-0.230525718933067	0.0367802292910383	-0.302613643686627	-0.158437794179506	3	3.66530138956486e-10	5.52311684015625e-08	134
SERPINE2	-0.471506800777991	0.0753583916086135	-0.619206534263739	-0.323807067292243	3	3.92809249217041e-10	5.83654811320152e-08	135
APAF1	0.5120490742539	0.0818522432643045	0.351621625402052	0.672476523105749	3	3.9555109667971e-10	5.83654811320152e-08	136
SELENOH	-0.364366186833082	0.0582464430273885	-0.478527117394327	-0.250205256271836	3	3.96001927252678e-10	5.83654811320152e-08	137
VIPR1	-0.329855526967364	0.0527400820577245	-0.433224188342191	-0.226486865592537	3	3.99146067174914e-10	5.84025897709845e-08	138
IL24	-0.339620512389059	0.0543155689493662	-0.446077071329619	-0.233163953448499	3	4.03342673985192e-10	5.85920523245251e-08	139
ENPP5	-0.427052082784785	0.0683925283015943	-0.561098975067547	-0.293005190502024	3	4.26155678211776e-10	6.14638246746585e-08	140
CDC42	0.379933794898746	0.0609384625087807	0.260496603108291	0.4993709866892	3	4.52608507357163e-10	6.48161062450768e-08	141
SLC25A23	-0.239882329415544	0.0384895389593527	-0.315320439557427	-0.164444219273661	3	4.59333098857005e-10	6.5315872761413e-08	142
KLRC4	-0.55578224664439	0.089257594092323	-0.730723916412038	-0.380840576876742	3	4.76294414815219e-10	6.72541036639784e-08	143
ALDH5A1	-0.835854804129727	0.134767387710115	-1.0999940303321	-0.571715577927357	3	5.5677910170306e-10	7.68580385051245e-08	144
ATG12	0.403818511794471	0.0651110942457066	0.276203112078893	0.531433911510049	3	5.57527702234994e-10	7.68580385051245e-08	145
CENPT	-0.246137515972805	0.0396879020394698	-0.323924374592119	-0.16835065735349	3	5.58112898143675e-10	7.68580385051245e-08	146
RAP1GDS1	-0.292138809985245	0.0471136683765784	-0.384479903182902	-0.199797716787588	3	5.62043383506112e-10	7.68580385051245e-08	147
GIPC1	-0.291872162776116	0.047073421745256	-0.384134374025883	-0.19960995152635	3	5.63341407426626e-10	7.68580385051245e-08	148
GPR132	0.24806630930531	0.0400724006684752	0.16952584722104	0.32660677138958	3	5.99915885649777e-10	8.08406716985591e-08	149
VPS13B	0.279633412920559	0.0451729168702153	0.191096122778315	0.368170703062803	3	6.00539855129946e-10	8.08406716985591e-08	150
MAPRE2	-0.451346747884575	0.0731280687930516	-0.594675128977923	-0.308018366791226	3	6.7429708028438e-10	9.01682559278291e-08	151
ZNF792	-0.215061518067279	0.0348527234756762	-0.283371600842738	-0.14675143529182	3	6.80399427577738e-10	9.03856923792742e-08	152
CNTLN	0.462327138520986	0.0749825553855793	0.315364030496471	0.609290246545502	3	7.01294586198241e-10	9.25525508791822e-08	153
PAQR8	-0.712333998507391	0.115585477011723	-0.938877370586251	-0.485790626428532	3	7.14548299153427e-10	9.35236243003837e-08	154
IRS2	0.533149249060673	0.0865208655355035	0.363571468699853	0.702727029421492	3	7.17916093827232e-10	9.35236243003837e-08	155
IVNS1ABP	0.298604437818977	0.0485372856568242	0.203473106024269	0.393735769613685	3	7.648149678439e-10	9.89945117352822e-08	156
LOC100128108	-0.31948317042678	0.0519674113241	-0.421337424991795	-0.217628915861765	3	7.85848397962509e-10	1.01069113704834e-07	157
FAM50B	-0.349688911121228	0.0569008111665548	-0.461212451698789	-0.238165370543666	3	7.96681038994225e-10	1.01813819869439e-07	158
SDHC	0.449622268607478	0.0732557475358516	0.30604364177665	0.593200895438306	3	8.3721421418639e-10	1.06320939703469e-07	159
SLC2A11	-0.226662380621758	0.036968678365616	-0.29911965877441	-0.154205102469105	3	8.72183824951013e-10	1.10069598708818e-07	160
NIPSNAP3B	-0.234194947419783	0.0382636632777509	-0.309190349360743	-0.159199545478824	3	9.32485840666258e-10	1.169487831971e-07	161
ADAP2	0.404915019563847	0.0661824663318396	0.275199769145407	0.534630269982287	3	9.46610876923772e-10	1.17987449548425e-07	162
ZNF512B	-0.340508689194402	0.0556874509745697	-0.449654087495399	-0.231363290893406	3	9.67754624901894e-10	1.19882830589074e-07	163
SRGAP1	0.304742398348463	0.0499613821483892	0.206819888719778	0.402664907977149	3	1.06361493770664e-09	1.30954346476661e-07	164
TMEM245	-0.685879906526858	0.112484856744108	-0.906346174551457	-0.46541363850226	3	1.07719201727605e-09	1.31822189168715e-07	165
MAGEF1	-0.297503620714378	0.0488184802147859	-0.393186083715339	-0.201821157713416	3	1.10070063183944e-09	1.33312642283558e-07	166
DOCK8	0.273683072029399	0.0449116845078069	0.185657787909072	0.361708356149726	3	1.10257583505122e-09	1.33312642283558e-07	167
VPS52	-0.180573504561805	0.0296918864303898	-0.238768532598423	-0.122378476525188	3	1.19005915819635e-09	1.43033776918457e-07	168
DLGAP4	0.231996362049246	0.0382237702837872	0.157079148939691	0.306913575158802	3	1.28367870759107e-09	1.53213582353931e-07	169
SKIL	0.346648718734436	0.0571222724188168	0.23469112207847	0.458606315390403	3	1.29079343601681e-09	1.53213582353931e-07	170
TMBIM4	0.248192150794994	0.0409038019754292	0.168022172092394	0.328362129497593	3	1.29751993772396e-09	1.53213582353931e-07	171
DEXI	-0.356283107676074	0.0587315273556797	-0.471394786050235	-0.241171429301913	3	1.30889939257763e-09	1.53658700784462e-07	172
REX1BD	-0.246869749918516	0.0407584256571524	-0.326754796273088	-0.166984703563944	3	1.38768915575416e-09	1.6196658631785e-07	173
OLIG2	-0.295041239707793	0.0487453970749418	-0.390580462386783	-0.199502017028803	3	1.42438442385753e-09	1.65294082106502e-07	174
S100P	2.21136891780448	0.365483015175492	1.49503537109941	2.92770246450955	3	1.44362791385241e-09	1.66569913351474e-07	175
PAFAH2	-0.380334396302806	0.0629424048909975	-0.503699242989499	-0.256969549616113	3	1.51670905192053e-09	1.7400789304761e-07	176
TNK1	-0.244678493579466	0.0405155202271365	-0.324087454039558	-0.165269533119375	3	1.54947377574765e-09	1.76762567683031e-07	177
GGCX	0.265227997798307	0.0439812410189895	0.179026349405712	0.351429646190902	3	1.63473322498866e-09	1.85441198196467e-07	178
EXOSC9	-0.314367910818211	0.052194067520847	-0.416666403365723	-0.212069418270699	3	1.71151773281239e-09	1.93066849502501e-07	179
TMEM230	-0.346062680883994	0.057465592956331	-0.458693173428641	-0.233432188339346	3	1.72184505845615e-09	1.93152752335259e-07	180
SUZ12	0.212941243459664	0.0353660943265834	0.143624972305715	0.282257514613614	3	1.73282515022778e-09	1.9331052725635e-07	181
PRUNE1	-0.288755445948916	0.0480208149450794	-0.382874513749534	-0.194636378148298	3	1.81973981904883e-09	2.01891134210076e-07	182
NMNAT2	0.244024062728883	0.0406091069701343	0.164431675623085	0.323616449834681	3	1.86559490513566e-09	2.0584749904098e-07	183
GKAP1	-0.428432967038406	0.0713252220841338	-0.568227833512629	-0.288638100564183	3	1.89275930440305e-09	2.07340733455584e-07	184
LYPLA1	0.739303410540459	0.123090822769736	0.498049831084373	0.980556989996544	3	1.89966500045974e-09	2.07340733455584e-07	185
CROCCP3	-0.318513084021596	0.0531277231541267	-0.422641507984299	-0.214384660058893	3	2.03193774291254e-09	2.19742661896881e-07	186
BAGE	0.159887114374131	0.0266701495483389	0.107614581797089	0.212159646951172	3	2.03505733828827e-09	2.19742661896881e-07	187
CYB5A	-0.218957605392157	0.0365305173621311	-0.290556103758549	-0.147359107025765	3	2.04959270712474e-09	2.20134978416291e-07	188
ZNF204P	-0.405224372719391	0.0676317396383933	-0.537780146622432	-0.272668598816351	3	2.07747920517362e-09	2.20832483401534e-07	189
ZNRD1ASP	-0.28061678799693	0.0468395217996273	-0.372420563777278	-0.188813012216582	3	2.08521431385012e-09	2.20832483401534e-07	190
FLOT2	1.15008450391625	0.191977068098588	0.773816364585421	1.52635264324707	3	2.08889680713614e-09	2.20832483401534e-07	191
SLC25A45	-0.535667370077986	0.0896225119470386	-0.711324265698192	-0.360010474457779	3	2.27383559479017e-09	2.39030328254555e-07	192
CENPV	-0.336751622969948	0.0563565333783563	-0.447208398685056	-0.22629484725484	3	2.29556447621719e-09	2.39030328254555e-07	193
MPP6	-0.209216517897461	0.0350144938734255	-0.277843664826274	-0.140589370968649	3	2.29892067748208e-09	2.39030328254555e-07	194
PAFAH1B2	0.289974131345047	0.0485355355286978	0.194846229738435	0.385102032951659	3	2.30838520253755e-09	2.39030328254555e-07	195
RAB37	-0.447986862915063	0.0750332370690091	-0.595049305213776	-0.300924420616349	3	2.3650978798403e-09	2.43653348927222e-07	196
DICER1	0.622060602869288	0.104285719278322	0.417664348981922	0.826456856756653	3	2.44687384846168e-09	2.50798359127605e-07	197
ABT1	-0.21072099383632	0.035331802139359	-0.279970053538359	-0.141471934134281	3	2.4604606838138e-09	2.50917283472567e-07	198
ODC1	-0.735785751278451	0.123387138875407	-0.97762009962969	-0.493951402927212	3	2.47301615812012e-09	2.50930363139505e-07	199
SIGLEC10	0.721888209396806	0.121170739041908	0.484397924894565	0.959378493899048	3	2.5595081033417e-09	2.57288481662772e-07	200
LLGL1	-0.244656461413012	0.0410669261035808	-0.325146157531798	-0.164166765294226	3	2.56116208469776e-09	2.57288481662772e-07	201
DOCK4	0.856546990707065	0.14383692098379	0.574631805931704	1.13846217548243	3	2.60092547135986e-09	2.59989540186625e-07	202
RNF181	0.374197593859052	0.0628803166854688	0.25095443781906	0.497440749899044	3	2.66591217366524e-09	2.65172899559845e-07	203
LOC101928487	0.220425603545367	0.0370581021332759	0.14779305802874	0.293058149061995	3	2.71259164469884e-09	2.68493384753721e-07	204
SENP3	-0.264105740472514	0.0444462034134255	-0.351218698412369	-0.176992782532658	3	2.81318140426045e-09	2.77091506901595e-07	205
IGFBP7	0.882634243955982	0.148596741545351	0.591389982307087	1.17387850560488	3	2.8537798954701e-09	2.79725842957923e-07	206
FBLN5	-0.436503562241559	0.0736442277100507	-0.580843596222525	-0.292163528260593	3	3.08156436177057e-09	3.00593949724017e-07	207
KLHL34	-0.244241463052079	0.041227543260286	-0.325045963013307	-0.163436963090851	3	3.13763390430158e-09	3.04591845171431e-07	208
NEK1	-0.406774963269226	0.0686900272516081	-0.541404942779453	-0.272144983758999	3	3.18257477980996e-09	3.07476315569008e-07	209
