State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2018,January,Number of Deaths,4248,,99.5+,0,Underreported due to incomplete data
AK,AK,2018,February,Number of Deaths,4294,,99.5+,0,Underreported due to incomplete data
AK,AK,2015,January,Number of Drug Overdose Deaths,126,127,100,0,
AK,AK,2015,February,Number of Drug Overdose Deaths,127,128,100,0,
AK,AK,2015,March,Number of Drug Overdose Deaths,125,126,100,0,
AK,AK,2015,April,Number of Drug Overdose Deaths,126,127,100,0,
AK,AK,2015,May,Number of Drug Overdose Deaths,125,126,100,0,
AK,AK,2015,June,Number of Drug Overdose Deaths,121,122,100,0,
AK,AK,2015,July,Number of Drug Overdose Deaths,117,118,100,0,
AK,AK,2015,August,Number of Drug Overdose Deaths,124,125,100,0,
AK,AK,2015,September,Number of Drug Overdose Deaths,125,126,100,0,
AK,AK,2015,October,Number of Drug Overdose Deaths,120,121,100,0,
AK,AK,2015,November,Number of Drug Overdose Deaths,115,116,100,0,
AK,AK,2015,December,Number of Drug Overdose Deaths,121,122,100,0,
AK,AK,2016,January,Number of Drug Overdose Deaths,126,127,100,0,
AK,AK,2016,February,Number of Drug Overdose Deaths,128,129,100,0,
AK,AK,2016,March,Number of Drug Overdose Deaths,125,126,100,0,
AK,AK,2016,April,Number of Drug Overdose Deaths,132,133,100,0,
AK,AK,2016,May,Number of Drug Overdose Deaths,140,141,100,0,
AK,AK,2016,June,Number of Drug Overdose Deaths,138,139,100,0,
AK,AK,2016,July,Number of Drug Overdose Deaths,143,144,100,0,
AK,AK,2016,August,Number of Drug Overdose Deaths,138,140,100,0.023386342376052,
AK,AK,2016,September,Number of Drug Overdose Deaths,131,133,100,0.046992481203008,
AK,AK,2016,October,Number of Drug Overdose Deaths,131,134,100,0.069913773013284,
AK,AK,2016,November,Number of Drug Overdose Deaths,133,136,100,0.069946374446258,
AK,AK,2016,December,Number of Drug Overdose Deaths,129,131,100,0.068886337543054,
AK,AK,2017,January,Number of Drug Overdose Deaths,126,127,100,0.068587105624143,Underreported due to incomplete data
AK,AK,2017,February,Number of Drug Overdose Deaths,124,126,100,0.069044879171461,Underreported due to incomplete data
AK,AK,2017,March,Number of Drug Overdose Deaths,126,128,100,0.068854716548084,Underreported due to incomplete data
AK,AK,2017,April,Number of Drug Overdose Deaths,117,119,99.5+,0.06941230911615,Underreported due to incomplete data
AK,AK,2017,May,Number of Drug Overdose Deaths,120,122,99.5+,0.070224719101124,Underreported due to incomplete data
AK,AK,2017,June,Number of Drug Overdose Deaths,122,124,99.5+,0.070241161320534,Underreported due to incomplete data
AK,AK,2017,July,Number of Drug Overdose Deaths,128,131,99.5+,0.070921985815603,Underreported due to incomplete data
AK,AK,2017,August,Number of Drug Overdose Deaths,137,140,99.5+,0.047314880529927,Underreported due to incomplete data
AK,AK,2017,September,Number of Drug Overdose Deaths,148,150,99.5+,0.023299161230196,Underreported due to incomplete data
AK,AK,2017,October,Number of Drug Overdose Deaths,144,146,99.5+,0,Underreported due to incomplete data
AK,AK,2017,November,Number of Drug Overdose Deaths,138,139,99.5+,0,Underreported due to incomplete data
AK,AK,2017,December,Number of Drug Overdose Deaths,141,141,99.5+,0,Underreported due to incomplete data
AK,AK,2018,January,Number of Drug Overdose Deaths,138,138,99.5+,0,Underreported due to incomplete data
AK,AK,2018,February,Number of Drug Overdose Deaths,138,138,99.5+,0,Underreported due to incomplete data
AL,AL,2015,January,Number of Deaths,49543,,100,0.337080919605191,
AL,AL,2015,February,Number of Deaths,50004,,100,0.323974082073434,
AL,AL,2015,March,Number of Deaths,50486,,100,0.30899655349998,
AL,AL,2015,April,Number of Deaths,50565,,100,0.316424404232176,
AL,AL,2015,May,Number of Deaths,50516,,100,0.318710903476126,
AL,AL,2015,June,Number of Deaths,50658,,100,0.341505783884085,
AL,AL,2015,July,Number of Deaths,50841,,100,0.330441966129699,
AL,AL,2015,August,Number of Deaths,50930,,100,0.331827999214608,
AL,AL,2015,September,Number of Deaths,51044,,100,0.323250528955411,
AL,AL,2015,October,Number of Deaths,51091,,100,0.309252118768472,
AL,AL,2015,November,Number of Deaths,51093,,100,0.2935822911162,
AL,AL,2015,December,Number of Deaths,50870,,100,0.310595635934736,
AL,AL,2016,January,Number of Deaths,50534,,100,0.302766454268413,
AL,AL,2016,February,Number of Deaths,50555,,100,0.282860251211552,
AL,AL,2016,March,Number of Deaths,50348,,100,0.282037022324621,
AL,AL,2016,April,Number of Deaths,50391,,100,0.27981187116747,
AL,AL,2016,May,Number of Deaths,50511,,100,0.283106650036626,
AL,AL,2016,June,Number of Deaths,50613,,100,0.264754114555549,
AL,AL,2016,July,Number of Deaths,50683,,100,0.278199790856895,
AL,AL,2016,August,Number of Deaths,50756,,100,0.264008196075341,
AL,AL,2016,September,Number of Deaths,50810,,100,0.265695729187168,
AL,AL,2016,October,Number of Deaths,50869,,100,0.287011736027836,
AL,AL,2016,November,Number of Deaths,51110,,100,0.275875562512229,
AL,AL,2016,December,Number of Deaths,51431,,100,0.270265015263168,
AL,AL,2017,January,Number of Deaths,51649,,100,0.257507405758098,Underreported due to incomplete data
AL,AL,2017,February,Number of Deaths,51538,,100,0.254181380728783,Underreported due to incomplete data
AL,AL,2017,March,Number of Deaths,51662,,100,0.249699972900778,Underreported due to incomplete data
AL,AL,2017,April,Number of Deaths,51787,,100,0.229787398381833,Underreported due to incomplete data
AL,AL,2017,May,Number of Deaths,51932,,100,0.211815450974351,Underreported due to incomplete data
AL,AL,2017,June,Number of Deaths,51987,,100,0.203897128128186,Underreported due to incomplete data
AL,AL,2017,July,Number of Deaths,52021,,100,0.186463159108821,Underreported due to incomplete data
AL,AL,2017,August,Number of Deaths,52057,,100,0.182492268090747,Underreported due to incomplete data
AL,AL,2017,September,Number of Deaths,52212,,100,0.172374166858194,Underreported due to incomplete data
AL,AL,2017,October,Number of Deaths,52245,,100,0.156952818451526,Underreported due to incomplete data
AL,AL,2017,November,Number of Deaths,52232,,100,0.158906417521826,Underreported due to incomplete data
AL,AL,2017,December,Number of Deaths,52283,,100,0.137712067019873,Underreported due to incomplete data
AL,AL,2018,January,Number of Deaths,53078,,100,0.154489619051208,Underreported due to incomplete data
AL,AL,2018,February,Number of Deaths,53234,,100,0.16906488334523,Underreported due to incomplete data
AL,AL,2015,January,Number of Drug Overdose Deaths,715,761,100,0.337080919605191,
AL,AL,2015,February,Number of Drug Overdose Deaths,723,768,100,0.323974082073434,
AL,AL,2015,March,Number of Drug Overdose Deaths,733,776,100,0.30899655349998,
AL,AL,2015,April,Number of Drug Overdose Deaths,738,783,100,0.316424404232176,
AL,AL,2015,May,Number of Drug Overdose Deaths,755,801,100,0.318710903476126,
AL,AL,2015,June,Number of Drug Overdose Deaths,756,806,100,0.341505783884085,
AL,AL,2015,July,Number of Drug Overdose Deaths,743,790,100,0.330441966129699,
AL,AL,2015,August,Number of Drug Overdose Deaths,736,783,100,0.331827999214608,
AL,AL,2015,September,Number of Drug Overdose Deaths,744,790,100,0.323250528955411,
AL,AL,2015,October,Number of Drug Overdose Deaths,730,773,100,0.309252118768472,
AL,AL,2015,November,Number of Drug Overdose Deaths,725,766,100,0.2935822911162,
AL,AL,2015,December,Number of Drug Overdose Deaths,720,763,100,0.310595635934736,
AL,AL,2016,January,Number of Drug Overdose Deaths,706,747,100,0.302766454268413,
AL,AL,2016,February,Number of Drug Overdose Deaths,710,749,100,0.282860251211552,
AL,AL,2016,March,Number of Drug Overdose Deaths,681,718,100,0.282037022324621,
AL,AL,2016,April,Number of Drug Overdose Deaths,676,712,100,0.27981187116747,
AL,AL,2016,May,Number of Drug Overdose Deaths,654,690,100,0.283106650036626,
AL,AL,2016,June,Number of Drug Overdose Deaths,674,708,100,0.264754114555549,
AL,AL,2016,July,Number of Drug Overdose Deaths,681,718,100,0.278199790856895,
AL,AL,2016,August,Number of Drug Overdose Deaths,685,720,100,0.264008196075341,
AL,AL,2016,September,Number of Drug Overdose Deaths,695,731,100,0.265695729187168,
AL,AL,2016,October,Number of Drug Overdose Deaths,704,743,100,0.287011736027836,
AL,AL,2016,November,Number of Drug Overdose Deaths,718,756,100,0.275875562512229,
AL,AL,2016,December,Number of Drug Overdose Deaths,740,779,100,0.270265015263168,
AL,AL,2017,January,Number of Drug Overdose Deaths,762,793,100,0.257507405758098,Underreported due to incomplete data
AL,AL,2017,February,Number of Drug Overdose Deaths,758,791,100,0.254181380728783,Underreported due to incomplete data
AL,AL,2017,March,Number of Drug Overdose Deaths,793,827,100,0.249699972900778,Underreported due to incomplete data
AL,AL,2017,April,Number of Drug Overdose Deaths,793,825,100,0.229787398381833,Underreported due to incomplete data
AL,AL,2017,May,Number of Drug Overdose Deaths,810,840,100,0.211815450974351,Underreported due to incomplete data
AL,AL,2017,June,Number of Drug Overdose Deaths,802,834,100,0.203897128128186,Underreported due to incomplete data
AL,AL,2017,July,Number of Drug Overdose Deaths,807,839,100,0.186463159108821,Underreported due to incomplete data
AL,AL,2017,August,Number of Drug Overdose Deaths,806,841,100,0.182492268090747,Underreported due to incomplete data
AL,AL,2017,September,Number of Drug Overdose Deaths,798,830,100,0.172374166858194,Underreported due to incomplete data
AL,AL,2017,October,Number of Drug Overdose Deaths,798,826,100,0.156952818451526,Underreported due to incomplete data
AL,AL,2017,November,Number of Drug Overdose Deaths,796,822,100,0.158906417521826,Underreported due to incomplete data
AL,AL,2017,December,Number of Drug Overdose Deaths,803,820,100,0.137712067019873,Underreported due to incomplete data
AL,AL,2018,January,Number of Drug Overdose Deaths,782,799,100,0.154489619051208,Underreported due to incomplete data
AL,AL,2018,February,Number of Drug Overdose Deaths,789,812,100,0.16906488334523,Underreported due to incomplete data
AR,AR,2015,January,Number of Deaths,30122,,100,0.049797490206494,
AR,AR,2015,February,Number of Deaths,30332,,100,0.046155874983516,
AR,AR,2015,March,Number of Deaths,30387,,100,0.046072333563695,
AR,AR,2015,April,Number of Deaths,30444,,100,0.039416633819472,
AR,AR,2015,May,Number of Deaths,30602,,100,0.042480883602379,
AR,AR,2015,June,Number of Deaths,30722,,100,0.042314953453551,
AR,AR,2015,July,Number of Deaths,30685,,100,0.04888381945576,
AR,AR,2015,August,Number of Deaths,30884,,100,0.04856883823339,
AR,AR,2015,September,Number of Deaths,30931,,100,0.061427047298826,
AR,AR,2015,October,Number of Deaths,31015,,100,0.058036433983556,
AR,AR,2015,November,Number of Deaths,31007,,100,0.061276485954784,
AR,AR,2015,December,Number of Deaths,30986,,100,0.070999806364164,
AR,AR,2016,January,Number of Deaths,30624,,100,0.07183908045977,
AR,AR,2016,February,Number of Deaths,30413,,100,0.072337487258738,
AR,AR,2016,March,Number of Deaths,30421,,100,0.075605667137832,
AR,AR,2016,April,Number of Deaths,30489,,100,0.07871691429696,
AR,AR,2016,May,Number of Deaths,30361,,100,0.079048779684464,
AR,AR,2016,June,Number of Deaths,30434,,100,0.078859170664388,
AR,AR,2016,July,Number of Deaths,30590,,100,0.075187969924812,
AR,AR,2016,August,Number of Deaths,30488,,100,0.078719496195224,
AR,AR,2016,September,Number of Deaths,30540,,100,0.068762278978389,
AR,AR,2016,October,Number of Deaths,30489,,100,0.07543704286792,
AR,AR,2016,November,Number of Deaths,30697,,100,0.074925888523308,
AR,AR,2016,December,Number of Deaths,31028,,100,0.070903699883976,
AR,AR,2017,January,Number of Deaths,31111,,100,0.073928835460127,Underreported due to incomplete data
AR,AR,2017,February,Number of Deaths,31154,,100,0.083456377993195,Underreported due to incomplete data
AR,AR,2017,March,Number of Deaths,31304,,100,0.076667518527984,Underreported due to incomplete data
AR,AR,2017,April,Number of Deaths,31372,,100,0.076501338773428,Underreported due to incomplete data
AR,AR,2017,May,Number of Deaths,31484,,100,0.0794054122729,Underreported due to incomplete data
AR,AR,2017,June,Number of Deaths,31541,,100,0.076091436542912,Underreported due to incomplete data
AR,AR,2017,July,Number of Deaths,31534,,99.5+,0.076108327519503,Underreported due to incomplete data
AR,AR,2017,August,Number of Deaths,31579,,99.5+,0.069666550555749,Underreported due to incomplete data
AR,AR,2017,September,Number of Deaths,31699,,99.5+,0.072557493927253,Underreported due to incomplete data
AR,AR,2017,October,Number of Deaths,31702,,99.5+,0.06939625260236,Underreported due to incomplete data
AR,AR,2017,November,Number of Deaths,31632,,99.5+,0.07587253414264,Underreported due to incomplete data
AR,AR,2017,December,Number of Deaths,31800,,99.5+,0.056603773584906,Underreported due to incomplete data
AR,AR,2018,January,Number of Deaths,32271,,100,0.058876390567382,Underreported due to incomplete data
AR,AR,2018,February,Number of Deaths,32373,,100,0.055601890464276,Underreported due to incomplete data
AR,AR,2015,January,Number of Drug Overdose Deaths,366,371,100,0.049797490206494,
AR,AR,2015,February,Number of Drug Overdose Deaths,366,371,100,0.046155874983516,
AR,AR,2015,March,Number of Drug Overdose Deaths,385,390,100,0.046072333563695,
AR,AR,2015,April,Number of Drug Overdose Deaths,373,377,100,0.039416633819472,
AR,AR,2015,May,Number of Drug Overdose Deaths,383,388,100,0.042480883602379,
AR,AR,2015,June,Number of Drug Overdose Deaths,391,396,100,0.042314953453551,
AR,AR,2015,July,Number of Drug Overdose Deaths,395,400,100,0.04888381945576,
AR,AR,2015,August,Number of Drug Overdose Deaths,398,403,100,0.04856883823339,
AR,AR,2015,September,Number of Drug Overdose Deaths,392,398,100,0.061427047298826,
AR,AR,2015,October,Number of Drug Overdose Deaths,397,403,100,0.058036433983556,
AR,AR,2015,November,Number of Drug Overdose Deaths,389,395,100,0.061276485954784,
AR,AR,2015,December,Number of Drug Overdose Deaths,381,387,100,0.070999806364164,
AR,AR,2016,January,Number of Drug Overdose Deaths,378,384,100,0.07183908045977,
AR,AR,2016,February,Number of Drug Overdose Deaths,379,386,100,0.072337487258738,
AR,AR,2016,March,Number of Drug Overdose Deaths,363,369,100,0.075605667137832,
AR,AR,2016,April,Number of Drug Overdose Deaths,372,379,100,0.07871691429696,
AR,AR,2016,May,Number of Drug Overdose Deaths,376,383,100,0.079048779684464,
AR,AR,2016,June,Number of Drug Overdose Deaths,369,376,100,0.078859170664388,
AR,AR,2016,July,Number of Drug Overdose Deaths,378,385,100,0.075187969924812,
AR,AR,2016,August,Number of Drug Overdose Deaths,383,390,100,0.078719496195224,
AR,AR,2016,September,Number of Drug Overdose Deaths,379,385,100,0.068762278978389,
AR,AR,2016,October,Number of Drug Overdose Deaths,372,379,100,0.07543704286792,
AR,AR,2016,November,Number of Drug Overdose Deaths,378,385,100,0.074925888523308,
AR,AR,2016,December,Number of Drug Overdose Deaths,386,393,100,0.070903699883976,
AR,AR,2017,January,Number of Drug Overdose Deaths,384,387,100,0.073928835460127,Underreported due to incomplete data
AR,AR,2017,February,Number of Drug Overdose Deaths,380,386,100,0.083456377993195,Underreported due to incomplete data
AR,AR,2017,March,Number of Drug Overdose Deaths,384,389,100,0.076667518527984,Underreported due to incomplete data
AR,AR,2017,April,Number of Drug Overdose Deaths,386,392,100,0.076501338773428,Underreported due to incomplete data
AR,AR,2017,May,Number of Drug Overdose Deaths,383,389,100,0.0794054122729,Underreported due to incomplete data
AR,AR,2017,June,Number of Drug Overdose Deaths,398,405,100,0.076091436542912,Underreported due to incomplete data
AR,AR,2017,July,Number of Drug Overdose Deaths,395,403,99.5+,0.076108327519503,Underreported due to incomplete data
AR,AR,2017,August,Number of Drug Overdose Deaths,405,415,99.5+,0.069666550555749,Underreported due to incomplete data
AR,AR,2017,September,Number of Drug Overdose Deaths,412,421,99.5+,0.072557493927253,Underreported due to incomplete data
AR,AR,2017,October,Number of Drug Overdose Deaths,409,417,99.5+,0.06939625260236,Underreported due to incomplete data
AR,AR,2017,November,Number of Drug Overdose Deaths,410,417,99.5+,0.07587253414264,Underreported due to incomplete data
AR,AR,2017,December,Number of Drug Overdose Deaths,423,426,99.5+,0.056603773584906,Underreported due to incomplete data
AR,AR,2018,January,Number of Drug Overdose Deaths,423,426,100,0.058876390567382,Underreported due to incomplete data
AR,AR,2018,February,Number of Drug Overdose Deaths,421,425,100,0.055601890464276,Underreported due to incomplete data
AZ,AZ,2015,January,Number of Deaths,52342,,100,0.326697489587712,
AZ,AZ,2015,February,Number of Deaths,52371,,100,0.349430028068969,
AZ,AZ,2015,March,Number of Deaths,52826,,100,0.34263430886306,
AZ,AZ,2015,April,Number of Deaths,53025,,100,0.341348420556341,
AZ,AZ,2015,May,Number of Deaths,53225,,100,0.336308125880695,
AZ,AZ,2015,June,Number of Deaths,53462,,100,0.33481725337623,
AZ,AZ,2015,July,Number of Deaths,53685,,100,0.324112880692931,
AZ,AZ,2015,August,Number of Deaths,53907,,100,0.293097371398891,
AZ,AZ,2015,September,Number of Deaths,54058,,100,0.270080284139258,
AZ,AZ,2015,October,Number of Deaths,54122,,100,0.249436458371827,
AZ,AZ,2015,November,Number of Deaths,54421,,100,0.224178166516602,
AZ,AZ,2015,December,Number of Deaths,54853,,100,0.196889869287003,
AZ,AZ,2016,January,Number of Deaths,54917,,100,0.160241819473023,
AZ,AZ,2016,February,Number of Deaths,55755,,100,0.139897767016411,
AZ,AZ,2016,March,Number of Deaths,56319,,100,0.154477174665743,
AZ,AZ,2016,April,Number of Deaths,56436,,100,0.173648026082642,
AZ,AZ,2016,May,Number of Deaths,56522,,100,0.20169137680903,
AZ,AZ,2016,June,Number of Deaths,56648,,100,0.26126253354046,
AZ,AZ,2016,July,Number of Deaths,56865,,100,0.332366130308626,
AZ,AZ,2016,August,Number of Deaths,56960,,100,0.372191011235955,
AZ,AZ,2016,September,Number of Deaths,57051,,100,0.394383972235368,
AZ,AZ,2016,October,Number of Deaths,57277,,100,0.464409797999197,
AZ,AZ,2016,November,Number of Deaths,57252,,100,0.520505833857333,
AZ,AZ,2016,December,Number of Deaths,57215,,100,0.61871886742987,
AZ,AZ,2017,January,Number of Deaths,57216,,100,0.618708053691275,Underreported due to incomplete data
AZ,AZ,2017,February,Number of Deaths,56601,,100,0.625430646101659,Underreported due to incomplete data
AZ,AZ,2017,March,Number of Deaths,56258,,100,0.627466315901738,Underreported due to incomplete data
AZ,AZ,2017,April,Number of Deaths,56440,,100,0.616583982990787,Underreported due to incomplete data
AZ,AZ,2017,May,Number of Deaths,56704,,100,0.596077878103837,Underreported due to incomplete data
AZ,AZ,2017,June,Number of Deaths,56991,,100,0.561492165429629,Underreported due to incomplete data
AZ,AZ,2017,July,Number of Deaths,57186,,99.5+,0.519357884796978,Underreported due to incomplete data
AZ,AZ,2017,August,Number of Deaths,57277,,99.5+,0.499327827923949,Underreported due to incomplete data
AZ,AZ,2017,September,Number of Deaths,57492,,99.5+,0.481806164335908,Underreported due to incomplete data
AZ,AZ,2017,October,Number of Deaths,57652,,99.5+,0.404149032123777,Underreported due to incomplete data
AZ,AZ,2017,November,Number of Deaths,57807,,99.5+,0.363277803726192,Underreported due to incomplete data
AZ,AZ,2017,December,Number of Deaths,58389,,99.5+,0.255185051978969,Underreported due to incomplete data
AZ,AZ,2018,January,Number of Deaths,59534,,99.5+,0.290590250949038,Underreported due to incomplete data
AZ,AZ,2018,February,Number of Deaths,59847,,99.5+,0.307450665864621,Underreported due to incomplete data
AZ,AZ,2015,January,Number of Drug Overdose Deaths,1193,1267,100,0.326697489587712,
AZ,AZ,2015,February,Number of Drug Overdose Deaths,1175,1253,100,0.349430028068969,
AZ,AZ,2015,March,Number of Drug Overdose Deaths,1174,1251,100,0.34263430886306,
AZ,AZ,2015,April,Number of Drug Overdose Deaths,1173,1249,100,0.341348420556341,
AZ,AZ,2015,May,Number of Drug Overdose Deaths,1184,1260,100,0.336308125880695,
AZ,AZ,2015,June,Number of Drug Overdose Deaths,1209,1286,100,0.33481725337623,
AZ,AZ,2015,July,Number of Drug Overdose Deaths,1201,1275,100,0.324112880692931,
AZ,AZ,2015,August,Number of Drug Overdose Deaths,1240,1310,100,0.293097371398891,
AZ,AZ,2015,September,Number of Drug Overdose Deaths,1241,1305,100,0.270080284139258,
AZ,AZ,2015,October,Number of Drug Overdose Deaths,1264,1325,100,0.249436458371827,
AZ,AZ,2015,November,Number of Drug Overdose Deaths,1269,1324,100,0.224178166516602,
AZ,AZ,2015,December,Number of Drug Overdose Deaths,1267,1316,100,0.196889869287003,
AZ,AZ,2016,January,Number of Drug Overdose Deaths,1298,1339,100,0.160241819473023,
AZ,AZ,2016,February,Number of Drug Overdose Deaths,1307,1344,100,0.139897767016411,
AZ,AZ,2016,March,Number of Drug Overdose Deaths,1313,1353,100,0.154477174665743,
AZ,AZ,2016,April,Number of Drug Overdose Deaths,1335,1381,100,0.173648026082642,
AZ,AZ,2016,May,Number of Drug Overdose Deaths,1350,1403,100,0.20169137680903,
AZ,AZ,2016,June,Number of Drug Overdose Deaths,1370,1439,100,0.26126253354046,
AZ,AZ,2016,July,Number of Drug Overdose Deaths,1421,1511,100,0.332366130308626,
AZ,AZ,2016,August,Number of Drug Overdose Deaths,1410,1510,100,0.372191011235955,
AZ,AZ,2016,September,Number of Drug Overdose Deaths,1404,1510,100,0.394383972235368,
AZ,AZ,2016,October,Number of Drug Overdose Deaths,1405,1530,100,0.464409797999197,
AZ,AZ,2016,November,Number of Drug Overdose Deaths,1397,1537,100,0.520505833857333,
AZ,AZ,2016,December,Number of Drug Overdose Deaths,1393,1561,100,0.61871886742987,
AZ,AZ,2017,January,Number of Drug Overdose Deaths,1416,1572,100,0.618708053691275,Underreported due to incomplete data
AZ,AZ,2017,February,Number of Drug Overdose Deaths,1410,1574,100,0.625430646101659,Underreported due to incomplete data
AZ,AZ,2017,March,Number of Drug Overdose Deaths,1428,1595,100,0.627466315901738,Underreported due to incomplete data
AZ,AZ,2017,April,Number of Drug Overdose Deaths,1417,1581,100,0.616583982990787,Underreported due to incomplete data
AZ,AZ,2017,May,Number of Drug Overdose Deaths,1436,1596,100,0.596077878103837,Underreported due to incomplete data
AZ,AZ,2017,June,Number of Drug Overdose Deaths,1454,1612,100,0.561492165429629,Underreported due to incomplete data
AZ,AZ,2017,July,Number of Drug Overdose Deaths,1449,1598,99.5+,0.519357884796978,Underreported due to incomplete data
AZ,AZ,2017,August,Number of Drug Overdose Deaths,1467,1620,99.5+,0.499327827923949,Underreported due to incomplete data
AZ,AZ,2017,September,Number of Drug Overdose Deaths,1491,1639,99.5+,0.481806164335908,Underreported due to incomplete data
AZ,AZ,2017,October,Number of Drug Overdose Deaths,1502,1624,99.5+,0.404149032123777,Underreported due to incomplete data
AZ,AZ,2017,November,Number of Drug Overdose Deaths,1516,1622,99.5+,0.363277803726192,Underreported due to incomplete data
AZ,AZ,2017,December,Number of Drug Overdose Deaths,1554,1620,99.5+,0.255185051978969,Underreported due to incomplete data
AZ,AZ,2018,January,Number of Drug Overdose Deaths,1566,1639,99.5+,0.290590250949038,Underreported due to incomplete data
AZ,AZ,2018,February,Number of Drug Overdose Deaths,1575,1659,99.5+,0.307450665864621,Underreported due to incomplete data
CA,CA,2015,January,Number of Deaths,248191,,100,0.238123058450951,
CA,CA,2015,February,Number of Deaths,249920,,100,0.230873879641485,
CA,CA,2015,March,Number of Deaths,251540,,100,0.224616363202672,
CA,CA,2015,April,Number of Deaths,252831,,100,0.222678389912629,
CA,CA,2015,May,Number of Deaths,253858,,100,0.217444398049303,
CA,CA,2015,June,Number of Deaths,254838,,100,0.219747447397955,
CA,CA,2015,July,Number of Deaths,255417,,100,0.224339022069792,
CA,CA,2015,August,Number of Deaths,256464,,100,0.233950963877971,
CA,CA,2015,September,Number of Deaths,257163,,100,0.255868845829299,
CA,CA,2015,October,Number of Deaths,257750,,100,0.278952473326867,
CA,CA,2015,November,Number of Deaths,258808,,100,0.308336682019103,
CA,CA,2015,December,Number of Deaths,260172,,100,0.355918392448073,
CA,CA,2016,January,Number of Deaths,259303,,100,0.359810723362244,
CA,CA,2016,February,Number of Deaths,260508,,100,0.363904371458842,
CA,CA,2016,March,Number of Deaths,261416,,100,0.371438626556905,
CA,CA,2016,April,Number of Deaths,261595,,100,0.377683059691508,
CA,CA,2016,May,Number of Deaths,261557,,100,0.391883987046801,
CA,CA,2016,June,Number of Deaths,261467,,100,0.396990824845965,
CA,CA,2016,July,Number of Deaths,261603,,100,0.410163492008884,
CA,CA,2016,August,Number of Deaths,261781,,100,0.420198562920915,
CA,CA,2016,September,Number of Deaths,262041,,100,0.419781637224709,
CA,CA,2016,October,Number of Deaths,262751,,100,0.417124958611004,
CA,CA,2016,November,Number of Deaths,262360,,100,0.392971489556335,
CA,CA,2016,December,Number of Deaths,263199,,100,0.363983145832621,
CA,CA,2017,January,Number of Deaths,265340,,100,0.364814954398131,Underreported due to incomplete data
CA,CA,2017,February,Number of Deaths,264887,,100,0.363551250155727,Underreported due to incomplete data
CA,CA,2017,March,Number of Deaths,264765,,100,0.361830302343588,Underreported due to incomplete data
CA,CA,2017,April,Number of Deaths,265284,,100,0.360368510728125,Underreported due to incomplete data
CA,CA,2017,May,Number of Deaths,265951,,100,0.356456640508966,Underreported due to incomplete data
CA,CA,2017,June,Number of Deaths,266895,,100,0.360441372075161,Underreported due to incomplete data
CA,CA,2017,July,Number of Deaths,267370,,100,0.358304970639937,Underreported due to incomplete data
