ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
42,PENNSYLVANIA,PA,42001,Adams,42001031102,"Census Tract 311.02, Adams County, Pennsylvania",6.666544854458,3328,188,1322,83,1322,83,119,73,45,35,35673,3103,291,98,697,72,669,75,286,80,28,28,333,297,15,41,73,30,0,10,8,15,18,20,0,10,3.6,2.2,2.5,1.9,35673.0,3103.0,11.8,3.9,20.9,2.0,20.1,1.9,8.6,2.4,2.1,2.2,10.0,8.9,0.5,1.3,5.5,2.3,0.0,1.9,0.6,1.2,1.4,1.5,0.0,0.3,0.1258,0.1212,0.3005,0.702,1.2495,0.2701,0.7311,0.4644,0.1302,0.0763,1.402,0.158,0.4306,0.4462,0.8768,0.4543,0.5766,0.0,0.4059,0.0789,0.0,1.0614,0.0852,4.5897,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,44,2.6,1.3,1775
42,PENNSYLVANIA,PA,42001,Adams,42001031201,"Census Tract 312.01, Adams County, Pennsylvania",26.002227607776,3689,24,1639,115,1585,104,34,31,36,38,40419,4133,225,84,1032,92,657,102,484,130,49,32,316,133,21,50,25,25,16,17,0,14,45,52,75,42,0.9,0.9,2.1,2.3,40419.0,4133.0,7.8,2.8,28.0,2.5,17.8,2.8,13.5,3.6,3.1,2.0,8.6,3.6,0.6,1.4,1.5,1.5,1.0,1.1,0.0,0.9,2.8,3.3,2.0,1.1,0.0097,0.0833,0.2013,0.4525,0.7468,0.1137,0.9493,0.257,0.4531,0.1363,1.7957,0.3655,0.3868,0.49,0.8768,0.4543,0.3599,0.5864,0.0,0.1916,0.7439,1.8818,0.3153,5.3011,0.2031,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,75,55,2.1,1.5,2258
42,PENNSYLVANIA,PA,42001,Adams,42001031202,"Census Tract 312.02, Adams County, Pennsylvania",10.900132048848,2718,18,1051,49,1020,49,89,66,57,29,33515,2439,171,54,500,41,571,56,300,61,32,19,69,59,0,40,19,32,26,21,8,12,81,36,0,10,3.3,2.4,3.6,1.8,33515.0,2439.0,8.9,2.8,18.4,1.5,21.0,2.1,11.0,2.2,3.1,1.9,2.5,2.2,0.0,1.5,1.8,3.1,2.5,2.0,0.8,1.3,7.9,3.5,0.0,0.4,0.1054,0.2686,0.3527,0.5288,1.2555,0.2732,0.5463,0.5435,0.2663,0.1363,1.4924,0.1912,0.0935,0.0,0.0935,0.0457,0.3924,0.6885,0.4737,0.5376,0.0,2.0922,0.4058,4.9336,0.1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,57,3.6,2.1,998
42,PENNSYLVANIA,PA,42001,Adams,42001031203,"Census Tract 312.03, Adams County, Pennsylvania",17.54612932707,3164,30,1255,51,1182,52,181,97,96,48,33710,2738,221,66,639,48,554,52,363,65,81,41,108,70,0,40,0,14,22,19,10,14,26,26,0,10,5.7,3.1,5.5,2.8,33710.0,2738.0,9.7,2.8,20.2,1.5,17.5,1.6,11.5,2.0,6.9,3.5,3.4,2.2,0.0,1.3,0.0,1.1,1.8,1.5,0.8,1.3,2.2,2.2,0.0,0.3,0.2513,0.5454,0.3499,0.586,1.7326,0.4232,0.6798,0.238,0.2944,0.4834,1.6956,0.3044,0.1498,0.0,0.1498,0.0694,0.0,0.6547,0.4737,0.1356,0.0,1.264,0.1281,4.842,0.1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,44,3.2,1.4,1044
42,PENNSYLVANIA,PA,42001,Adams,42001031300,"Census Tract 313, Adams County, Pennsylvania",1.502865741412,4468,21,1969,129,1849,115,230,162,103,61,27783,2138,276,115,714,89,1106,118,746,177,164,75,362,211,26,55,63,47,10,14,0,14,142,81,0,10,5.2,3.7,4.3,2.4,27783.0,2138.0,9.4,3.9,16.0,2.0,24.8,2.6,16.7,4.0,8.9,4.0,8.1,4.7,0.6,1.3,3.2,2.4,0.5,0.7,0.0,0.8,7.7,4.3,0.0,0.2,0.2243,0.377,0.5828,0.5613,1.7454,0.4279,0.3856,0.8118,0.6946,0.6248,2.5168,0.7938,0.3715,0.49,0.8615,0.4475,0.4819,0.4944,0.0,0.5288,0.0,1.5051,0.1875,6.6288,0.4207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,138,6.1,3.1,4732
42,PENNSYLVANIA,PA,42001,Adams,42001031401,"Census Tract 314.01, Adams County, Pennsylvania",11.444266369652,4098,154,1670,88,1659,88,507,225,76,43,36102,3696,338,116,1337,140,699,83,640,126,108,55,439,291,19,43,23,20,160,43,17,27,70,43,273,168,13.3,5.7,4.4,2.5,36102.0,3696.0,10.9,3.5,32.6,3.1,17.1,1.9,16.6,3.2,6.5,3.3,10.7,7.1,0.5,1.1,1.4,1.2,9.6,2.5,1.0,1.7,4.2,2.6,6.7,4.1,0.6252,0.3929,0.2908,0.656,1.9649,0.5069,0.9812,0.2167,0.689,0.4484,2.3353,0.6981,0.4512,0.4462,0.8974,0.4634,0.3499,0.8482,0.5369,0.3084,0.9031,2.9465,0.7999,8.1441,0.6799,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,154,77,4.0,2.0,3872
42,PENNSYLVANIA,PA,42001,Adams,42001031402,"Census Tract 314.02, Adams County, Pennsylvania",21.984089576508,2113,157,1026,64,877,77,218,152,68,40,34187,5278,101,49,583,63,424,93,251,58,94,72,333,215,0,40,40,30,48,28,0,14,3,5,0,10,10.4,7.0,6.9,3.8,34187.0,5278.0,6.4,3.0,27.6,3.6,20.1,4.1,11.9,2.7,10.7,8.2,15.8,10.1,0.0,2.1,3.9,3.0,4.7,2.8,0.0,1.6,0.3,0.6,0.0,0.5,0.5122,0.6947,0.339,0.3449,1.8908,0.4793,0.9443,0.4644,0.322,0.7245,2.4552,0.7622,0.5707,0.0,0.5707,0.2921,0.5147,0.7555,0.0,0.0185,0.0,1.2887,0.1327,6.2054,0.3395,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,67,40,3.2,1.9,1660
42,PENNSYLVANIA,PA,42001,Adams,42001031501,"Census Tract 315.01, Adams County, Pennsylvania",0.572042545568,3477,272,609,69,575,77,355,202,74,39,13845,2206,99,56,210,40,181,51,319,71,31,23,481,381,25,45,129,46,0,10,13,25,68,34,2230,262,28.0,12.3,5.8,3.0,13845.0,2206.0,10.6,5.9,6.0,1.4,5.2,1.4,9.2,2.1,5.4,4.1,13.8,10.9,0.7,1.3,21.2,7.2,0.0,4.0,2.3,4.4,11.8,5.8,64.1,5.6,0.8708,0.5839,0.9562,0.637,3.0479,0.8318,0.025,0.0181,0.1568,0.3437,0.5436,0.0228,0.5281,0.5303,1.0584,0.5663,0.8831,0.0,0.7761,0.6694,0.9909,3.3195,0.9083,7.9694,0.6542,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,218,91,6.3,2.4,5022
42,PENNSYLVANIA,PA,42001,Adams,42001031502,"Census Tract 315.02, Adams County, Pennsylvania",1.087630801104,4169,273,1959,179,1763,172,817,288,183,82,23426,3672,460,151,768,114,892,196,739,185,239,88,1235,432,39,68,113,59,24,38,60,56,220,95,433,56,21.9,7.4,9.2,4.0,23426.0,3672.0,16.9,4.9,18.4,2.3,21.4,4.5,17.8,4.4,13.6,4.8,29.6,10.2,1.0,1.7,5.8,3.0,1.2,1.9,3.4,3.2,12.5,5.1,10.4,1.2,0.8076,0.8237,0.7606,0.8587,3.2506,0.8656,0.5463,0.5819,0.7541,0.8277,2.71,0.8814,0.7402,0.6079,1.3481,0.7226,0.5888,0.6102,0.8771,0.6869,0.9315,3.6945,0.9678,11.0032,0.9549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,278,140,6.7,3.3,9298
42,PENNSYLVANIA,PA,42001,Adams,42001031600,"Census Tract 316, Adams County, Pennsylvania",47.71154499327,7119,252,3054,135,2813,143,195,72,86,28,37328,2076,304,70,1334,89,1486,133,753,121,127,53,381,401,0,60,0,21,82,38,24,21,73,47,0,15,2.8,1.0,2.2,0.7,37328.0,2076.0,5.9,1.4,18.7,1.1,20.9,1.7,10.6,1.7,4.5,1.9,5.4,5.6,0.0,0.9,0.0,0.7,2.7,1.3,0.9,0.8,2.6,1.6,0.0,0.2,0.076,0.0911,0.2601,0.3058,0.733,0.11,0.5682,0.5347,0.2365,0.2573,1.5967,0.2466,0.2645,0.0,0.2645,0.122,0.0,0.696,0.505,0.1763,0.0,1.3773,0.1525,3.9715,0.0583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,73,2.3,1.0,3256
42,PENNSYLVANIA,PA,42001,Adams,42001031700,"Census Tract 317, Adams County, Pennsylvania",39.846318294366,2627,142,1242,59,1014,58,278,110,56,30,28463,2361,254,59,630,50,475,59,486,82,52,25,236,208,7,40,0,14,71,35,11,11,83,33,53,25,10.6,4.0,4.3,2.4,28463.0,2361.0,12.9,2.8,24.0,1.8,18.1,2.0,18.5,2.7,5.1,2.4,9.0,7.9,0.3,1.6,0.0,1.1,5.7,2.7,1.1,1.2,8.2,3.2,2.0,0.9,0.5178,0.377,0.5549,0.7448,2.1945,0.5852,0.8774,0.2786,0.7838,0.3189,2.2587,0.6533,0.3971,0.349,0.7461,0.3843,0.0,0.7761,0.5654,0.5479,0.7439,2.6333,0.6656,7.8326,0.6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,75,6.1,2.7,3050
42,PENNSYLVANIA,PA,42003,Allegheny,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",0.334429583238,6668,326,477,47,320,62,363,158,218,84,7896,1450,344,94,121,67,178,98,217,75,30,40,2605,422,39,62,114,44,0,15,5,16,97,45,5990,279,46.1,13.7,12.0,4.4,7896.0,1450.0,14.1,3.7,1.8,1.0,2.7,1.5,5.3,1.8,9.4,12.7,39.1,6.0,0.6,1.0,23.9,8.9,0.0,5.1,1.6,5.2,30.3,11.7,89.8,6.1,0.9665,0.8982,0.9937,0.7855,3.6439,0.9424,0.0066,0.0109,0.0263,0.6592,0.703,0.03,0.7986,0.49,1.2886,0.6948,0.9024,0.0,0.6767,0.8951,0.9944,3.4686,0.9358,9.1041,0.81,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,131,59,3.2,1.4,12374
42,PENNSYLVANIA,PA,42003,Allegheny,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",0.647886105836,5101,401,2864,96,2514,167,700,248,75,51,62945,6809,84,76,542,113,171,81,456,116,40,35,1172,525,10,60,2647,143,0,15,52,47,805,141,1160,236,17.5,5.6,2.3,1.5,62945.0,6809.0,2.5,2.2,10.6,2.3,3.4,1.6,8.9,2.3,1.6,1.4,23.0,10.1,0.2,1.2,92.4,3.9,0.0,0.9,2.1,1.9,32.0,5.2,22.7,4.3,0.7375,0.1008,0.0357,0.0897,0.9637,0.1792,0.1298,0.0138,0.1436,0.0497,0.3369,0.0144,0.677,0.2952,0.9722,0.5072,0.9978,0.0,0.7536,0.9048,0.9628,3.619,0.9574,5.8918,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,230,119,4.5,2.3,40843
42,PENNSYLVANIA,PA,42003,Allegheny,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",0.615818404226,1020,105,750,52,712,64,65,34,24,19,98795,15448,2,4,59,33,37,18,15,15,4,12,130,149,0,40,644,64,0,10,31,21,74,40,19,13,6.4,3.5,2.8,2.1,98795.0,15448.0,0.2,0.5,5.8,3.2,3.6,1.7,1.5,1.5,0.6,1.7,12.7,14.6,0.0,4.1,85.9,6.2,0.0,3.3,4.4,3.0,10.4,5.2,1.9,1.3,0.2951,0.1512,0.0028,0.0078,0.4569,0.0385,0.0219,0.015,0.0025,0.0194,0.0588,0.0056,0.5016,0.0,0.5016,0.253,0.9953,0.0,0.9234,0.6221,0.7373,3.2781,0.8986,4.2954,0.0831,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,10,11,1.0,1.1,10185
42,PENNSYLVANIA,PA,42003,Allegheny,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",0.25630416015,2249,304,1290,87,1139,97,888,221,163,84,17181,3084,302,99,498,108,409,140,528,164,219,86,2033,323,48,57,435,100,17,27,13,23,470,105,95,40,39.5,9.4,19.3,8.7,17181.0,3084.0,18.8,5.3,22.1,4.9,18.2,5.7,23.5,6.6,19.2,7.4,90.4,7.6,2.2,2.7,33.7,7.4,1.3,2.1,1.1,2.0,41.3,8.5,4.2,1.7,0.939,0.9737,0.9033,0.8881,3.7041,0.9536,0.7967,0.2889,0.9371,0.9221,2.9448,0.9596,0.949,0.783,1.732,0.9024,0.9497,0.6193,0.5654,0.9477,0.8524,3.9345,0.9894,12.3154,0.9966,1,1,1,0,3,0,0,1,1,2,1,0,1,1,0,0,1,0,2,8,145,71,6.4,3.2,1443
