Gene	logFC	SE	CI_lower	CI_upper	df	P.Value	qval	rank
ADAM9	2.47387246706939	0.118224638969151	2.2421564326046	2.70558850153418	1	3.15835144339158e-97	2.27762258374867e-94	28
ATP11B	2.20833157302985	0.105849072159084	2.00087120380107	2.41579194225864	1	1.16097611301753e-96	8.08359643932756e-94	29
BCL11B	-2.88264892670578	0.138441776499474	-3.15398982260049	-2.61130803081107	1	2.72940316457202e-96	1.83707028996794e-93	30
FLOT1	1.35774529983735	0.0659244383838226	1.22853577490403	1.48695482477067	1	3.01301571700822e-94	1.96254236638161e-91	31
TLR5	2.20648914177985	0.107733016672586	1.99533630915573	2.41764197440397	1	3.17502625177061e-93	2.00344156486726e-90	32
BMX	3.02874916280797	0.148021348923411	2.73863264997505	3.3188656756409	1	4.73878179702727e-93	2.89956006198711e-90	33
AGFG1	2.27474535746275	0.111708862278948	2.05580001064206	2.49369070428343	1	3.5494203946436e-92	2.10793813554834e-89	34
CCDC88C	-1.72909595326577	0.0850945892979812	-1.89587828356904	-1.56231362296249	1	8.61127137767778e-92	4.96796547594485e-89	35
DACH1	2.64416250938844	0.131500411921874	2.38642643806938	2.90189858070749	1	6.32672184433704e-90	3.54858798557926e-87	36
CARD6	1.72800134781462	0.0864863797436704	1.55849115836377	1.89751153726547	1	8.21576249960155e-89	4.4835858484312e-86	37
IKZF2	-1.91834929350517	0.0966996205000127	-2.10787706700389	-1.72882152000646	1	1.39277056472169e-87	7.40074295864748e-85	38
RCAN3	-2.54047300669369	0.128508929245469	-2.79234587970661	-2.28860013368076	1	5.52266468431487e-87	2.85932423860733e-84	39
UPP1	2.28217584210739	0.115702690758959	2.05540273530546	2.50894894890933	1	1.3290741924508e-86	6.70916652349166e-84	40
RIT1	1.42106007422175	0.0720750810033924	1.2797955112723	1.56232463717121	1	1.5598568322712e-86	7.6821046724927e-84	41
ATP6V0E2	-1.47985433543473	0.075421576939185	-1.62767790989275	-1.33203076097671	1	1.0211855040874e-85	4.90947088060303e-83	42
ARHGEF18	-1.19141593972314	0.0608640442462885	-1.31070727439931	-1.07212460504696	1	2.52451699341813e-85	1.18546621235114e-82	43
ZBTB4	-1.60941333931417	0.0823424293266402	-1.77080153519392	-1.44802514343442	1	4.51694736932145e-85	2.07286821093952e-82	44
SERPINB1	2.25000111030735	0.115311263539907	2.02399518675733	2.47600703385737	1	8.61178495724422e-85	3.86420359681501e-82	45
LIN7A	1.97495417485613	0.101692924431917	1.77563970548701	2.17426864422524	1	5.15189050614425e-84	2.26145593695793e-81	46
FCMR	-2.53885777207884	0.130843141539352	-2.79530561712004	-2.28240992703763	1	7.16338860497635e-84	3.07751367471665e-81	47
POMP	1.25788758647882	0.064867509710155	1.13074960368011	1.38502556927752	1	9.07900409130141e-84	3.81923438774079e-81	48
CD28	-1.95432864133822	0.101785887258729	-2.15382531449978	-1.75483196817666	1	3.6732995493289e-82	1.51369927551121e-79	49
TPST2	1.31217780955733	0.0691626423200229	1.17662152153446	1.4477340975802	1	2.887107391604e-80	1.16592944902536e-77	50
IL10RA	-1.3275269693969	0.070292337106122	-1.46529741851404	-1.18975652027975	1	1.4926144141315e-79	5.90958240198888e-77	51
TMEM109	-1.07658129304391	0.0570208350549828	-1.18834007612007	-0.964822509967741	1	1.65048473271411e-79	6.40895917749295e-77	52
CA4	2.861127707733	0.151597747665762	2.56400158217072	3.15825383329529	1	1.89633449040354e-79	7.22467660947703e-77	53
ITPKB	-1.38263950705072	0.0735962542047275	-1.52688551468904	-1.2383934994124	1	9.68112242019773e-79	3.62002266497468e-76	54
OSBPL3	-1.45175420071054	0.0774651773001292	-1.6035831582748	-1.29992524314628	1	2.3043150883639e-78	8.45976913895343e-76	55
CLEC5A	3.28131120942123	0.17535822463635	2.9376154047411	3.62500701410136	1	3.94916875637798e-78	1.42395742015686e-75	56
RNASE2	2.91075470036488	0.155863804289795	2.60526725746349	3.21624214326628	1	7.91074737637727e-78	2.80234756182122e-75	57
CCND2	-1.78914722825604	0.0959171880521763	-1.97714146233666	-1.60115299417542	1	1.19295231163471e-77	4.15311949595311e-75	58
ZAP70	-1.95255213559167	0.105773049931356	-2.15986350399209	-1.74524076719126	1	4.34736916474171e-76	1.4878318334655e-73	59
NONO	-0.880909871300028	0.0478574189852041	-0.974708688904072	-0.787111053695985	1	1.15515869903817e-75	3.88749407516314e-73	60
TRIQK	1.60937240245346	0.0878548126067995	1.43718013387562	1.7815646710313	1	5.88648862869528e-75	1.94852423591172e-72	61
PHTF1	1.74621039681686	0.095499084957139	1.55903562974434	1.93338516388938	1	1.08762242464758e-74	3.54214064491678e-72	62
DOCK9	-1.78389416599359	0.0976325649434105	-1.97525047700095	-1.59253785498624	1	1.3954149547137e-74	4.47241567707604e-72	63
BST1	1.83895663884757	0.101345596411811	1.64032291988868	2.03759035780645	1	1.39608623444589e-73	4.4046520696768e-71	64
JAK2	1.60874743865647	0.0889708483270244	1.43436778026153	1.78312709705142	1	4.43880172564408e-73	1.378896683757e-70	65
GSE1	-1.45257298726613	0.0803634199848462	-1.61008239611089	-1.29506357842136	1	5.01081910755448e-73	1.53300696090515e-70	66
PSTPIP2	2.19040712230838	0.1212471347622	1.95276710494579	2.42804713967097	1	5.94284663807401e-73	1.79101431814911e-70	67
ATP6V0E1	1.06140286673843	0.05888694634477	0.945986572743136	1.17681916073372	1	1.25326514488722e-72	3.72146026552395e-70	68
ATP8B2	-2.26140907873735	0.12573516475276	-2.50784547324297	-2.01497268423173	1	2.53121842516662e-72	7.40729890448761e-70	69
GATA3	-2.53216775383211	0.141167917712592	-2.8088517883213	-2.25548371934291	1	6.03426381987101e-72	1.74062650072622e-69	70
PCED1B	-1.83601835845077	0.102418219441853	-2.03675437991752	-1.63528233698402	1	7.30150108977205e-72	2.07650577471376e-69	71
PLBD1	1.41022939184277	0.0787633809077385	1.25585600196299	1.56460278172255	1	1.0850893745205e-71	3.04307286809971e-69	72
FAM102A	-2.17404938442537	0.121507657526944	-2.41220001702401	-1.93589875182673	1	1.35443878235208e-71	3.74641477989769e-69	73
TSHZ1	-1.61172054445738	0.090356412427734	-1.78881585858799	-1.43462523032678	1	3.62369568737421e-71	9.88779234046757e-69	74
PRKCQ	-1.574325660528	0.088485825700363	-1.747754692043	-1.400896629013	1	8.17506808751556e-71	2.17497020321418e-68	75
USP36	-1.33685752621567	0.0751391255398609	-1.48412750610363	-1.18958754632771	1	8.18629830845273e-71	2.17497020321418e-68	76
TCN1	3.55273903982831	0.200076589110335	3.16059613102243	3.94488194863418	1	1.52436754219594e-70	3.9974064171455e-68	77
MLLT3	-1.84880987827751	0.104645218740757	-2.05391073816371	-1.64370901839131	1	7.4752297939625e-70	1.93512615384219e-67	78
SYNRG	-0.939618420622035	0.053542773874016	-1.04456032904748	-0.834676512196592	1	6.06105576890043e-69	1.54917516564098e-66	79
PGS1	1.82161807748897	0.10400794478931	1.61776625159589	2.02546990338204	1	1.11604180669287e-68	2.8168895200928e-66	80
ALOX5AP	1.21299604555812	0.0693768378437427	1.07701994202311	1.34897214909313	1	1.89165159624936e-68	4.71558383104533e-66	81
EP400	-1.05925612710307	0.0609635100002969	-1.1787424110748	-0.93976984313134	1	1.27055021780102e-67	3.12865243876076e-65	82
CR1	1.92740386927582	0.110993453189396	1.70986069850487	2.14494704004677	1	1.51838987379685e-67	3.65736441624239e-65	83
NELFCD	-0.900121761480417	0.0518356827298373	-1.00171783274494	-0.798525690215891	1	1.52148678171732e-67	3.65736441624239e-65	84
METTL7B	2.95194863266364	0.170538907155659	2.61769851667573	3.28619874865155	1	3.9864345038154e-67	9.46989241188712e-65	85
PASK	-2.16091441873557	0.124890373758961	-2.40569505331888	-1.91613378415226	1	4.50491896308943e-67	1.05771306631048e-64	86
FBXO21	-1.533188626147	0.0886366071682738	-1.70691318390864	-1.35946406838536	1	4.91545509202318e-67	1.14083757721991e-64	87
ATP9A	2.55881078052933	0.148445063936267	2.2678638015315	2.84975775952716	1	1.39093948746653e-66	3.19157387851411e-64	88
BTBD11	-1.5163833243618	0.0880196419843073	-1.68889865258315	-1.34386799614045	1	1.64328960271312e-66	3.72823636606553e-64	89
NUCKS1	-1.19745598264076	0.0695463850527634	-1.33376439259913	-1.06114757268239	1	1.94291837383177e-66	4.35904531160124e-64	90
MCTP2	1.96349775090663	0.114102562201524	1.7398608384479	2.18713466336536	1	2.30553509108547e-66	5.11575434716459e-64	91
KDM2B	-1.43943584633711	0.0837140951031938	-1.60351245773773	-1.27535923493649	1	2.9113416335897e-66	6.38976198537427e-64	92
PGLYRP1	2.34206522932021	0.136326929662389	2.074869357059	2.60926110158142	1	3.76403745360826e-66	8.17241336164064e-64	93
SF3B3	-1.04398134122415	0.0609006651739862	-1.16334445159969	-0.9246182308486	1	7.16769343116393e-66	1.53968155066024e-63	94
NR1D2	-2.11063327215513	0.123236251940354	-2.35217188754792	-1.86909465676233	1	9.37894105016227e-66	1.99346923878817e-63	95
TMEM204	-2.12918241173474	0.124585824424951	-2.37336614059188	-1.88499868287761	1	1.75915258618776e-65	3.70008427294825e-63	96
TSPO	1.62081796317308	0.094845888849071	1.43492343694722	1.80671248939895	1	1.79332086906377e-65	3.7330654626944e-63	97
LOC100507507	1.46205044664828	0.0858766989476383	1.29373520959972	1.63036568369684	1	5.35962365362928e-65	1.10430123279676e-62	98
TRAC	-2.23468184625585	0.131799154763594	-2.49300344278532	-1.97636024972639	1	1.76142337099562e-64	3.59259199062057e-62	99
ADGRG3	1.67940319399552	0.099208258033127	1.48495858128163	1.8738478067094	1	2.79446405424629e-64	5.64258181833411e-62	100
EVL	-2.04970148953664	0.121299950875318	-2.28744502457874	-1.81195795449453	1	4.67061791502369e-64	9.33753633070876e-62	101
CLSTN1	-0.978271294113594	0.0580749848776015	-1.0920961728764	-0.864446415350787	1	1.14229684524094e-63	2.2612997940299e-61	102
JADE2	-1.69451745955051	0.100711547116268	-1.8919084647257	-1.49712645437532	1	1.58840618850011e-63	3.11389298623244e-61	103
KIAA1147	-1.3067003477801	0.0776730158228484	-1.45893666136349	-1.15446403419671	1	1.65299669293857e-63	3.20935665613611e-61	104
ELP2	-1.55862690841739	0.0929788627961987	-1.74086213082143	-1.37639168601334	1	4.53244287293886e-63	8.71610347527443e-61	105
RPS6KA5	-2.1462293463544	0.128221281678386	-2.3975384404956	-1.8949202522132	1	6.87207889183067e-63	1.3090661979608e-60	106
CD74	-1.91795190332582	0.114696989833932	-2.14275387253548	-1.69314993411616	1	9.07742368427964e-63	1.71300316853247e-60	107
OLFM4	5.60490923615582	0.335874908538352	4.94660651210997	6.26321196020167	1	1.61623854089378e-62	3.02176746460437e-60	108
PVRIG	-1.94079089941172	0.116509310018631	-2.16914495091185	-1.71243684791159	1	2.65535942112028e-62	4.91899242488631e-60	109
ERCC1	-1.49625477143734	0.08984602857899	-1.67234975160611	-1.32015979126856	1	2.85201919539982e-62	5.23527014486483e-60	110
RNF125	-1.80037060357811	0.10823759584967	-2.01251239321666	-1.58822881393955	1	3.98579577455249e-62	7.25055750268144e-60	111
TNIK	-1.62750157609573	0.0979913423774491	-1.81956107795227	-1.4354420742392	1	6.03597381409316e-62	1.08819985048365e-59	112
AUTS2	-2.00475278869368	0.120721472314148	-2.24136252659006	-1.7681430507973	1	6.26091805736638e-62	1.11876510986143e-59	113
ESYT1	-2.02010250763267	0.121685604239098	-2.2586019093783	-1.78160310588705	1	6.85414314794768e-62	1.21402507406456e-59	114
SIGLEC9	1.27839092645014	0.0770126655630311	1.12744887559317	1.42933297730711	1	6.99828334409935e-62	1.2287768459483e-59	115
OSCAR	1.42681516981158	0.0860168664689817	1.25822520946938	1.59540513015377	1	8.56464461774739e-62	1.4908388286341e-59	116
TRIM44	-1.44875790221502	0.0874827602731144	-1.62022096161847	-1.27729484281156	1	1.34480841823025e-61	2.32088645990643e-59	117
KIAA0355	-1.34718380518727	0.0813643851791672	-1.50665506976268	-1.18771254061186	1	1.41548497552557e-61	2.42215869710275e-59	118
FCGR1B	2.53960235827523	0.153403332994787	2.23893735049704	2.84026736605342	1	1.47179091859271e-61	2.49734472506084e-59	119
LOC100505549	-1.13248846883548	0.0684453626521366	-1.26663891454245	-0.998338023128511	1	1.71453110545139e-61	2.88498434010621e-59	120
ABLIM1	-2.54735763294362	0.15404861636869	-2.84928737289448	-2.24542789299276	1	2.01786668128078e-61	3.36733587011749e-59	121
DDX24	-1.39070488865495	0.0842333053947524	-1.55579913352743	-1.22561064378247	1	3.10088288363485e-61	5.13221534314385e-59	122
DPY19L3	2.00689576339386	0.12170344766523	1.76836138917566	2.24543013761207	1	4.3260157401504e-61	7.10169998578185e-59	123
SLC38A1	-2.03216294185414	0.123281888137483	-2.2737910025497	-1.79053488115858	1	4.79148958395022e-61	7.80239981283249e-59	124
TGFBR3	-2.52118473178947	0.153050874691586	-2.82115893398733	-2.22121052959161	1	5.74926605022959e-61	9.28713440689887e-59	125
SUN2	-0.806598182220189	0.0489985160245674	-0.90263350892425	-0.710562855516129	1	6.91473728338224e-61	1.10811408909567e-58	126
SIDT1	-1.59268884927773	0.0968819604364465	-1.7825740024848	-1.40280369607066	1	9.97747452398655e-61	1.58633988652233e-58	127
PLSCR1	2.46004918333734	0.14974914833951	2.16654624587635	2.75355212079832	1	1.20966972495054e-60	1.90825399110947e-58	128
CSGALNACT2	1.810114204895	0.110477925404492	1.59358145001549	2.02664695977451	1	2.47207752113679e-60	3.86947203928637e-58	129
LBH	-2.14837117398486	0.131187191665098	-2.4054933448814	-1.89124900308831	1	2.82041664327414e-60	4.38075791238395e-58	130
LCN2	4.08941939145041	0.249918795752831	3.59958755271524	4.57925123018558	1	3.51425968032032e-60	5.41678866145251e-58	131
RSAD1	-1.1194476078219	0.0685940072617159	-1.25388939161014	-0.985005824033654	1	7.12476558416928e-60	1.0898732323905e-57	132
LRIG1	-1.39980218877224	0.0858628074165946	-1.56809019892026	-1.23151417862421	1	9.43083425952742e-60	1.43178500276976e-57	133
ITGAM	1.42155010281079	0.0872839732006472	1.25047665890997	1.59262354671162	1	1.23081619073215e-59	1.85467466591519e-57	134
CXCR3	-1.13343532554692	0.0696749701904699	-1.26999575774415	-0.996874893349702	1	1.67961690835084e-59	2.51220923062372e-57	135
LOC93622	-1.51467297405798	0.0931404124903217	-1.69722482804421	-1.33212112007174	1	1.82886616044706e-59	2.71532834645198e-57	136
IMP3	-1.19578078045888	0.0735932121939465	-1.34002082586563	-1.05154073505213	1	2.28821879138273e-59	3.37253385661315e-57	137
GABPB2	-1.3725099349423	0.0845103382698353	-1.53814715427248	-1.20687271561213	1	2.5979639869302e-59	3.80131078435468e-57	138
SIGIRR	-1.13924103924992	0.0701682911307077	-1.27676836272283	-1.00171371577701	1	2.81376852465123e-59	4.08745424818401e-57	139
PADI4	2.01103211506785	0.123880139662312	1.76823150292993	2.25383272720577	1	2.91389935446702e-59	4.20267541181415e-57	140
FBXO32	-1.05608509890316	0.0651024633971442	-1.1836835824664	-0.92848661533992	1	3.53149240981325e-59	5.05729749921625e-57	141
LIG3	-1.03107749965192	0.0635752618934875	-1.15568272327086	-0.906472276032984	1	3.74911221725948e-59	5.33113196414813e-57	142
GADD45A	3.37228730713345	0.208141020746103	2.96433840276569	3.78023621150122	1	4.88649019577654e-59	6.89986084147691e-57	143
PLA2G4A	1.7410047922561	0.10746343185895	1.53038033615748	1.95162924835472	1	4.96908189236872e-59	6.96775705352148e-57	144
SLAMF1	-1.30494393514065	0.0805873986236063	-1.46289233405069	-1.14699553623061	1	5.65942897058187e-59	7.88104757061994e-57	145
PHC1	-1.09155905420362	0.0674796427776346	-1.22381672373741	-0.959301384669827	1	7.43290479348787e-59	1.02798091500073e-56	146
NOG	-1.89244995274904	0.117057680094012	-2.12187878984712	-1.66302111565097	1	8.64526367666837e-59	1.18751812353257e-56	147
CXXC5	-1.44439289423239	0.0893742869155367	-1.61956327773079	-1.26922251073399	1	9.47488217227552e-59	1.29268122177424e-56	148
CAMK2D	-1.51197028961487	0.0936881511101001	-1.69559569156882	-1.32834488766093	1	1.37203852389027e-58	1.85934240767734e-56	149
ZNF395	-1.62687937730987	0.10091517776155	-1.82466949121597	-1.42908926340377	1	1.80896081001589e-58	2.43510244505606e-56	150
MTF1	0.931287977690012	0.057820648853892	0.817961588373647	1.04461436700638	1	2.2967990678047e-58	3.07132230312003e-56	151
BAZ1B	-0.934967141557676	0.0580654503431752	-1.0487733329764	-0.821160950138954	1	2.47178566364162e-58	3.28357211317445e-56	152
SYNE2	-1.82529941447722	0.113576715867787	-2.04790568706042	-1.60269314189402	1	4.06996257724961e-58	5.37128655946563e-56	153
STMN3	-1.46228758731107	0.0910094251606226	-1.64066278287959	-1.28391239174256	1	4.31611751415813e-58	5.65915875622604e-56	154
ZNF275	-1.25297811479436	0.0780932013160233	-1.4060379768112	-1.09991825277752	1	6.23088008750995e-58	8.11702778883877e-56	155
SPIDR	1.6762079813008	0.10459839476594	1.47119889471886	1.88121706788275	1	8.52452966486898e-58	1.10338014739125e-55	156
RASGRF2	-1.24037696436047	0.0774340189217428	-1.39214485262528	-1.08860907609566	1	9.49097335206188e-58	1.22064798678238e-55	157
SF3A1	-0.865094304656237	0.0540483715640657	-0.971027166344844	-0.759161442967629	1	1.16169468234659e-57	1.48461639404698e-55	158
CD96	-1.76390622007363	0.110297160378423	-1.98008468201238	-1.54772775813489	1	1.44572698904627e-57	1.83598234986304e-55	159
SQOR	1.0639508677532	0.0665358338412007	0.933543029743106	1.1943587057633	1	1.48486743273005e-57	1.87390270010533e-55	160
LINC01550	-1.60975203570556	0.100674660782028	-1.80707074499412	-1.412433326417	1	1.50889607809571e-57	1.8923993545906e-55	161
CD81	-1.38041552282431	0.0864961815123126	-1.54994492338868	-1.21088612225993	1	2.45604864872583e-57	3.06126755031309e-55	162
MDN1	-1.3608939152897	0.0853841934808439	-1.52824385936116	-1.19354397121825	1	3.4260789508333e-57	4.24413412117951e-55	163
RASGRP1	-2.04216368548234	0.128174975287932	-2.293382020766	-1.79094535019869	1	3.76231819281337e-57	4.63223957007851e-55	164
FAM117B	-1.79618472778591	0.112950693207806	-2.01756401850204	-1.57480543706978	1	6.10034816282796e-57	7.46534727901953e-55	165
TRIM32	-0.978666087243577	0.0615440342043324	-1.09929017774737	-0.858041996739784	1	6.14875226199144e-57	7.47925335386333e-55	166
RAB10	0.969258053420186	0.0609835420978054	0.849732507258806	1.08878359958157	1	6.99949276209525e-57	8.46309927258846e-55	167
P2RY8	-1.58757664703701	0.100053314186828	-1.78367753937706	-1.39147575469695	1	1.06722841534927e-56	1.28270691444836e-54	168
FNBP1	-0.781308766761	0.0492540388650424	-0.877844909029619	-0.684772624492381	1	1.1459891116237e-56	1.36921965336721e-54	169
PEBP1	-1.57214503977593	0.0993182149003886	-1.76680516398951	-1.37748491556236	1	1.95157097518365e-56	2.31800712534754e-54	170
CD27	-1.71930472456508	0.108629064000863	-1.93221377768107	-1.50639567144909	1	2.01693860270379e-56	2.38163884595292e-54	171
HLA-DMB	-2.03789585311889	0.128761979323609	-2.29026469517125	-1.78552701106652	1	2.0315646372355e-56	2.384962392736e-54	172
TBC1D8	1.99243931997275	0.126294673948017	1.74490630759541	2.23997233235009	1	4.54302778084854e-56	5.30247496825975e-54	173
ACSL1	1.45745328979819	0.0925007549150441	1.27615514162194	1.63875143797445	1	6.23418240633002e-56	7.23451788210435e-54	174
RPL22	-1.57488673579188	0.10026320002999	-1.7713989968254	-1.37837447475837	1	1.3432108849469e-55	1.54983509650559e-53	175
GAPDH	0.856899319369567	0.0545923291028246	0.749900320495873	0.963898318243261	1	1.60243595034794e-55	1.83843106303555e-53	176
MTR	-1.06818907911946	0.0680858924747812	-1.2016349762253	-0.934743182013623	1	1.80303741350236e-55	2.05688878268021e-53	177
ESYT2	-1.47953391968115	0.0943403184320148	-1.66443754609793	-1.29463029326436	1	1.97867091170923e-55	2.24456871063106e-53	178
PECR	1.62153709674112	0.103437154703543	1.41880399885887	1.82427019462336	1	2.18842108387808e-55	2.46863678914336e-53	179
USP11	-1.23981228806207	0.0790977518838911	-1.39484103301258	-1.08478354311156	1	2.26240418247142e-55	2.53791473624794e-53	180
DNMT1	-1.32580857725086	0.0847613262842846	-1.4919377240499	-1.15967943045181	1	3.78673987468429e-55	4.2244116878246e-53	181
DCAF1	-0.852221168983537	0.0545095786597689	-0.959057979969137	-0.745384357997937	1	4.24868272282912e-55	4.71370338128382e-53	182
FAM43A	-1.3821056978151	0.0884135500061701	-1.55539307157253	-1.20881832405768	1	4.3879069086826e-55	4.84156373224695e-53	183
HEG1	-1.14917987880177	0.0737209007920837	-1.29367018926211	-1.00468956834144	1	8.7496919100092e-55	9.60183581776662e-53	184
TMC8	-1.34757851990299	0.0866011719727408	-1.51731369798852	-1.17784334181746	1	1.34529576379026e-54	1.46833578715961e-52	185
DDHD2	-1.76805388213289	0.113695391261667	-1.99089275421395	-1.54521501005183	1	1.57139547219772e-54	1.70589340723744e-52	186
TNRC6C	-1.19731123081281	0.0770128200718707	-1.34825358450154	-1.04636887712408	1	1.66974668791477e-54	1.80296925788102e-52	187
ZNF827	-1.52284407045479	0.0979938340445823	-1.71490845588917	-1.33077968502042	1	1.85395342621057e-54	1.99122487138531e-52	188
GPR183	-1.87173005891785	0.120550761916724	-2.10800521058349	-1.6354549072522	1	2.29612380929969e-54	2.45308634695128e-52	189
OSTF1	0.846652156884782	0.0545700772062026	0.739696770927055	0.953607542842509	1	2.74837973931191e-54	2.92080440506243e-52	190
FCRL3	-2.03822398987569	0.131397279946123	-2.29575792623662	-1.78069005351476	1	2.88136079061394e-54	3.04609618241239e-52	191
SF3B2	-0.69088579257733	0.0445481875513705	-0.778198635754552	-0.603572949400108	1	3.02811169349523e-54	3.18456413099248e-52	192
PYGL	1.29179663025998	0.0833088183083953	1.12851434678094	1.45507891373903	1	3.15363405401169e-54	3.29938750355462e-52	193
MMP9	3.12531064310805	0.201602310760327	2.73017737481775	3.52044391139834	1	3.34405359312883e-54	3.48057371919884e-52	194
SLC26A8	2.27825618173949	0.147088726261994	1.98996757573412	2.56654478774487	1	4.11691312085374e-54	4.2630107557066e-52	195
DYSF	1.34331057516011	0.0868745074469271	1.17303966938947	1.51358148093074	1	6.19894829772623e-54	6.38618183814735e-52	196
URGCP	-1.33289507183269	0.0862270152872513	-1.50189691629008	-1.16389322737529	1	6.66610975907216e-54	6.83259331244594e-52	197
FNBP4	-1.14167314380819	0.0739578971706411	-1.28662795863496	-0.996718328981418	1	9.25834000420827e-54	9.44163643257441e-52	198
MAP2K6	2.49447206463989	0.161710419270465	2.1775254669449	2.81141866233487	1	1.10213207027384e-53	1.11830405844067e-51	199
RBM26	-0.919398804708661	0.0596214901150644	-1.0362547780388	-0.802542831378523	1	1.19004358822403e-53	1.20146800667098e-51	200
ZNF286A	-1.07366883247555	0.0698994038099737	-1.21066914648392	-0.936668518467178	1	3.02638894599451e-53	3.04024107450354e-51	201
HAUS5	-1.06800806574417	0.0695492849097106	-1.20432215931772	-0.93169397217062	1	3.22230644151769e-53	3.22103028055075e-51	202
CD58	1.45526002202863	0.0948883986990116	1.26928217802789	1.64123786602937	1	4.35791985223596e-53	4.33473485991864e-51	203
RABGAP1	-0.882436001261778	0.0576090190192826	-0.995347603724255	-0.769524398799301	1	5.82681852699282e-53	5.76740782828623e-51	204
PATZ1	-1.23384653455842	0.0805545879936354	-1.39173062581541	-1.07596244330143	1	5.89637394979778e-53	5.80778452655203e-51	205
EXOSC10	-1.08711118368783	0.0710183553718385	-1.2263046024579	-0.94791776491776	1	6.81666539096815e-53	6.68165570749655e-51	206
DPP4	-1.91581951239417	0.125376308318145	-2.16155256121232	-1.67008646357601	1	1.03060051318126e-52	1.00530848126358e-50	207
ITK	-2.29756791103891	0.150506592522419	-2.5925554118187	-2.00258041025913	1	1.29702980069838e-52	1.25911662190874e-50	208
DOCK10	-1.82236562223658	0.119535443031082	-2.05665078545354	-1.58808045901962	1	1.76648302676439e-52	1.70664235772376e-50	209
DIDO1	-0.779041642858852	0.0511517499481004	-0.879297230503327	-0.678786055214376	1	2.23558679775663e-52	2.14956993430009e-50	210
C6orf136	-0.898845894446681	0.0590467490181729	-1.01457539592648	-0.783116392966886	1	2.50324104732931e-52	2.39551863638263e-50	211
