Genes	Diseases	Mutations	Chemicals	Species	PMID
MYC>4609	Aggressive B-cell lymphoma>MESH:D016393,lymphoma science>MESH:D008223,B-cell lymphoma>MESH:D016393,aggressive lymphoma>MESH:D001523		bortezomib>MESH:C400082,lenalidomide>MESH:C467567,ibrutinib>MESH:C551803	patients>9606,patient>9606	31672721
				Participants>9606,participants>9606,Participant>9606	31671859
ASCL1>429,ELF3>1999,NR0B1>190,TCF3>6929	Small Cell Lung Cancer>MESH:D055752,cancers>MESH:D009369,small cell lung cancer>MESH:D055752,SCLC>MESH:D055752,tumors>MESH:D009369,tumor>MESH:D009369,cancer>MESH:D009369			human>9606,mouse>10090	31671086
	inflammation>MESH:D007249,breast cancer>MESH:D001943,breast disease>MESH:D061325,malignancies>MESH:D009369			women>9606	31669505
	hereditary angioedema>MESH:D054179,Hereditary angioedema>MESH:D054179,HAE>MESH:D054179,angioedema>MESH:D000799			patients>9606	31669336
	osteosarcoma>MESH:D012516,osteosarcomas>MESH:D012516,tumors>MESH:D009369,cancer>MESH:D009369,osteoblastic differentiation>MESH:D012734				31669178
	tumour>MESH:D009369,cancer>MESH:D009369,infer tumour>MESH:D009369,tumours>MESH:D009369				31665523
	cancer>MESH:D009369,Cancer Society's Cancer>MESH:D009369				31661164
				patients>9606	31660528
	Diabetic Kidney Disease>MESH:D003928,diabetic kidney disease>MESH:D003928,DKD>MESH:D003928			Patients>9606,patients>9606,participants>9606,PARTICIPANTS>9606,Participants>9606	31659655
PTEN>5728	Prostate Cancer>MESH:D011471,prostate cancer>MESH:D011471,cancer>MESH:D009369,tumor>MESH:D009369,molecular abnormalities>MESH:D030342			Patients>9606,patients>9606,patient>9606	31650098
				patients>9606,patient>9606	31655745
				participants>9606	31654527
				person>9606	31650628
	cancer>MESH:D009369,restenosis>MESH:D023903			patients>9606	31650318
PTEN>5728,TP53>7157	Prostate Cancer>MESH:D011471,prostate cancer>MESH:D011471,PC>MESH:D011471			patients>9606,PATIENTS>9606,patient>9606	31650100
p300-HAT>2033,p300>2033,CREB-binding protein>1387,CBP>1387	multiple cancers>MESH:D009369,hematological malignancies>MESH:D019337,prostate cancer>MESH:D011471		androgen>MESH:D000728,CPI-076>MESH:C022120	human>9606	31649965
	Costello syndrome>MESH:D056685,CS>MESH:D056685,RASopathy>No Data,developmental delays>MESH:D002658,short stature>MESH:D006130,pituitary dysfunction>MESH:D010900			patient>9606,girls>9606	31649741
UGT1A>7361,ACE>1636,COMT>1312,ABCB1>5243,APOE>348,NAT2>10,CYP2B6>1555,CYP2D6>1565,CYP3A4>1576,VKORC1>79001,UGT1A1>54658,DPYD>1806,CBR3>874,TPMT>7172,CYP3A5>1577	NGS>No Data				31649539
	death>MESH:D003643				31649164
EGFR>1956,ALK>238,epidermal growth factor receptor>1956	non-small cell lung cancer>MESH:D002289,brain metastasis>MESH:D009362,NSCLC>MESH:D002289,BM>MESH:D009362			patients>9606	31648302
				Child>9606,children>9606	31647097
PD-L1>29126,EGFR>1956,BRAF>673,ERBB2>2064,RET>5979,ALK>238,ROS1>6098	tumor>MESH:D009369,NSCLC>MESH:D002289,non-small cell lung cancer>MESH:D002289,tumors>MESH:D009369			patients>9606	31645901
	cancer>MESH:D009369,tumours>MESH:D009369,Metastatic cancer>MESH:D009369,death>MESH:D003643,tumour>MESH:D009369,primary tumours>MESH:D009369,genomic tumour>MESH:D042822			patients>9606	31645765
				human>9606	31643083
	Hereditary Cancer>MESH:D009386,hereditary cancer>MESH:D009386,cancer>MESH:D009369,hereditary breast and ovarian cancer>MESH:D061325,Lynch syndrome>MESH:D003123,hereditary diffuse gastric cancer>MESH:D013274			patients>9606,Participants>9606	31642931
	cellulitis>MESH:D002481,dysplastic nevi>MESH:D004416,Stevens-Johnson syndrome>MESH:D013262,toxic epidermal necrolysis>MESH:D013262		terbinafine>MESH:C041359,isotretinoin>MESH:D015474,cyclosporine>MESH:D016572	patient>9606,patients>9606	31642872
TGFbeta>7040,KRAS>3845,CDKN2A>1029,TP53>7157,SMAD4>4089	pancreatic cancer>MESH:D010190,cancer>MESH:D009369,malignancy>MESH:D009369,pancreatic ductal adenocarcinoma>MESH:D021441,PDAC>MESH:D021441,tumor>MESH:D009369				31639254
	cardiovascular abnormalities>MESH:D018376,cardiovascular disease>MESH:D002318			patient>9606,Human>9606,patients>9606	31638417
DHCR7>1717,PCBD1>5092,GAA>2548,ALDOB>229,ATP7B>540,GBA>2629	metabolic diseases>MESH:D008659,metabolic disorders>MESH:D008659,isobutyl-CoA dehydrogenase deficiency>MESH:D054069			infants>9606,Children>9606	31637888
			FEMA>MESH:C039407,Iron>MESH:D007501		31637689
				participants>9606,Participant>9606	31637362
	colon cancer>MESH:D015179,Lynch syndrome>MESH:D003123,colorectal cancer>MESH:D015179,CRC>MESH:D015179,cancer>MESH:D009369,cancers>MESH:D009369				31636762
aldose reductase>231,PMM2>5373	diabetic neuropathy drug epalrestat for the congenital disorder of glycosylation PMM2-CDG>MESH:D018981,Phosphomannomutase 2 deficiency>MESH:C535739,congenital disorder of glycosylation>MESH:D018981,diabetic neuropathy>MESH:D003929,neuropathy>MESH:D009422,enzyme deficiency>MESH:D008661		polyphenols>MESH:D059808,epalrestat>MESH:C038131,Epalrestat>MESH:C038131,F183S>MESH:C083647,glucose>MESH:D005947,polyol>MESH:C029873,glucose-1,6-bisphosphate>MESH:C016473	patients>9606,human>9606,patient>9606,yeast>4932,humans>9606	31636082
				People>9606,people>9606	31635327
	Depression>MESH:D003866,depression>MESH:D003866,sleep disturbance>MESH:D012893,youth sleep disturbance>MESH:D012893,daytime sleepiness>MESH:D012893			Participants>9606,girls>9606,boys>9606	31633781
	theoretical>No Data			women>9606,men>9606,Women>9606	31633570
YB-1>4904,Y-box binding protein-1>4904	Cancer>MESH:D009369,Mesothelioma>MESH:D008654,cancers>MESH:D009369,malignant pleural mesothelioma>MESH:C562839,MPM>MESH:C562839,cancer>MESH:D009369,thoracic cancers>MESH:D009369,thoracic cancer>MESH:D009369		Be>No Data	patients>9606	31632972
	cancer>MESH:D009369,genetic diseases>MESH:D030342			human>9606	31632691
	Visual Communication Design>MESH:D014786				31631959
				Men>9606,men>9606,People>9606	31631746
				human>9606	31630468
				humans>9606	31627755
PIK3CA>5290	osteosarcoma>MESH:D012516,Extraskeletal osteosarcoma>MESH:D012516,ESOS>MESH:D012516,mesenchymal malignancy>MESH:C535700,osteoid>MESH:D010017,osseous osteosarcoma>MESH:D012516,tumor>MESH:D009369,malignancy>MESH:D009369			patient>9606	31625124
	cardiac myxofibrosarcoma>MESH:D006331,Cardiac tumors>MESH:D006338,cardiac sarcomas>MESH:D006331,heart failure>MESH:D006333,myxoma>MESH:D009232,cardiac sarcoma>MESH:D006331,myxofibrosarcomas>No Data,tumor>MESH:D009369		doxorubicin>MESH:D004317,gemcitabine>MESH:C056507	woman>9606,patient>9606	31624749
KRAS>3845,NRAS>4893,BRAF>673	Colorectal Cancer>MESH:D015179,cancer>MESH:D009369,colorectal cancer>MESH:D015179,tumor>MESH:D009369			human>9606	31623125
	tumors>MESH:D009369,sarcomas>MESH:D012509,thyroid cancers>MESH:D013964,cancer>MESH:D009369,tumor>MESH:D009369,thyroid cancer>MESH:D013964			patient>9606,patients>9606	31622558
	legality>MESH:D001766			human>9606,Human>9606	31620872
BRCA1-associated-protein-1>8314,BRCA1 associated protein 1>8314,BAP1>8314,RRM1>6240,RRM2>6241	mesothelioma>MESH:D008654,malignant pleural mesothelioma>MESH:C562839,MPM>MESH:C562839		ribonucleotide>MESH:D012265,Gemcitabine>MESH:C056507,hydroxyurea>MESH:D006918,gemcitabine>MESH:C056507		31619462
	cancer>MESH:D009369,Cancer>MESH:D009369,tumor>MESH:D009369			patients>9606	31618044
	cancer>MESH:D009369,genetic diseases>MESH:D030342,tumors>MESH:D009369			patient>9606,patients>9606	31616176
				patient>9606,people>9606	31615589
beta-Catenin>1499,beta-catenin>1499	Cancer>MESH:D009369,cancers>MESH:D009369,colorectal cancer>MESH:D015179,melanoma>MESH:D008545,leukemia>MESH:D007938,breast and lung cancers>MESH:D001943,cancer>MESH:D009369			human>9606	31613700
	bladder cancer>MESH:D001749,urinary bladder cancer>MESH:D001749,tumors>MESH:D009369,PMC>MESH:C538616,tumor>MESH:D009369,cancer>MESH:D009369				31608720
	psychosocial>MESH:C535569			People>9606,people>9606,participant>9606	31608651
insulin>3630	Diabetes>MESH:D003920,hyperglycemia>MESH:D006943,diabetes>MESH:D003920,pediatric diabetes>MESH:D063766,blood glucose>MESH:D018149,pediatric diabetes education>MESH:D063766		ketones>MESH:D007659,sugar>MESH:D002241,Ketone>MESH:D007659,carbohydrates>MESH:D002241,carbohydrate>MESH:D002241		31608650
GTF2I>2969	thymic epithelial tumors>MESH:C536905,cancers>MESH:D009369,Paraneoplastic autoimmune disorders>MESH:D010257,thymoma>MESH:D013945,TETs>MESH:C536905,opportunistic infections>MESH:D009894,malignancies>MESH:D009369,thymic tumors>MESH:D013953,tumor>MESH:D009369,toxicity>MESH:D064420			patients>9606	31608319
	cancer>MESH:D009369,Anus Neoplasms>MESH:D001005,Cancer>MESH:D009369			patients>9606,Patient>9606	31607810
	MMR-D>MESH:C536928,colorectal cancer>MESH:D015179,Metastatic colorectal cancer>MESH:D015179,CRC>MESH:D015179,mismatch repair-deficiency>MESH:C536928,tumour>MESH:D009369			patients>9606	31607751
apolipoprotein L1>8542,APOL1>8542	ESKD>MESH:D007676,end-stage kidney disease>MESH:D007676,kidney disease>MESH:D007674,genetic diseases>MESH:D030342,linked kidney disease>MESH:D007674			patients>9606	31606237
	solid malignancies>MESH:D018250,tumor>MESH:D009369,cancer>MESH:D009369,determination of tumor>MESH:D003643,solid tumors>MESH:D009369,melanoma>MESH:D008545,colorectal cancer>MESH:D015179			patients>9606	31605234
	serous ovarian cancer>MESH:D010051,tumor>MESH:D009369,tumors>MESH:D009369			patients>9606,Patients>9606	31603993
	schizophrenia>MESH:D012559		clozapine>MESH:D003024,Clozapine>MESH:D003024	patients>9606	31603988
l-asparaginase>80150,CD30>943	T-Cell Lymphoma>MESH:D016399,T-cell lymphoma>MESH:D016399,peripheral T-cell lymphoma>MESH:D016411,palatal deformity>MESH:D002972,tumor>MESH:D009369,hard palate>MESH:D018804,standard lymphoma regimens>MESH:D008223,advanced disease>MESH:D020178			patients>9606	31600461
				children>9606,child>9606	31598725
	death>MESH:D003643			Child>9606,child>9606	31598663
	hematological malignancies>MESH:D019337,cancer>MESH:D009369,death>MESH:D003643			patients>9606	31597868
				Patient>9606,patients>9606,patient>9606	31597182
	cancer>MESH:D009369			patient>9606	31594934
CYP2C19>1557,UGT1A1>54658,CYP3A5>1577,CYP2D6>1565,CYP2B6>1555				patients>9606,child>9606	31594036
programmed cell death protein 1>5133,PD-1>5133,TNFRSF9/4-1BB>3604,IDO1>3620,TNFSF4>7292,OX40L>7292,TNFRSF18>8784,GITR>8784,FOXP3>50943,PD-L1>29126,TIGIT>201633,OX40>7293,CTLA4>1493,PDGFRB>5159,CD3E>916,CD8A>925	neck squamous cell carcinoma>MESH:C535575,Primary tumour>MESH:D009369,papillomavirus-positive tumour>MESH:D030361,tumours>MESH:D009369		platinum>MESH:D010984	patients>9606,PATIENTS>9606	31593831
	tumours>MESH:D009369,tumour>MESH:D009369			patients>9606,PATIENTS>9606	31593830
TP53>7157,CDKN2A>1029,PTEN>5728,BRCA2>675,CHEK2>11200,BRCA1>672,MSH6>2956,RBM47>54502,CDK12>51755	Advanced and Metastatic Cancer>MESH:D009369,cancer>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369,kidney cancer>MESH:D007680,APC>MESH:D011125,prostate cancer>MESH:D011471			Patients>9606,patients>9606,PATIENTS>9606,patient>9606	31592503
BRCA2>675,poly(ADP-ribose) polymerase>142,PARP>142,RB1>5925	prostate cancer>MESH:D011471,microsatellite instability>MESH:D053842,advanced prostate cancer>MESH:D011471,tumour>MESH:D009369		platinum>MESH:D010984	patients>9606,patient>9606	31591549
EBP>10682	disruptive behavior disorders>MESH:D019958			people>9606,Children>9606,children>9606	31590906
	infertile>MESH:D007246			patients>9606,participants>9606	31589614
	multiple sclerosis>MESH:D009103,MS>MESH:D009103			outpatient>9606,patients>9606	31588627
	tumors>MESH:D009369		PHP>MESH:C493734	human>9606	31586224
	social science>OMIM:300082			Zika virus>64320,Zika Virus>64320,ZIKV>64320	31584946
			Medicines>MESH:C000595681	patient>9606	31584461
SEMA4C>54910,semaphorin 4C>54910,SNAI1>6615,SNAI2>6591,TWIST1>7291	osteosarcoma growth>MESH:D012516,cancers>MESH:D009369,tumor>MESH:D009369,osteosarcoma>MESH:D012516,malignancies>MESH:D009369,lung metastasis>MESH:D009362			patient>9606	31582836
voltage-dependent anion channel-1>7416,VDAC1>7416	cancer>MESH:D009369,non-small cell lung cancer>MESH:D002289,tumor>MESH:D009369,melanoma>MESH:D008545,breast and lung adenocarcinoma>MESH:D061325,glioblastoma neurospheres>MESH:D005909		Arg225>MESH:C033006,Arg236>MESH:C119130,Ser>MESH:C530429	patients>9606,patient>9606	31582380
	Endophthalmitis>MESH:D009877,endophthalmitis>MESH:D009877,infectious endophthalmitis>MESH:D009877,retinal disorders>MESH:D012164,ambiguousness>MESH:D012734,fungal endophthalmitis>MESH:D009877			Patients>9606,patients>9606,Aspergillus sp>5065,Fusarium sp>29916,Exserohilum sp>1868163,Candida sp>1853550	31581465
EGFR>1956,BRAF>673,KRAS>3845	tumor>MESH:D009369,cancer>MESH:D009369			donor>9606,patient>9606	31581267
	tumour>MESH:D009369,cancer>MESH:D009369,solid tumours>MESH:D009369			patients>9606	31580920
fog>161882					31578968
	OAB>MESH:D053201,Overactive bladder>MESH:D053201,incontinence symptoms>MESH:D051271,urinary incontinence>MESH:D014549,hematuria>MESH:D006417,pain>MESH:D010146			women>9606,patients>9606,patient>9606	31578764
	prosthetic failure>MESH:D017093			patients>9606,patient>9606	31577676
	central nervous system tumors>MESH:D016543,tumors>MESH:D009369,tumor>MESH:D009369,CNS tumors>MESH:D016543,ependymoma>MESH:D004806,cancers>MESH:D009369		temozolomide>MESH:C047246,lapatinib>MESH:C490728,vemurafenib>MESH:C551177	patients>9606,children>9606	31577601
	vaginosis>MESH:D016585,dysbiosis>MESH:D064806,vaginal dysbiosis>MESH:D064806			humans>9606	31572693
	HIV-1 Infection>MESH:D015658,AIDS>MESH:D000163,HIV-1-infected>MESH:D015658			patients>9606,HIV-1>11676	31572435
Epidermal Growth Factor Receptor>1956,EGFR>1956	lung cancer>MESH:D008175,tumour>MESH:D009369,tumour and lung parenchyma>MESH:D008175,Temno-needle core tumour>MESH:D020512,needle tumour>MESH:D009369,non-small cell lung cancer>MESH:D002289,Temno tumour>MESH:D009369		formalin>MESH:D005557	patients>9606	31571426
	tumours>MESH:D009369,tumour>MESH:D009369,malignancies>MESH:D009369,microsatellite instable tumours>MESH:D053842,colorectal cancer>MESH:D015179,cancer>MESH:D009369			patients>9606	31570881
	depressive disorder>MESH:D003866,Depressive disorder>MESH:D003866,depression>MESH:D003866			people>9606	31569007
				women>9606,men>9606	31567285
Monocarboxylate Transporter 1>6566,monocarboxylate transporter 1>6566,PTEN>5728	Prostate Cancer>MESH:D011471,primary prostate cancer>MESH:D011471		Lactate>MESH:D019344,pyruvate>MESH:D011773,lactate>MESH:D019344	Human>9606,humans>9606,patients>9606	31564440
	Stroke>MESH:D020521,Atrial Fibrillation>MESH:D001281,atrial fibrillation>MESH:D001281,AF>MESH:D001281,stroke>MESH:D020521,systemic embolism>MESH:D004617			patients>9606	31564126
EpCAM>4072	Metastatic Urothelial Cancer>MESH:D014523,urothelial carcinoma>MESH:D014523,UC>MESH:D014523,tumor>MESH:D009369,urothelial cancer>MESH:D014523,person's cancer>MESH:D009369			Patients>9606,patients>9606,PATIENT>9606	31563523
				patients>9606,people>9606,human>9606,patient>9606	31562182
				human>9606,children>9606,child>9606,women>9606	31561862
				patients>9606	31559270
	pancreatic acinar cell carcinomas>MESH:D010190,Pancreatic acinar cell carcinoma>MESH:D010190,pancreatic malignancies>MESH:D010190,pancreatic ductal adenocarcinoma>MESH:D021441,acinar cell carcinomas>MESH:D018267,tumours>MESH:D009369,cancers>MESH:D009369,pancreatic carcinomas>MESH:C562463,acinar cell spectrum tumours>MESH:D018267,pancreatoblastomas>MESH:C537162,acinar-pancreatic neuroendocrine tumour>MESH:D010190,acinar carcinomas>MESH:D018267		tyrosine>No Data	patients>9606	31558784
	osteoporosis>MESH:D010024,fracture>MESH:D050723,fractures>MESH:D050723				31558405
Endothelin-1 Receptor>1909,beta-Arrestin-1>408,endothelin-1 receptor>1909,ET-1R>1909,beta-arrestin-1>408,beta-arr1>408,ETAR>1909,ETBR>1910	Axis in Ovarian Cancer>MESH:D010051,ovarian cancer>MESH:D010051,cancer>MESH:D009369,tumor>MESH:D009369				31551935
				Patient>9606,participants>9606,patients>9606,Participants>9606,person>9606	31549758
FN1>2335,fibronectin>2335,SPP1>6696,secreted phosphoprotein 1>6696,LGALS3>3958,galectin 3>3958	Lupus Nephritis>MESH:D008181,Nephrology/Renal Pathology Society (ISN/RPS) lupus nephritis>MESH:D007674			patients>9606	31547518
	Complementary Modalities>MESH:C536085,tumor>MESH:D009369,malignancies>MESH:D009369			patients>9606,Patients>9606	31546879
				donor>9606	31131370
KRAS>3845	Cancer>MESH:D009369,Tumors>MESH:D009369,cancer>MESH:D009369,tumor>MESH:D009369,macropinocytosis>No Data,pancreatic and non-small-cell lung cancer>MESH:D002289		fatty acid>MESH:D005227		31544066
	cancer>MESH:D009369,solid tumours>MESH:D009369,tumour>MESH:D009369,tumours>MESH:D009369,extracranial paediatric solid tumours>MESH:D018241		formalin>MESH:D005557	children>9606,patients>9606	31543384
Mitochondrial fission factor>56947,Myc>4609,Mitochondrial Fission Factor>56947,MFF>56947,Voltage-Dependent Anion Channel-1>7416,VDAC1>7416	cancer>MESH:D009369,prostate cancer>MESH:D011471,multiple myeloma>MESH:D009101,MM>MESH:D009101,tumour>MESH:D009369,xenograft tumour>MESH:D009369		Ca2+>MESH:D002118	patient>9606,mice>10090	31542392
				human>9606,person>9606	31541197
				participants>9606,human>9606	31540891
TP53>7157,PIK3CA>5290,BRCA1/2>672;675,BRCA1>672,poly ADP ribose polymerase>142,AKT>207,MLH1>4292	Ovarian Cancer>MESH:D010051,ovarian cancer>MESH:D010051,serous carcinomas>MESH:D018284		formalin>MESH:D005557,paraffin>MESH:D010232	patients>9606	31538426
	HIV epidemic settings>MESH:D004671				31538407
	congenital heart disease>MESH:D006331,congenital heart defects>MESH:D006330			patients>9606,patient>9606	31535184
	Chagas disease>MESH:D014355			human>9606	31533762
UGT1A1>54658	Colorectal Cancer>MESH:D015179,colorectal cancer>MESH:D015179		dihydropyrimidine>MESH:C586280,UDP>MESH:D014530,5-fluorouracil>MESH:D005472,irinotecan>MESH:C051890	Patients>9606,patient>9606,patients>9606,participants>9606	31533552
	Osteosarcoma>MESH:D012516,cancer>MESH:D009369			murine>10090,dogs>9615,patient>9606,canine>9615	31529263
				participants>9606,persons>9606	31527854
				child>9606,human>9606	31521909
beta-defensin 2>1673,hBD2>1673,C-reactive protein>1401	cancers>MESH:D009369,acute lymphoblastic leukemia>MESH:D054198,graft-versus-host disease>MESH:D006086,aGvHD>No Data,death>MESH:D003643,High inflammation>MESH:D007249			gut microbiome>749906,patients>9606,donor>9606,children>9606,human>9606	31519210
				people>9606	31519185
BTK>695,TP53>7157,Bruton's tyrosine kinase>695,TGFB1>7040	colon cancers>MESH:D015179,Colorectal cancer>MESH:D015179,death>MESH:D003643,cancer>MESH:D009369,drug-resistant tumours>MESH:D018088,colon cancer>MESH:D015179,CRC>MESH:D015179,tumours>MESH:D009369		5-FU>MESH:D005472,5-fluorouracil>MESH:D005472	patients>9606,patient>9606	31518438
zip>1613	pulmonary disease>MESH:D008171,asthma>MESH:D001249,asthma symptoms>MESH:D051271,pediatric asthma>MESH:D001249		ozone>MESH:D010126	patients>9606,patient>9606,Children>9606,Patient>9606	31518318
	ovarian cancer>MESH:D010051,serous carcinoma>MESH:D018284			patient>9606	31512530
HGF>3082,c-MET>4233,hepatocyte growth factor (HGF) receptor>4233	cancers>MESH:D009369,Cancer>MESH:D009369,hallmarks of cancer>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369,non-small cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,head and neck cancers>MESH:D006258,pancreatic>MESH:D010195,gastrointestinal cancers>MESH:D005770,renal cancer>MESH:D007680,colorectal cancer>MESH:D015179,cancer>MESH:D009369,prostate and bladder cancers>MESH:D001749,melanoma>MESH:D008545		tyrosine>No Data,foretinib>MESH:C544831,savolitinib>No Data,tivantinib>MESH:C551661	human>9606,patient>9606,patients>9606	31512514
BRCA2>675,PALB2>79728,BRCA1>672,MSH6>2956,MLH1>4292	cancer>MESH:D009369,tumors>MESH:D009369,death>MESH:D003643			patients>9606,patient>9606	31511844
	pancreatic cancer>MESH:D010190,malignancies>MESH:D009369,pancreatic ductal adenocarcinoma>MESH:D021441,cancer>MESH:D009369			patient>9606,Patients>9606,patients>9606	31511204
				human>9606,patients>9606	31508498
				patient>9606	31507297
	heart failure>MESH:D006333,Heart failure>MESH:D006333,stroke>MESH:D020521			patient>9606,patients>9606	31507065
			warfarin>MESH:D014859	patients>9606	31506565
	Chordomas>MESH:D002817,malignant tumors>MESH:D009369,chordomas>MESH:D002817,chordoma>MESH:D002817,tumor>MESH:D009369				31504814
	SGS>MESH:C536632,pneumonia>MESH:D011014,influenzae infections>MESH:D007251		CrI>MESH:D002857	patients>9606,Streptococcus pneumoniae>1313,S. pneumoniae>1313	31504334
	Schizophrenia and Schizoaffective Disorder>MESH:D011618,schizophrenia and schizoaffective disorder>MESH:D011618			People>9606,people>9606,patients>9606,patient>9606,Patients>9606	31503175
PD-L1>29126	cancer>MESH:D009369,tumor>MESH:D009369,cancers>MESH:D009369			patient>9606,patients>9606	31502145
	Congenital anomalies>MESH:D000013,neonatal death>MESH:D003643,death>MESH:D003643,Multiple congenital malformation>MESH:D000013,congenital malformations>MESH:D000013,heart defects>MESH:D006330,metabolic disorders>MESH:D008659,respiratory failure>MESH:D012131			infant>9606,Children>9606,patients>9606,infants>9606	31501239
	Cholangiocarcinoma>MESH:D018281,Biliary tract cancers>MESH:D001661,malignancies>MESH:D009369,cholangiocarcinoma>MESH:D018281,gallbladder cancer>MESH:D005706			patient>9606,patients>9606	31500433
				patient>9606	31492407
	infertility>MESH:D007246,primary infertility>MESH:D007246,male factor infertility urology consultation>MESH:D007248,shock>MESH:D012769			men>9606,child>9606	31489202
CYP2D6>1565,CYP2C19>1557	pain>MESH:D010146		amitriptyline>MESH:D000639,nortriptyline>MESH:D009661,oxycodone>MESH:D010098,tramadol>MESH:D014147,carbamazepine>MESH:D002220,oxcarbazepine>MESH:C036006		31486733
	Glaucoma>MESH:D005901,chronic disease>MESH:D002908,glaucoma>MESH:D005901			patients>9606,patient>9606	31485154
			PolyPhen2>MESH:C037153		31484976
	malignancies>MESH:D009369,cancer>MESH:D009369,malignancy>MESH:D009369,tumors>MESH:D009369,metachronous malignancies>MESH:D016609,colon and kidney>MESH:D015179,IB lung adenosquamous carcinoma>MESH:D018196,colonic polyps>MESH:D003111,invasive adenocarcinoma>MESH:D000230,squamous cell renal carcinoma>MESH:D002294,kidney tumor>MESH:D007680,kidney tumors>MESH:D007680,colon tumor>MESH:D015179,colon malignancies>MESH:D003110,cancer - lung carcinoma>MESH:D008175,renal cell metastasis>MESH:D009362,colon carcinoma>MESH:D015179		platinum>MESH:D010984	patients>9606,patient>9606	31484545
Her2>2064,neu>2064,PIK3CA>5290	gallbladder cancer>MESH:D005706,cancer>MESH:D009369,aggressive cancer>MESH:D009369,biliary tract cancer>MESH:D001661,cholangiocarcinoma>MESH:D018281,cholangio-carcinoma>MESH:D002277		gemcitabine>MESH:C056507,cisplatin>MESH:D002945	patients>9606	31484490
