Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate
Snyder,08/10/2020,5,1.7,114,40540,12.3,4.2,281.2
Crawford,05/08/2020,0,0.1,23,85063,0,0.2,27
Philadelphia,06/14/2020,89,104.3,19836,1584138,5.6,6.6,1252.2
Clearfield,04/02/2020,1,0.4,5,79388,1.3,0.5,6.3
Delaware,08/27/2020,47,39.9,10265,564751,8.3,7.1,1817.6
Mercer,06/30/2020,0,2.4,139,110683,0,2.2,125.6
Bedford,04/21/2020,0,1,16,48176,0,2.1,33.2
Allegheny,05/18/2020,19,19.9,1712,1218452,1.6,1.6,140.5
Cambria,11/19/2020,214,127.9,2878,131730,162.5,97.1,2184.8
Centre,11/03/2020,13,30.9,4357,162805,8,19,2676.2
Bucks,05/29/2020,36,26.4,5126,628195,5.7,4.2,816
Mercer,08/21/2020,6,4.1,519,110683,5.4,3.7,468.9
Sullivan,09/25/2020,1,0.1,12,6071,16.5,2.4,197.7
Cambria,10/22/2020,51,21.3,992,131730,38.7,16.2,753.1
Columbia,07/27/2020,1,2.3,454,65456,1.5,3.5,693.6
Indiana,04/04/2020,4,1.4,13,84501,4.7,1.7,15.4
Philadelphia,11/18/2020,993,919.1,53127,1584138,62.7,58,3353.7
Venango,08/20/2020,1,0.3,71,51266,2,0.6,138.5
Montour,05/20/2020,0,0,50,18240,0,0,274.1
Philadelphia,06/24/2020,129,111.6,20888,1584138,8.1,7,1318.6
Carbon,07/20/2020,8,4.1,330,64227,12.5,6.5,513.8
Bradford,04/02/2020,0,0.9,8,60833,0,1.4,13.2
York,09/20/2020,28,43.7,4518,448273,6.2,9.8,1007.9
Lancaster,05/10/2020,29,37,2327,543557,5.3,6.8,428.1
Bucks,11/13/2020,248,226.7,12804,628195,39.5,36.1,2038.2
Venango,08/29/2020,0,0.1,72,51266,0,0.3,140.4
Pennsylvania,10/20/2020,1418,1485.9,186686,12807060,11.1,11.6,1457.7
Northumberland,04/05/2020,1,1.9,17,91083,1.1,2,18.7
Berks,04/15/2020,82,115.4,1469,420152,19.5,27.5,349.6
Fayette,03/30/2020,3,2.1,17,130441,2.3,1.6,13
Bucks,10/19/2020,41,39.7,9696,628195,6.5,6.3,1543.5
Carbon,10/30/2020,7,6.3,610,64227,10.9,9.8,949.8
Elk,06/22/2020,0,0.4,11,30169,0,1.4,36.5
Beaver,03/29/2020,30,8.3,66,164742,18.2,5,40.1
Lackawanna,09/04/2020,20,18,2185,210793,9.5,8.5,1036.6
Montgomery,08/01/2020,22,46.6,9894,828604,2.7,5.6,1194.1
Union,05/29/2020,1,0.9,58,44785,2.2,1.9,129.5
Mifflin,04/11/2020,1,0.9,11,46222,2.2,1.9,23.8
Chester,05/22/2020,41,33.9,2397,522046,7.9,6.5,459.2
Lebanon,10/13/2020,26,29,2422,141314,18.4,20.5,1713.9
Bradford,06/26/2020,0,1,59,60833,0,1.6,97
York,11/16/2020,253,139.7,8479,448273,56.4,31.2,1891.5
Dauphin,08/29/2020,25,24.6,3297,277097,9,8.9,1189.8
Wyoming,05/29/2020,0,0,36,27046,0,0,133.1
Pike,11/19/2020,7,8.6,773,55933,12.5,15.3,1382
Chester,03/24/2020,16,7.7,65,522046,3.1,1.5,12.5
Columbia,11/18/2020,8,14.7,1285,65456,12.2,22.5,1963.2
Bucks,04/22/2020,135,102.6,2288,628195,21.5,16.3,364.2
Crawford,08/04/2020,3,2.6,140,85063,3.5,3,164.6
Washington,07/14/2020,28,19.4,498,207346,13.5,9.4,240.2
Warren,05/08/2020,0,0,1,39498,0,0,2.5
Mckean,08/03/2020,0,1,34,40968,0,2.4,83
Schuylkill,04/12/2020,4,12.7,206,142067,2.8,8.9,145
Philadelphia,08/10/2020,137,121,26948,1584138,8.6,7.6,1701.1
Crawford,04/14/2020,0,1.3,19,85063,0,1.5,22.3
Wayne,04/29/2020,5,2.1,93,51276,9.8,4.2,181.4
Dauphin,07/25/2020,15,20,2546,277097,5.4,7.2,918.8
Washington,06/25/2020,3,3.3,189,207346,1.4,1.6,91.2
Forest,05/04/2020,0,0,7,7279,0,0,96.2
Montour,11/30/2020,8,7.9,475,18240,43.9,43.1,2604.2
Pike,08/09/2020,0,0,527,55933,0,0,942.2
Cumberland,10/28/2020,34,25.7,2514,251423,13.5,10.2,999.9
York,05/27/2020,16,12.6,980,448273,3.6,2.8,218.6
Lycoming,06/17/2020,0,0.4,172,113664,0,0.4,151.3
Juniata,08/12/2020,0,1,134,24704,0,4,542.4
Centre,09/25/2020,41,90,2459,162805,25.2,55.3,1510.4
Westmoreland,11/28/2020,170,234.7,9140,350611,48.5,66.9,2606.9
Perry,05/26/2020,5,1.4,53,46139,10.8,3.1,114.9
Venango,06/14/2020,0,0.6,19,51266,0,1.1,37.1
Juniata,04/24/2020,0,1.6,76,24704,0,6.4,307.6
Jefferson,05/27/2020,0,0,9,43641,0,0,20.6
Clinton,06/18/2020,2,0.9,67,38684,5.2,2.2,173.2
Clinton,11/11/2020,9,8.1,365,38684,23.3,21,943.5
Susquehanna,05/18/2020,2,1,90,40589,4.9,2.5,221.7
Juniata,07/16/2020,1,0.4,116,24704,4,1.7,469.6
Mercer,07/07/2020,0,2.9,159,110683,0,2.6,143.7
Allegheny,07/16/2020,234,206,6032,1218452,19.2,16.9,495.1
Montgomery,11/02/2020,130,119.1,14659,828604,15.7,14.4,1769.1
Northampton,07/24/2020,23,13,3730,304807,7.5,4.3,1223.7
Fulton,07/06/2020,0,0,18,14523,0,0,123.9
Juniata,07/20/2020,0,0.6,119,24704,0,2.3,481.7
Montour,06/21/2020,0,0.6,68,18240,0,3.1,372.8
Montgomery,08/22/2020,47,42.4,10767,828604,5.7,5.1,1299.4
Greene,09/12/2020,0,1.1,162,36506,0,3.1,443.8
Crawford,09/12/2020,4,2.1,257,85063,4.7,2.5,302.1
Montour,07/24/2020,2,0.7,88,18240,11,3.9,482.5
Union,04/17/2020,0,1,23,44785,0,2.2,51.4
Crawford,05/01/2020,0,0.1,22,85063,0,0.2,25.9
Montour,04/23/2020,0,0,46,18240,0,0,252.2
Sullivan,08/19/2020,0,0,10,6071,0,0,164.7
Greene,05/04/2020,0,0.1,28,36506,0,0.4,76.7
Huntingdon,05/25/2020,0,1.7,228,45168,0,3.8,504.8
Luzerne,08/20/2020,11,12.4,3675,317646,3.5,3.9,1156.9
Venango,07/02/2020,0,0.6,23,51266,0,1.1,44.9
Butler,03/25/2020,6,2.6,18,187888,3.2,1.4,9.6
Schuylkill,04/18/2020,7,10.6,276,142067,4.9,7.4,194.3
Washington,11/01/2020,35,44.3,2190,207346,16.9,21.4,1056.2
Northampton,10/21/2020,47,32.9,5167,304807,15.4,10.8,1695.2
Cumberland,07/31/2020,15,16.6,1237,251423,6,6.6,492
Cambria,06/04/2020,0,0.4,61,131730,0,0.3,46.3
Somerset,04/27/2020,1,1,26,73952,1.4,1.4,35.2
Washington,07/12/2020,9,19.7,461,207346,4.3,9.5,222.3
Westmoreland,03/18/2020,2,0.3,2,350611,0.6,0.1,0.6
York,06/18/2020,19,12.9,1242,448273,4.2,2.9,277.1
Fulton,09/03/2020,0,0.3,36,14523,0,2,247.9
Cumberland,11/21/2020,178,121.6,4332,251423,70.8,48.4,1723
Lebanon,09/05/2020,7,7.1,1766,141314,5,5.1,1249.7
Pike,05/09/2020,6,4.1,447,55933,10.7,7.4,799.2
Clarion,08/07/2020,0,0.3,82,38779,0,0.7,211.5
Mifflin,10/25/2020,2,7.4,372,46222,4.3,16.1,804.8
Bucks,05/27/2020,38,29.1,5055,628195,6,4.6,804.7
Luzerne,08/17/2020,11,22.6,3648,317646,3.5,7.1,1148.4
Armstrong,04/10/2020,4,2.1,28,65263,6.1,3.3,42.9
Elk,07/29/2020,0,0.7,44,30169,0,2.4,145.8
Forest,09/10/2020,0,0,14,7279,0,0,192.3
Delaware,10/25/2020,118,94.6,13295,564751,20.9,16.7,2354.1
Snyder,11/30/2020,23,22,1042,40540,56.7,54.3,2570.3
Pike,10/06/2020,2,2.6,600,55933,3.6,4.6,1072.7
Juniata,08/07/2020,1,0.9,131,24704,4,3.5,530.3
Pennsylvania,11/10/2020,4796,3694.1,244051,12807060,37.4,28.8,1905.6
Lebanon,05/13/2020,5,10,871,141314,3.5,7.1,616.4
Beaver,04/03/2020,3,10.4,100,164742,1.8,6.3,60.7
Bucks,08/06/2020,28,35.6,7200,628195,4.5,5.7,1146.1
Cumberland,11/28/2020,102,108,5088,251423,40.6,43,2023.7
Lebanon,07/26/2020,4,7,1547,141314,2.8,5,1094.7
Pennsylvania,08/25/2020,506,632.3,131016,12807060,4,4.9,1023
Snyder,05/31/2020,0,0.9,47,40540,0,2.1,115.9
Indiana,05/12/2020,2,0.4,79,84501,2.4,0.5,93.5
Berks,08/02/2020,30,24.6,5223,420152,7.1,5.8,1243.1
Allegheny,07/24/2020,162,152.6,7225,1218452,13.3,12.5,593
Delaware,11/19/2020,230,261.9,17927,564751,40.7,46.4,3174.3
Juniata,04/05/2020,1,1.4,12,24704,4,5.8,48.6
Indiana,06/30/2020,1,1.6,111,84501,1.2,1.9,131.4
Bradford,05/28/2020,0,0.1,47,60833,0,0.2,77.3
Jefferson,04/30/2020,0,0.1,6,43641,0,0.3,13.7
Clearfield,08/20/2020,1,2.7,210,79388,1.3,3.4,264.5
Dauphin,09/17/2020,17,17.4,3665,277097,6.1,6.3,1322.6
Delaware,10/17/2020,62,66.3,12601,564751,11,11.7,2231.2
Bradford,07/29/2020,0,1.3,86,60833,0,2.1,141.4
Potter,07/19/2020,0,0.1,19,16622,0,0.9,114.3
Somerset,07/12/2020,0,2.4,82,73952,0,3.3,110.9
Greene,07/29/2020,2,1.6,107,36506,5.5,4.3,293.1
Bradford,06/29/2020,1,1.1,60,60833,1.6,1.9,98.6
Chester,04/06/2020,33,26.7,374,522046,6.3,5.1,71.6
Schuylkill,09/10/2020,4,4.1,1035,142067,2.8,2.9,728.5
Dauphin,11/12/2020,93,81.9,5922,277097,33.6,29.5,2137.2
Tioga,11/09/2020,19,15.1,380,40763,46.6,37.1,932.2
Lackawanna,03/24/2020,3,2.4,18,210793,1.4,1.2,8.5
Clearfield,05/16/2020,0,0.6,35,79388,0,0.7,44.1
Mercer,10/02/2020,8,5.7,766,110683,7.2,5.2,692.1
Armstrong,05/04/2020,1,0.4,53,65263,1.5,0.7,81.2
Sullivan,08/26/2020,0,0,10,6071,0,0,164.7
Sullivan,09/14/2020,0,0,10,6071,0,0,164.7
Mckean,05/20/2020,0,0.1,12,40968,0,0.3,29.3
Union,08/05/2020,4,10.1,204,44785,8.9,22.6,455.5
Montour,06/03/2020,0,0.4,53,18240,0,2.3,290.6
Butler,10/08/2020,24,17,1228,187888,12.8,9,653.6
Franklin,08/15/2020,1,9.6,1422,154835,0.6,6.2,918.4
Monroe,04/15/2020,24,25.6,910,169507,14.2,15.1,536.9
Fayette,08/14/2020,4,18.4,621,130441,3.1,14.1,476.1
Columbia,11/07/2020,4,7.4,1133,65456,6.1,11.3,1730.9
Venango,08/26/2020,0,0.3,72,51266,0,0.6,140.4
Butler,10/04/2020,8,12.1,1140,187888,4.3,6.5,606.7
Pennsylvania,10/10/2020,1153,1243.3,172567,12807060,9,9.7,1347.4
Erie,09/03/2020,7,5.3,1388,272061,2.6,1.9,510.2
Chester,11/27/2020,191,181,12045,522046,36.6,34.7,2307.3
York,10/21/2020,55,59.4,6068,448273,12.3,13.3,1353.6
Carbon,11/13/2020,21,23,867,64227,32.7,35.8,1349.9
Schuylkill,10/26/2020,51,45.1,1980,142067,35.9,31.8,1393.7
Crawford,05/31/2020,0,1,32,85063,0,1.2,37.6
Bradford,07/01/2020,0,0.9,61,60833,0,1.4,100.3
Perry,08/10/2020,1,0.7,128,46139,2.2,1.5,277.4
Bradford,03/24/2020,0,0.1,1,60833,0,0.2,1.6
Delaware,10/23/2020,116,83.3,13122,564751,20.5,14.7,2323.5
Forest,06/12/2020,0,0,7,7279,0,0,96.2
Montour,09/23/2020,0,0.4,165,18240,0,2.3,904.6
Snyder,06/06/2020,1,1.4,57,40540,2.5,3.5,140.6
Chester,10/15/2020,35,40.7,7549,522046,6.7,7.8,1446
Clinton,03/01/2020,0,,0,38684,0,,0
Clinton,03/02/2020,0,,0,38684,0,,0
Clinton,03/03/2020,0,,0,38684,0,,0
Clinton,03/04/2020,0,,0,38684,0,,0
Clinton,03/05/2020,0,,0,38684,0,,0
Clinton,03/06/2020,0,,0,38684,0,,0
Clinton,03/07/2020,0,,0,38684,0,,0
Clinton,03/08/2020,0,0,0,38684,0,0,0
Clinton,03/09/2020,0,0,0,38684,0,0,0
Clinton,03/10/2020,0,0,0,38684,0,0,0
Clinton,03/11/2020,0,0,0,38684,0,0,0
Clinton,03/12/2020,0,0,0,38684,0,0,0
Clinton,03/13/2020,0,0,0,38684,0,0,0
Clinton,03/14/2020,0,0,0,38684,0,0,0
Clinton,03/15/2020,0,0,0,38684,0,0,0
Clinton,03/16/2020,0,0,0,38684,0,0,0
Clinton,03/17/2020,0,0,0,38684,0,0,0
Clinton,03/18/2020,0,0,0,38684,0,0,0
Clinton,10/04/2020,2,1.6,219,38684,5.2,4.1,566.1
Union,06/27/2020,0,0.4,92,44785,0,1,205.4
Union,05/07/2020,0,0.4,33,44785,0,1,73.7
Clinton,03/19/2020,0,0,0,38684,0,0,0
Clinton,03/20/2020,0,0,0,38684,0,0,0
Clinton,03/21/2020,0,0,0,38684,0,0,0
Clinton,03/22/2020,0,0,0,38684,0,0,0
Clinton,03/23/2020,0,0,0,38684,0,0,0
Clinton,03/24/2020,0,0,0,38684,0,0,0
Clinton,03/25/2020,0,0,0,38684,0,0,0
Clinton,03/26/2020,0,0,0,38684,0,0,0
Clinton,03/27/2020,0,0,0,38684,0,0,0
Clinton,03/28/2020,0,0,0,38684,0,0,0
Clinton,03/29/2020,0,0,0,38684,0,0,0
Clinton,03/30/2020,0,0,0,38684,0,0,0
Clinton,03/31/2020,0,0,0,38684,0,0,0
Clinton,04/01/2020,0,0,0,38684,0,0,0
Union,05/11/2020,0,0.4,34,44785,0,1,75.9
Jefferson,07/31/2020,0,1.1,60,43641,0,2.6,137.5
Allegheny,08/28/2020,71,53.7,10211,1218452,5.8,4.4,838
Carbon,06/25/2020,1,1.1,272,64227,1.6,1.8,423.5
Clarion,04/23/2020,2,0.6,23,38779,5.2,1.5,59.3
Indiana,10/03/2020,8,10.1,788,84501,9.5,12,932.5
Bedford,06/02/2020,1,0.6,43,48176,2.1,1.2,89.3
Lycoming,08/30/2020,4,5.6,525,113664,3.5,4.9,461.9
Pennsylvania,08/21/2020,782,665.3,128919,12807060,6.1,5.2,1006.6
Armstrong,11/15/2020,34,39.3,1248,65263,52.1,60.2,1912.3
Armstrong,03/28/2020,1,0.4,3,65263,1.5,0.7,4.6
Mercer,05/01/2020,1,0.3,69,110683,0.9,0.3,62.3
Butler,11/17/2020,108,93.9,3224,187888,57.5,50,1715.9
Butler,07/18/2020,4,8,477,187888,2.1,4.3,253.9
Crawford,06/01/2020,0,1,32,85063,0,1.2,37.6
Mercer,06/06/2020,0,0.6,112,110683,0,0.5,101.2
Northampton,03/25/2020,18,10.1,76,304807,5.9,3.3,24.9
Delaware,04/20/2020,141,120.7,2799,564751,25,21.4,495.6
Armstrong,05/30/2020,0,0.4,62,65263,0,0.7,95
Beaver,10/28/2020,33,14.4,2287,164742,20,8.8,1388.2
Bradford,07/02/2020,0,0.3,61,60833,0,0.5,100.3
Clearfield,07/15/2020,0,2,100,79388,0,2.5,126
Snyder,06/02/2020,0,0.9,47,40540,0,2.1,115.9
Fayette,11/06/2020,15,15.4,1171,130441,11.5,11.8,897.7
Greene,07/20/2020,4,3,93,36506,11,8.2,254.8
Lycoming,07/10/2020,2,5,242,113664,1.8,4.4,212.9
Mckean,04/07/2020,1,0.1,2,40968,2.4,0.3,4.9
Montour,05/31/2020,1,0.4,53,18240,5.5,2.3,290.6
Lycoming,05/06/2020,11,5.1,115,113664,9.7,4.5,101.2
Berks,10/21/2020,94,84.7,8630,420152,22.4,20.2,2054
Bucks,06/23/2020,38,20.7,5687,628195,6,3.3,905.3
Montour,10/08/2020,6,4.9,231,18240,32.9,26.6,1266.4
Bucks,05/23/2020,23,52.4,4964,628195,3.7,8.3,790.2
Dauphin,06/16/2020,16,21.7,1702,277097,5.8,7.8,614.2
Westmoreland,11/02/2020,71,72.6,4679,350611,20.3,20.7,1334.5
Wyoming,05/14/2020,0,0.4,31,27046,0,1.6,114.6
Lehigh,08/06/2020,15,15.6,4920,368100,4.1,4.2,1336.6
Wayne,03/29/2020,3,0.7,8,51276,5.9,1.4,15.6
Philadelphia,10/21/2020,298,238.6,36610,1584138,18.8,15.1,2311
Centre,10/01/2020,46,68.4,2897,162805,28.3,42,1779.4
Mercer,06/23/2020,1,0.4,122,110683,0.9,0.4,110.2
Lebanon,05/27/2020,6,6.7,945,141314,4.2,4.8,668.7
Blair,05/24/2020,0,1.1,49,122492,0,0.9,40
Chester,09/16/2020,55,47.9,6429,522046,10.5,9.2,1231.5
Union,07/02/2020,1,0.6,96,44785,2.2,1.3,214.4
Pike,10/31/2020,1,2.6,637,55933,1.8,4.6,1138.9
Forest,08/16/2020,0,0.3,12,7279,0,3.9,164.9
Huntingdon,05/05/2020,35,9.3,96,45168,77.5,20.6,212.5
Allegheny,10/08/2020,96,84,13120,1218452,7.9,6.9,1076.8
Chester,08/07/2020,32,29.7,5093,522046,6.1,5.7,975.6
Warren,07/21/2020,0,0.3,12,39498,0,0.7,30.4
Pike,06/10/2020,0,0.6,481,55933,0,1,860
Cameron,08/15/2020,0,0.1,8,4492,0,3.2,178.1
Fayette,04/29/2020,0,1.3,87,130441,0,1,66.7
Lackawanna,11/29/2020,39,63,5215,210793,18.5,29.9,2474
Forest,11/30/2020,4,6.3,100,7279,55,86.4,1373.8
York,07/08/2020,24,22.1,1711,448273,5.4,4.9,381.7
Washington,03/14/2020,0,0.1,1,207346,0,0.1,0.5
Fayette,05/24/2020,0,0.6,100,130441,0,0.4,76.7
Philadelphia,08/13/2020,141,137.7,27423,1584138,8.9,8.7,1731.1
Northumberland,09/22/2020,22,13.7,927,91083,24.2,15.1,1017.8
Greene,06/11/2020,1,0.6,32,36506,2.7,1.6,87.7
Carbon,09/16/2020,1,1.3,439,64227,1.6,2,683.5
Wayne,05/15/2020,1,0.3,109,51276,2,0.6,212.6
Blair,08/28/2020,9,7.1,446,122492,7.3,5.8,364.1
Pike,05/21/2020,2,2.3,474,55933,3.6,4.1,847.4
Bucks,05/09/2020,149,100.3,4163,628195,23.7,16,662.7
Adams,04/08/2020,7,4,47,102811,6.8,3.9,45.7
Fulton,08/15/2020,0,0.1,28,14523,0,1,192.8
Wyoming,07/14/2020,0,1.3,51,27046,0,4.8,188.6
Blair,11/07/2020,90,64.9,1909,122492,73.5,52.9,1558.5
Venango,07/15/2020,0,2.3,49,51266,0,4.5,95.6
Schuylkill,05/17/2020,4,10,538,142067,2.8,7,378.7
Columbia,07/12/2020,2,1.1,422,65456,3.1,1.7,644.7
Schuylkill,10/09/2020,39,20.6,1389,142067,27.5,14.5,977.7
Wayne,07/24/2020,1,0.7,152,51276,2,1.4,296.4
Philadelphia,09/11/2020,116,85.1,30647,1584138,7.3,5.4,1934.6
Cameron,05/13/2020,0,0,2,4492,0,0,44.5
York,08/06/2020,41,31.1,2490,448273,9.1,6.9,555.5
Schuylkill,07/05/2020,1,2.1,760,142067,0.7,1.5,535
Berks,11/01/2020,89,102.7,9736,420152,21.2,24.4,2317.3
Venango,07/21/2020,0,0.6,53,51266,0,1.1,103.4
Juniata,03/24/2020,0,0.1,1,24704,0,0.6,4
Pennsylvania,10/23/2020,2131,1687.4,193083,12807060,16.6,13.2,1507.6
Adams,06/02/2020,5,3.4,262,102811,4.9,3.3,254.8
Venango,03/31/2020,0,0.6,4,51266,0,1.1,7.8
Union,08/28/2020,2,2.4,367,44785,4.5,5.4,819.5
Fulton,07/31/2020,0,0.1,22,14523,0,1,151.5
Schuylkill,10/01/2020,21,17.4,1229,142067,14.8,12.3,865.1
Clarion,05/27/2020,0,0,26,38779,0,0,67
Clinton,04/20/2020,0,0.4,11,38684,0,1.1,28.4
Wyoming,12/01/2020,8,7.6,480,27046,29.6,28,1774.8
Pennsylvania,03/23/2020,228,125.3,984,12807060,1.8,1,7.7
Armstrong,10/22/2020,18,10.3,623,65263,27.6,15.8,954.6
Susquehanna,10/26/2020,2,3.1,403,40589,4.9,7.7,992.9
Beaver,11/28/2020,92,96.1,3979,164742,55.8,58.4,2415.3
Sullivan,04/11/2020,0,0,1,6071,0,0,16.5
Northumberland,11/16/2020,71,32,2019,91083,78,35.1,2216.7
Bedford,05/08/2020,1,0.6,29,48176,2.1,1.2,60.2
Crawford,09/11/2020,1,2.3,253,85063,1.2,2.7,297.4
Jefferson,10/12/2020,1,2.3,140,43641,2.3,5.2,320.8
Westmoreland,05/13/2020,4,1.9,426,350611,1.1,0.5,121.5
Venango,06/24/2020,0,0,19,51266,0,0,37.1
Mckean,08/09/2020,0,0.1,35,40968,0,0.3,85.4
Juniata,11/25/2020,31,23.7,687,24704,125.5,96,2780.9
Huntingdon,07/11/2020,1,0.6,259,45168,2.2,1.3,573.4
Cambria,04/01/2020,1,0.6,5,131730,0.8,0.4,3.8
Schuylkill,05/24/2020,7,8.6,598,142067,4.9,6,420.9
Lehigh,11/29/2020,109,204.4,11515,368100,29.6,55.5,3128.2
Chester,04/09/2020,58,40,533,522046,11.1,7.7,102.1
Venango,09/21/2020,2,0.9,85,51266,3.9,1.7,165.8
Adams,04/07/2020,5,3.7,40,102811,4.9,3.6,38.9
Allegheny,08/30/2020,39,56.4,10341,1218452,3.2,4.6,848.7
Clinton,04/05/2020,2,0.6,4,38684,5.2,1.5,10.3
Monroe,06/12/2020,0,1.6,1353,169507,0,0.9,798.2
Mckean,04/11/2020,0,0.6,5,40968,0,1.4,12.2
Fayette,11/19/2020,40,42.7,1594,130441,30.7,32.7,1222
York,06/01/2020,14,11.3,1031,448273,3.1,2.5,230
Forest,05/01/2020,0,0,7,7279,0,0,96.2
Fulton,07/21/2020,0,0,19,14523,0,0,130.8
Mckean,10/01/2020,0,0.7,63,40968,0,1.7,153.8
Berks,10/17/2020,74,71,8283,420152,17.6,16.9,1971.4
Washington,07/29/2020,13,14.9,724,207346,6.3,7.2,349.2
Lebanon,09/04/2020,12,6.6,1759,141314,8.5,4.7,1244.7
Montgomery,11/23/2020,261,318.7,20109,828604,31.5,38.5,2426.9
Warren,08/02/2020,1,0.7,17,39498,2.5,1.8,43
Blair,08/31/2020,2,6.7,465,122492,1.6,5.5,379.6
Schuylkill,11/11/2020,53,50.9,2701,142067,37.3,35.8,1901.2
Bucks,05/16/2020,40,62,4597,628195,6.4,9.9,731.8
Armstrong,09/17/2020,6,4.3,408,65263,9.2,6.6,625.2
Jefferson,11/30/2020,48,33.3,848,43641,110,76.3,1943.1
Huntingdon,04/16/2020,0,0.3,12,45168,0,0.6,26.6
Crawford,04/19/2020,0,0,19,85063,0,0,22.3
Berks,09/24/2020,22,29.3,6987,420152,5.2,7,1663
Lehigh,07/08/2020,14,13.9,4370,368100,3.8,3.8,1187.2
Perry,09/08/2020,1,1,189,46139,2.2,2.2,409.6
Bedford,04/29/2020,0,0.7,25,48176,0,1.5,51.9
Lancaster,09/24/2020,43,43.9,7785,543557,7.9,8.1,1432.2
Westmoreland,03/28/2020,5,6.3,49,350611,1.4,1.8,14
Bradford,06/13/2020,0,0,48,60833,0,0,78.9
Franklin,05/05/2020,9,19.7,420,154835,5.8,12.7,271.3
Lawrence,09/14/2020,2,2,490,86184,2.3,2.3,568.6
Lehigh,04/22/2020,56,58.7,2482,368100,15.2,16,674.3
Mckean,06/13/2020,0,0,14,40968,0,0,34.2
Bradford,09/17/2020,1,2.4,125,60833,1.6,4,205.5
Bucks,11/24/2020,284,306.9,15941,628195,45.2,48.8,2537.6
Forest,08/06/2020,0,0,9,7279,0,0,123.6
Venango,10/14/2020,5,5.4,151,51266,9.8,10.6,294.5
Butler,07/14/2020,1,7.6,441,187888,0.5,4,234.7
Philadelphia,06/22/2020,102,102.3,20638,1584138,6.4,6.5,1302.8
Union,11/03/2020,4,7.3,754,44785,8.9,16.3,1683.6
Union,08/27/2020,5,2.7,365,44785,11.2,6.1,815
Snyder,08/27/2020,9,3.3,160,40540,22.2,8.1,394.7
Cambria,11/20/2020,118,132.7,2996,131730,89.6,100.7,2274.3
Allegheny,09/17/2020,64,75,11586,1218452,5.3,6.2,950.9
Clarion,06/19/2020,0,0,32,38779,0,0,82.5
Clearfield,10/20/2020,9,5.7,417,79388,11.3,7.2,525.3
Elk,04/04/2020,0,0,0,30169,0,0,0
Bucks,10/18/2020,32,38.9,9655,628195,5.1,6.2,1536.9
Union,05/28/2020,1,0.7,57,44785,2.2,1.6,127.3
Erie,11/29/2020,105,139.4,5468,272061,38.6,51.2,2009.8
Franklin,10/27/2020,20,22.9,2196,154835,12.9,14.8,1418.3
Jefferson,11/08/2020,10,11.6,315,43641,22.9,26.5,721.8
Wyoming,06/18/2020,0,0,38,27046,0,0,140.5
Snyder,06/11/2020,0,0.9,61,40540,0,2.1,150.5
Pennsylvania,09/15/2020,791,826.3,147715,12807060,6.2,6.5,1153.4
Chester,07/02/2020,27,25,3784,522046,5.2,4.8,724.8
Snyder,09/23/2020,3,5.6,287,40540,7.4,13.7,707.9
Susquehanna,04/01/2020,1,0.4,7,40589,2.5,1.1,17.2
Butler,11/29/2020,49,120.9,4529,187888,26.1,64.3,2410.5
Butler,04/03/2020,9,6.4,85,187888,4.8,3.4,45.2
Centre,03/31/2020,4,3.6,36,162805,2.5,2.2,22.1
Fayette,09/15/2020,5,4.6,760,130441,3.8,3.5,582.6
Bradford,12/01/2020,20,30,1970,60833,32.9,49.3,3238.4
Montgomery,10/08/2020,61,45.9,12733,828604,7.4,5.5,1536.7
Allegheny,06/29/2020,86,74.4,2789,1218452,7.1,6.1,228.9
Bucks,09/25/2020,52,38.7,8780,628195,8.3,6.2,1397.7
Pennsylvania,11/11/2020,5459,4056.9,249510,12807060,42.6,31.7,1948.2
York,05/28/2020,17,12.9,997,448273,3.8,2.9,222.4
Fayette,10/13/2020,4,5.1,889,130441,3.1,3.9,681.5
Butler,04/02/2020,6,7.3,76,187888,3.2,3.9,40.4
Snyder,04/20/2020,1,1,35,40540,2.5,2.5,86.3
Pennsylvania,11/07/2020,3123,2996.3,231597,12807060,24.4,23.4,1808.4
Carbon,08/16/2020,7,3.6,397,64227,10.9,5.6,618.1
Berks,09/26/2020,51,33.1,7073,420152,12.1,7.9,1683.4
Northumberland,11/19/2020,38,31.7,2116,91083,41.7,34.8,2323.2
Carbon,08/29/2020,2,1,421,64227,3.1,1.6,655.5
Cumberland,11/07/2020,58,42.6,2883,251423,23.1,16.9,1146.7
Jefferson,12/01/2020,37,33.9,885,43641,84.8,77.6,2027.9
Snyder,09/10/2020,2,3.4,199,40540,4.9,8.5,490.9
Pennsylvania,08/10/2020,816,765.1,120711,12807060,6.4,6,942.5
York,09/08/2020,72,59.3,3907,448273,16.1,13.2,871.6
Montgomery,10/06/2020,47,43.9,12620,828604,5.7,5.3,1523
Luzerne,10/26/2020,76,69.7,5285,317646,23.9,21.9,1663.8
Venango,09/07/2020,0,0.6,76,51266,0,1.1,148.2
Armstrong,11/29/2020,20,38.1,1800,65263,30.6,58.4,2758.1
Union,10/26/2020,3,8,700,44785,6.7,17.9,1563
Montgomery,11/26/2020,282,313,21058,828604,34,37.8,2541.4
Carbon,05/21/2020,3,1.9,226,64227,4.7,2.9,351.9
