county,state,cocaineDeath,year,fips,meanHouseholdSize,prevDisabled,gini,prevHispanic,medianAge,prevMedicaid,prevMinBachelors,prevBlack,prevWhite,perCapIncome,prevMen,nPop,prevPoverty,medianRentCostBurden,prevNoCar,totalJailAdmit,jailAdmit100k
Rowan,NC,86.66666666666666,2015-2019,37159,15.93,15.78,0.45,8.82,2.57,40,22.88,18.51,15.70,72.04,25630,49.52,140296,26.8,5.57,29120,58804523.424878836
Rutherford,TN,67.5,2015-2019,47149,11.10,10.81,0.41,8.02,2.78,34,14.59,32.24,14.52,70.76,30159,49.26,315815,28.0,2.91,69795,141686967.1132765
Sacramento,CA,112.5,2015-2019,06067,14.67,11.84,0.45,23.18,2.76,36,28.56,30.85,9.49,44.72,32751,48.87,1524553,32.5,6.64,266042.5,544388172.7030898
Saginaw,MI,96.25,2015-2019,26145,17.99,17.10,0.48,8.45,2.35,41,27.70,20.85,18.25,69.36,28030,48.55,191821,31.8,9.05,25913.125,53374098.86714728
Salem,NJ,80,2015-2019,34033,12.41,14.71,0.45,9.01,2.57,42,20.34,21.03,12.87,74.25,34047,48.93,62990,33.9,7.72,38240,78152462.70181893
Salt Lake,UT,145,2015-2019,49035,9.19,9.37,0.43,18.35,2.99,33,10.01,35.57,1.80,71.05,33238,50.2,1133646,27.9,5.15,158575,315886454.18326694
San Bernardino,CA,117.5,2015-2019,06071,15.95,10.99,0.44,53.32,3.29,33,32.73,20.99,7.88,28.53,25215,49.78,2149031,34.0,4.80,384131.25,771657794.2948976
San Diego,CA,212,2015-2019,06073,11.59,9.88,0.46,33.70,2.87,36,20.73,38.81,4.71,45.56,38073,50.35,3316073,33.3,5.51,419402.5,832974180.734856
San Francisco,CA,471,2015-2019,06075,10.34,10.19,0.51,15.24,2.36,38,18.50,58.06,5.00,40.51,68883,51.01,874961,24.1,30.85,90262.5,176950597.9219761
San Joaquin,CA,80,2015-2019,06077,14.51,12.54,0.45,41.40,3.17,34,33.17,18.76,6.74,31.85,27521,49.85,742603,32.3,6.15,106712.5,214067201.60481444
San Mateo,CA,100,2015-2019,06081,6.71,8.23,0.48,24.40,2.87,40,14.41,50.98,2.18,39.24,61545,49.43,767423,29.3,5.28,74386.25,150488063.9287882
Sangamon,IL,72.5,2015-2019,17167,14.53,13.63,0.46,2.30,2.30,40,21.03,34.49,12.68,80.34,35509,48,196861,28.5,7.89,46402.5,96671875
Santa Clara,CA,75,2015-2019,06085,7.52,8.04,0.47,25.47,2.95,37,16.73,52.40,2.35,31.54,56248,50.55,1927470,28.4,5.18,144258.75,285378338.2789318
Santa Fe,NM,70,2015-2019,35049,12.81,13.53,0.49,51.21,2.36,46,24.04,41.04,0.89,42.78,38520,48.48,149293,28.6,3.62,37180,76691419.14191419
Sarasota,FL,138,2015-2019,12115,8.95,15.40,0.48,9.18,2.26,56,12.00,35.42,4.32,83.05,41081,47.69,419496,31.6,4.92,62395,130834556.51079892
Schenectady,NY,70,2015-2019,36093,11.45,13.50,0.43,7.06,2.77,40,24.30,32.10,9.44,72.60,32417,48.76,154859,29.6,11.66,18200,37325676.78424939
Sedgwick,KS,75,2015-2019,20173,13.72,13.38,0.45,14.57,2.57,35,16.48,30.87,8.58,68.07,29530,49.39,513375,28.0,6.33,123866.25,250792164.40575016
Seminole,FL,131,2015-2019,12117,10.65,10.59,0.46,21.39,2.63,39,12.32,39.59,10.96,60.32,35175,48.33,461402,30.0,3.99,65847.5,136245603.1450445
Shelby,TN,332,2015-2019,47157,19.35,12.45,0.51,6.36,2.62,36,23.49,31.61,53.43,35.76,30104,47.51,936374,32.0,9.04,236945,498726583.87707853
Snohomish,WA,63.33333333333333,2015-2019,53061,7.50,11.76,0.40,10.20,2.68,38,16.29,32.79,2.94,69.57,39527,50.15,798808,29.7,4.80,137988.75,275152043.8683948
Solano,CA,50,2015-2019,06095,9.55,12.26,0.42,26.45,2.88,38,21.98,26.91,13.50,38.04,35400,49.75,441829,31.8,4.89,79706.25,160213567.83919597
Somerset,NJ,76.25,2015-2019,34035,5.14,7.70,0.46,14.65,2.75,42,8.28,54.66,9.23,56.29,55828,48.87,329838,28.8,4.86,21840,44689993.86126458
Spartanburg,SC,65,2015-2019,45083,14.04,14.93,0.46,6.84,2.57,38,20.34,24.52,20.24,68.34,27240,48.53,307617,28.4,5.76,63273.75,130380692.35524417
St. Charles,MO,58.33333333333333,2015-2019,29183,5.18,10.00,0.40,3.29,2.64,39,5.70,38.86,4.39,87.14,38943,49.13,394290,25.8,2.61,35403.75,72061367.79971504
St. Clair,IL,67.5,2015-2019,17163,14.76,13.50,0.47,4.10,2.48,39,22.92,28.01,29.84,61.64,30807,48.31,262338,30.2,9.42,41860,86648726.97164148
St. Clair,MI,60,2015-2019,26147,12.68,16.94,0.43,3.37,2.43,44,22.64,18.62,2.18,91.10,30703,49.71,159247,29.8,6.63,26471.25,53251357.875678934
St. Johns,FL,55,2015-2019,12109,8.18,11.20,0.47,6.95,2.73,44,9.37,44.70,5.21,82.63,43194,48.66,244674,30.6,2.43,26260,53966296.75297986
St. Joseph,IN,63.33333333333333,2015-2019,18141,15.52,13.80,0.47,8.70,2.53,37,18.70,29.57,12.67,72.56,28215,48.62,270216,28.8,7.35,43094.375,88635078.15713699
St. Louis,MO,217,2015-2019,29189,9.74,11.99,0.49,2.89,2.41,40,10.98,43.65,24.09,66.04,41426,47.44,996919,28.3,6.68,143072.5,301586214.1652614
St. Lucie,FL,70,2015-2019,12111,13.32,15.14,0.44,18.97,2.70,45,19.72,21.62,19.33,57.33,27121,48.8,312947,33.7,4.38,48557.5,99503073.77049181
St. Mary's,MD,67.5,2015-2019,24037,8.08,12.04,0.40,5.18,2.70,37,15.49,31.89,14.49,74.09,40354,50,112290,27.1,5.23,8317.5,16635000
Stanly,NC,55,2015-2019,37167,12.86,14.92,0.42,4.21,2.55,42,19.23,17.32,11.19,80.82,25863,49.84,61588,25.1,4.44,10400,20866773.67576244
Stark,OH,102,2015-2019,39151,13.56,13.36,0.44,2.08,2.37,42,21.15,22.80,7.42,86.38,29495,48.6,372404,26.8,7.04,56940,117160493.82716049
Suffolk,MA,481,2015-2019,25025,18.19,12.02,0.53,22.89,2.41,33,30.58,46.06,20.11,44.87,42765,48.31,796605,30.5,32.47,44938.75,93021631.13227075
Suffolk,NY,593,2015-2019,36103,6.87,9.60,0.44,19.31,2.97,42,15.22,36.35,7.26,67.57,44465,49.23,1483832,35.0,5.24,73885,150081251.2695511
Summit,OH,207,2015-2019,39153,13.22,13.09,0.47,2.14,2.37,41,20.25,32.46,14.38,76.97,33606,48.51,541334,28.5,8.45,57807.5,119166151.30900845
Sumner,TN,50,2015-2019,47165,8.97,14.22,0.44,4.88,2.71,40,15.58,28.08,7.27,84.12,33851,48.89,183437,27.9,3.55,53371.25,109165984.86398037
Sumter,SC,50,2015-2019,45085,18.72,17.87,0.44,3.96,2.50,36,27.19,19.30,46.61,45.17,23460,48.18,106757,29.3,8.50,21407.1625,44431636.57119136
Sussex,DE,128.75,2015-2019,10005,11.30,14.00,0.45,9.17,2.41,50,21.65,28.27,11.81,74.96,35491,48.36,224384,30.0,3.89,0,0
Sussex,NJ,55,2015-2019,34037,4.94,10.69,0.41,8.21,2.61,45,10.91,36.12,2.11,86.29,44728,49.77,141483,29.5,3.51,4420,8880851.918826602
Tarrant,TX,187,2015-2019,48439,11.95,10.26,0.46,28.81,2.86,34,15.13,32.27,16.14,46.72,33292,48.92,2049770,29.0,4.30,191381.25,391212694.1946034
Tolland,CT,70,2015-2019,09013,7.35,10.23,0.44,5.52,2.44,38,12.91,41.81,2.93,84.61,41371,50.05,151063,29.8,4.35,0,0
Travis,TX,168,2015-2019,48453,11.96,8.33,0.48,33.81,2.54,34,11.62,49.98,7.86,48.96,43658,50.51,1226805,28.9,5.47,233635,462551969.9069491
Trumbull,OH,194,2015-2019,39155,17.24,15.08,0.45,1.82,2.30,44,25.40,18.72,8.10,87.12,26935,48.74,200367,30.2,7.08,28702.5,58889002.87238407
Tulsa,OK,62.5,2015-2019,40143,14.96,13.54,0.49,12.73,2.53,36,16.63,31.82,9.92,61.98,32044,48.81,646419,27.8,6.65,144267.5,295569555.4189715
Ulster,NY,60,2015-2019,36111,13.79,13.75,0.46,10.21,2.41,44,21.74,32.45,5.51,79.05,34834,49.53,178665,34.2,6.98,14820,29921259.842519686
Union,NJ,188,2015-2019,34039,9.50,9.10,0.49,31.59,2.88,39,18.67,35.96,20.07,39.50,41603,48.76,554033,31.2,11.75,25562.5,52425143.56029533
Utah,UT,60,2015-2019,49049,10.64,7.72,0.42,11.78,3.55,25,10.09,40.81,0.53,82.33,26215,50.53,605490,29.0,2.54,106845,211448644.36968136
Volusia,FL,138,2015-2019,12127,14.25,17.56,0.46,13.91,2.43,47,17.68,23.69,10.42,71.67,28517,48.74,536487,34.0,6.04,119186.25,244534776.36438242
Wake,NC,195,2015-2019,37183,9.10,8.55,0.44,10.14,2.62,36,11.58,52.75,19.86,60.03,40982,48.62,1069079,27.3,3.97,157968.75,324904874.5372275
Warren,NJ,60,2015-2019,34041,7.56,13.04,0.42,9.27,2.50,44,13.47,33.02,4.36,81.68,39802,48.96,105862,29.9,6.44,6696.25,13676981.209150327
Warren,OH,87.5,2015-2019,39165,4.55,10.10,0.43,2.76,2.67,39,8.13,42.99,3.31,86.17,41792,50.4,229132,24.3,3.03,24217.5,48050595.23809524
Washington,MD,87.5,2015-2019,24043,12.25,15.72,0.44,5.07,2.52,41,23.37,21.93,10.38,78.93,30464,50.85,150109,27.9,8.70,10371.25,20395771.87807276
Washington,PA,124,2015-2019,42125,9.23,15.31,0.46,1.71,2.38,45,17.93,30.04,3.04,92.18,35537,49.1,207212,26.1,7.53,15421.25,31407841.14052953
Washington,RI,62.5,2015-2019,44009,8.62,11.36,0.44,3.20,2.43,45,12.46,46.13,1.26,90.92,42869,48.21,126060,28.9,4.23,0,0
Washtenaw,MI,115,2015-2019,26161,13.98,9.36,0.48,4.72,2.45,34,13.04,55.93,11.78,70.13,41399,49.57,367000,29.7,8.23,43160,87068791.60782732
Waukesha,WI,63.33333333333333,2015-2019,55133,4.83,9.63,0.45,4.72,2.49,43,8.57,44.47,1.57,88.55,46073,49.18,400475,26.4,3.60,39438.75,80192659.61773078
Wayne,IN,80,2015-2019,18177,16.36,18.10,0.46,3.00,2.39,41,21.64,18.21,4.77,88.13,26510,48.6,66342,26.7,7.93,23920,49218106.995884776
Wayne,MI,1162,2015-2019,26163,22.31,15.79,0.50,5.94,2.54,38,33.53,23.93,38.54,49.52,27282,48.15,1757299,32.6,13.62,139852.5,290451713.39563864
Wayne,NC,70,2015-2019,37191,20.25,16.25,0.48,11.75,2.49,38,25.61,19.03,30.35,53.42,25277,48.83,123603,29.3,8.79,31460,64427605.97993038
Wayne,NY,50,2015-2019,36117,11.62,15.27,0.43,4.41,2.42,44,22.24,22.64,2.72,89.93,31043,49.61,90519,28.7,7.16,8320,16770812.336222537
Wayne,WV,60,2015-2019,54099,23.24,25.01,0.50,0.66,2.65,44,35.05,15.10,0.86,97.31,21553,48.65,40303,29.6,9.84,5566.487500000001,11441906.474820146
Webb,TX,93.33333333333334,2015-2019,48479,27.49,11.87,0.48,95.47,3.61,29,28.35,18.93,0.29,3.53,18466,48.97,273526,32.1,6.08,53300,108842148.25403307
Westchester,NY,204,2015-2019,36119,8.84,9.51,0.54,24.67,2.70,41,17.43,48.92,13.43,53.48,57049,48.42,968890,32.6,14.48,29743.75,61428645.18793887
Westmoreland,PA,65,2015-2019,42129,10.01,15.46,0.45,1.19,2.26,47,17.21,29.10,2.29,93.79,34274,48.9,352590,26.9,7.49,23992.5,49064417.17791411
Wicomico,MD,75,2015-2019,24045,15.39,12.23,0.44,5.24,2.60,36,28.75,27.23,25.65,62.98,28080,47.48,102539,32.6,8.46,33028.75,69563500.42122999
Will,IL,189,2015-2019,17197,6.75,8.90,0.41,17.37,2.96,38,13.93,34.29,11.11,63.68,36524,49.62,689315,31.1,3.70,49831.25,100425735.59048772
Windham,CT,63.33333333333333,2015-2019,09015,11.40,13.57,0.42,11.80,2.47,41,25.67,24.33,1.76,82.70,32732,49.52,116566,29.5,6.57,0,0
Winnebago,IL,178,2015-2019,17201,15.56,13.92,0.45,12.77,2.44,40,26.10,22.87,12.58,69.02,29278,48.82,284819,28.8,8.38,62991.25,129027550.18435068
Worcester,MA,378,2015-2019,25027,10.12,12.07,0.46,11.49,2.56,40,24.14,36.40,4.50,76.38,37574,49.3,824772,29.2,9.39,28200,57200811.35902637
York,ME,81.66666666666666,2015-2019,23031,7.43,14.96,0.43,1.72,2.36,45,14.71,32.51,0.79,94.24,36093,48.77,204316,28.9,5.56,20701.875,42447970.06356366
York,PA,85,2015-2019,42133,9.62,13.43,0.41,7.46,2.53,41,18.03,24.86,5.37,83.42,32623,49.4,445565,29.5,5.68,65671.25,132937753.03643724
York,SC,65,2015-2019,45091,10.47,10.20,0.45,5.51,2.59,39,13.68,33.31,19.13,70.48,34010,48.25,265872,28.8,4.07,47580,98611398.96373057
