Results Last Updated Date,Trial NCT #,Indication,Therapeutic,SOC Comparison,Sponsor,Masking,Primary Endpoint,Time for Primary Endpoint (yrs),Number of Inclusion Criteria,Number of Exclusion Criteria,Ratio of Inclusion to Exclusion Criteria,Number of Study Sites,Number of Subjects Enrolled in the Main Treatment Arm,Primary Endpoint Success ,Primary Endpoint Value,Primary Endpoint Category,Moved to Phase III,First time in Phase II,Number of Primary Endpoints,Number of Secondary Endpoints,Ratio of Sec. Endpts. To Prim. Endpts.,P-Value,Number
26-Jun-18,NCT01450826,CINV in Glioma patients,Emend and Ondansetron,SOC,Merck,Open Label,Complete Control,0.019178082,13,9,1.444444444,1,70,No,0.04,Increase in % of complete control,No,No,1,3,3,No,NA
5-Jan-18,NCT01693068,N-Ras Mutated Cutaneous Melanoma,Pimasertib ,SOC,Merck,Open Label,Progression Free Survival,3.5,6,20,0.3,102,130,Yes,6.14,Weeks of PFS,No,No,1,10,10,Yes,0.0022
29-Jun-17,NCT01319383,HIV,Vorinostat,None,Merck,Open Label,T Cell- Associated HIV RNA (RCVL) Increase,0.083333333,15,17,0.882352941,1,23,Yes,0.52173913,Increase Observed,No,No,4,4,1,No,NA
4-Aug-16,NCT01933334,Systemic sclerosis?related interstitial lung disease,Pirfenidone,None,Genentech,Open Label,Adverse Events,0.384615385,4,12,0.333333333,22,63,No,96.89,Percent of Patients with Adverse Events,Yes,No,2,1,0.5,No,NA
26-Jul-18,NCT01982435,Diabetic Macular Edema,Ranibizumab ,None,Genentech,Open Label,Adverse Events,1,7,20,0.35,1,27,Yes,0,Patients with SAEs,Yes,No,4,8,2,Yes,0.025
17-Oct-18,NCT02301988,Early Stage Triple Negative Breast Cancer,Ipatasertib+Paclitaxel,Placebo,Genentech,Double,Pathological Complete Response,0.326923077,6,7,0.857142857,42,76,No,3.8,Percent Increase in pCR,Yes,Yes,2,12,6,Yes,0.519
21-May-18,NCT02273973,Post-Menopausal Women With Breast Cancer,Letrozole + Taselisib,Placebo,Genentech,Double,Objective Response,0.307692308,11,20,0.55,117,166,Yes,10.7,Percent Increase in Objective Response,No,Yes,4,14,3.5,Yes,0.049
11-Apr-18,NCT01846416,PD-L1 Positive Locally Advanced or Metastatic NSCLC,Atezolizumab,None,Genentech,Open Label,Objective Response,1.666666667,6,7,0.857142857,31,31,Yes,0.29,Objective Response,Yes,Yes,1,13,13,No,NA
9-Feb-15,NCT01466790,Chronic Hepatitis C,TMC435,None,Janssen,Open Label,Sustained Virologic Response,0.576923077,7,6,1.166666667,23,30,Yes,28,Patients with SVR,Yes,No,1,6,6,No,NA
13-Aug-15,NCT01729728,Pediatric Postoperative Pain,Tapentadol Oral Solution,None,Janssen,Open Label,Pharmacokinetic Profile,0.001369863,8,6,1.333333333,1,19,Yes, 49.4,Concentration at 1 hour,Yes,No,14,40,2.857142857,No,NA
2-Aug-17,NCT01483599,Moderate to Severe Plaque-type Psoriasis,CNTO 1959,Placebo,Janssen,Triple,Physician Global Assessment Score,0.307692308,5,6,0.833333333,40,42,Yes,78.6,Net Percentage with Improvement in Score,Yes,Yes,1,4,4,Yes,0.002
6-Oct-16,NCT02243202,Non-Diabetic Overweight and Obese,Canagliflozin + Phentermine,Placebo,Janssen,Double,Body Weight,0.5,3,6,0.5,17,77,Yes,6.9,Net Percentage Decrease in Body Weight,No,Yes,1,6,6,Yes,0.0005
18-Jul-16,NCT02139943,Type 1 Diabetes Mellitus,Canagliflozin,Placebo,Janssen,Double,Hemoglobin A1c Reduction,0.346153846,5,5,1,53,111,Yes,22.4,Net Percentage of Patients with Reduction,No,No,2,0,0,No,NA
4-Apr-17,NCT01613014,Alcohol Dependence,ABT-436,Placebo,Abbvie,Quadruple ,Weekly Percentage of Heaving Drinking Days,0.230769231,3,10,0.3,5,72,No,0.063,Reduction in heavy drinking days,No,Yes,1,0,0,No,NA
2-Jul-18,NCT01563536,Chronic Hepatitis C,ABT-267,None,Abbvie,Open Label,Maximum plasma concentration,0.002739726,5,5,1,4,6,Yes,39.34,Maximum Concentration Difference Between Doses,Yes,No,6,6,1,No,NA
8-Jun-18,NCT02187861,Relapsed and Refractory Follicular Non-Hodgkin's Lymphoma,Venetoclax ,SOC,Abbvie,Open Label,Complete Metabolic Response,0.594520548,8,18,0.444444444,72,51,No,3.92,Difference in Response Rates,No,No,1,23,23,No,NA
29-Jan-14,NCT01364922,Chronic Low Back Pain,Hydrocodone/acetaminophen extended release,Placebo,Abbvie,Double,Visual Analog Scale,0.079452055,1,1,1,17,99,Yes,-10,Difference in Scale Score,Yes,No,1,2,2,No,NA
21-May-18,NCT01478048,Relapsed or Refractory Multiple Myeloma,Elotuzumab ,None,Abbvie,Open Label,Progression-free Survival,2,3,3,1,77,77,No,2.8,Months additional PFS,Yes,No,3,3,1,Yes,0.0923
13-Apr-17,NCT01351623,Relapsed or Refractory Multiple Myeloma,Carfilzomib ,None,Amgen,Open Label,Response Rate,2,12,15,0.8,1,35,Yes,21,Responses,Yes,No,1,0,0,No,NA
17-Aug-16,NCT01308840,Kras/B-raf Wild-Type Biliary Track and Gallbladder Cancer,"Gemcitabine, Oxaliplatin and Panitumumab",None,Amgen,Open Label,Response ,0.153424658,12,10,1.2,2,31,Yes,14,Responses,No,No,1,3,3,No,NA
21-Jun-18,NCT02066415,Chronic Migraine,Erenumab,Placebo,Amgen,Triple,Change From Baseline in Monthly Migraine Days,0.230769231,4,5,0.8,74,180,Yes,-2.45,Difference in LS Means,Yes,No,1,5,5,Yes,0.0005
4-Jan-18,NCT01951586,Metastatic Non-small Cell Lung Cancer,Denosumab ,Placebo,Amgen,Double,Overall Survival,0.803333333,5,5,1,74,148,No,-0.2,Month Overall Survival,No,No,1,10,10,Yes,0.7213
2-Jan-18,NCT02000427,Relapsed/Refractory Philadelphia Positive B-precursor Acute Lymphoblastic Leukemia,Blinatumomab,None,Amgen,Open Label,Complete Remission,0.230769231,5,8,0.625,22,45,Yes,35.6,Percent with Complete Remission,Yes,No,1,11,11,No,NA
2-Jul-18,NCT02355028,Wet Age-Related Macular Degeneration,LHA510,Placebo,Novartis ,Double,Retreatment Status,0.230136986,7,7,1,NA,33,No,25,Number of Subject with Retreatment,No,Yes,1,12,12,No,NA
26-Sep-18,NCT01832259,High-Risk Prostate Cancer,VEGF Tyrosine Kinase Inhibitor,Placebo,Novartis,Triple,VEGFR1-Positive Clusters,0.083333333,12,17,0.705882353,1,13,No,0.02,More Clusters,No,No,1,2,2,Yes,0.345
12-Sep-18,NCT02140762,Meningococcal Disease,Meningococcal ABCWY Vaccine,Placebo,Novartis,Quadruple ,Percentage of Subjects Without Bactericidal Activity,0.25,2,2,1,8,139,Yes,0.5102,Reduction of subjects with bacterial activity,No,No,1,27,27,Yes,0.00005
18-Aug-17,NCT02024932, Spinal and Bulbar Muscular Atrophy,BVS857 ,Placebo,Novartis,Quadruple ,Change in Thigh Muscle Volume,0.232876712,3,6,0.5,6,15,Yes,0.034,Non-reduction in muscle volume,No,Yes,3,21,7,Yes,0.0164
27-Mar-17,NCT01890746,AML,Eltrombopag,Placebo,Novartis,Double,Change From Baseline in the Left Ventricular Ejection Fraction,0.153846154,10,9,1.111111111,43,57,Yes,0.018,Improvement in LVEF,No,No,10,0,0,No,NA
21-May-18,NCT02713256,Graves' Disease,CFZ533 ,None,Novartis,Open Label,Percentage of Participants Whose Thyroid Stimulating Hormone (TSH) Levels Normalize,0.230769231,6,11,0.545454545,3,13,No,0,Patients with Normalization,No,No,3,0,0,No,NA
30-Nov-16,NCT02219685,Chronic Genotype 1 HCV Infection,,Placebo,Gilead Sciences,Double,Change in Metabolic Ratio,0.307692308,4,5,0.8,1,26,No,0.46,P-value,Yes,No,8,14,1.75,Yes,0.58
24-Dec-15,NCT01393106,Relapsed or Refractory Hodgkin Lymphoma,Idelalisib ,None,Gilead Sciences,Open Label,Response Rate,2.115384615,9,12,0.75,3,25,No,20,Response Rate,Yes,No,1,13,13,No,NA
4-Dec-17,NCT02265796,Angina ,Ranolazine ,Placebo,Gilead Sciences,Quadruple ,Angina Questionnaire Score Change,0.307692308,3,7,0.428571429,1,22,No,0.05,Greater than,Yes,No,1,2,2,Yes,0.025
19-Sep-18,NCT02885181,Rheumatoid Arthritis,GS-9876,Placebo,Gilead Sciences,Double,Change From Baseline in Disease Activity Score,0.230769231,3,4,0.75,19,20,No,0.978,P value,No,Yes,1,4,4,Yes,0.978
