Gene	count_DF_927_1_GFP_tdt	count_DF_927_1_GFP	count_DF_980_3_GFP_tdt	count_DF_980_3_GFP
Adgrv1	29	16	20	13
Adh1	1389	2727	1481	4562
Adh4	6	3	2	2
Adh5	5140	3928	8099	9201
Adh6-ps1	2	3	0	0
Adh6a	0	0	0	1
Adh7	3	5	7	6
Adhfe1	513	553	383	880
Adi1	7024	8508	6492	13401
Adig	9	8	22	18
Adipoq	0	0	0	1
Adipor1	16396	16399	16896	23452
Adipor2	7970	7598	9065	9744
Adk	10333	9567	16167	17650
Adm	107	170	378	250
Adm2	85	140	336	333
Adnp	738	591	262	584
Adnp2	1261	1145	924	952
Ado	1847	1726	1999	2007
Adora1	2619	3340	2438	1912
Adora2a	28	49	39	52
Adora2b	4060	5202	7464	6766
Adora3	21	39	52	11
Adpgk	1897	1094	1580	1675
Adprh	1533	1065	1079	1390
Adprhl1	4	13	7	17
Adprhl2	1831	1437	2646	3259
Adprm	871	661	1108	1473
Adra1a	0	8	0	4
Adra1b	25	84	62	107
Adra1d	17	7	0	4
Adra2a	29	16	38	57
Adra2b	0	0	0	1
Adra2c	0	0	1	1
Adrb1	1232	498	200	222
Adrb2	2047	498	1798	1837
Adrb3	14	13	17	13
Adrbk1	4799	4268	5008	4932
Adrbk2	8152	7491	6241	7323
Adrm1	5540	4996	6714	6626
Adsl	2398	2023	4517	4077
Adss	5153	3123	5635	5214
Adssl1	2657	3632	7634	14731
Adtrp	79	104	145	116
Aebp1	1922	3116	2757	3792
Aebp2	4963	3637	3066	3563
Aen	3076	2963	3773	3116
Aes	32274	32557	37016	41630
Afap1	875	661	415	455
Afap1l1	6245	8190	8449	8934
Afap1l2	105	172	170	171
Aff1	10874	7471	4309	4567
Aff2	7	7	9	1
Aff3	194	250	80	87
Aff4	17809	13234	10309	10397
Afg3l1	4809	3582	5258	5352
Afg3l2	4125	3341	4022	4362
Afm	15	11	31	18
Afmid	267	248	197	185
Afp	17	46	63	46
Aftph	4153	3119	2658	3281
Aga	3106	1487	2550	2809
Agap1	1770	2120	1501	2181
Agap2	23	20	7	22
Agap3	9080	6003	5847	7357
Agbl1	0	0	0	0
Agbl2	58	38	72	76
Agbl3	570	322	356	462
Agbl4	4	2	0	3
Agbl5	1407	1366	1026	1445
Ager	271743	58642	114197	98211
Agfg1	4800	3764	3961	3489
Agfg2	1682	1794	1836	2370
Aggf1	3028	2601	2495	2809
Agk	1276	996	1454	1635
Agl	2190	1729	1659	1638
Agmat	1	3	4	9
Agmo	470	688	221	275
Ago1	9483	8357	5774	6383
Ago2	3060	2941	2533	2303
Ago3	647	316	410	433
Ago4	3625	1468	1409	1634
Agpat1	2504	2544	3072	2912
Agpat2	4080	3126	6938	6416
Agpat3	13413	10603	13150	13313
Agpat4	1039	500	838	538
Agpat5	1576	1368	2074	2128
Agpat6	4655	3603	4583	5002
Agpat9	209	100	236	245
Agps	8629	5776	8385	7191
Agr2	0	2	1	0
Agr3	10	8	1	3
Agrn	84888	17925	22377	17358
Agrp	10	2	2	6
Agt	137	141	93	93
Agtpbp1	1603	1228	1605	1815
Agtr1a	18	7	8	11
Agtr1b	0	0	2	4
Agtr2	19	10	6	13
Agtrap	2017	2070	2001	2528
Agxt	42	9	22	7
Agxt2	4	1	0	2
Ahctf1	5177	3706	3432	4273
Ahcy	1908	2077	2360	1668
Ahcyl1	10462	9599	8608	9723
Ahcyl2	8052	10344	8988	13174
Ahdc1	1617	1343	681	675
Ahi1	279	257	263	335
Ahnak	86819	18476	19120	13261
Ahr	2713	1862	1159	1214
Ahrr	9	5	6	6
Ahsa1	3119	2277	3829	4354
Ahsa2	473	250	419	450
Ahsg	109	132	209	109
Aicda	0	0	0	1
Aida	1419	999	1214	1034
Aif1	8	15	5	13
Aif1l	1957	2820	6258	7222
Aifm1	2363	1577	2302	2501
Aifm2	1326	889	1218	1439
Aifm3	644	701	1144	1649
Aig1	2154	2412	2676	3484
Aim1	535	394	303	250
Aim1l	42	28	65	52
Aim2	19	9	8	11
Aimp1	2847	1787	3251	3650
Aimp2	1387	858	1756	1843
Aip	2830	1806	3820	4574
Aipl1	9	1	0	7
Aire	3	0	0	5
Airn	348	139	246	207
Ajap1	0	0	0	0
Ajuba	8672	2395	2710	1983
Ak1	2872	4361	6178	5226
Ak2	4282	3080	5285	5656
Ak3	4113	3988	5035	5425
Ak4	1603	1983	986	2159
Ak5	10	2	9	7
Ak6	408	263	686	518
Ak7	38	15	17	27
Ak8	11	21	16	17
Akap1	3491	3465	2806	3737
Akap10	1986	1452	1420	1685
Akap11	9949	6460	6319	6183
Akap12	1024	1534	770	1013
Akap13	18977	12402	8674	8471
Akap14	4	4	7	3
Akap17b	264	132	183	173
Akap2	17	8	4	1
Akap3	1	0	0	0
Akap4	0	1	5	0
Akap5	90419	11114	9721	7441
Akap6	54	20	29	9
Akap7	5576	6324	5940	8307
Akap8	6088	4438	4039	5255
Akap8l	4338	2467	2931	3638
Akap9	9204	5227	5276	5398
Akip1	864	687	1046	1044
Akirin1	3232	2560	3413	3093
Akirin2	2670	1826	1693	2214
Akna	798	886	669	694
Aknad1	2	0	2	0
Akp3	0	0	0	0
Akr1a1	36707	36096	57935	64360
Akr1b10	739	523	764	904
Akr1b3	0	0	0	1
Akr1b7	5	5	12	5
Akr1b8	2932	4191	7012	5151
Akr1c12	128	123	122	199
Akr1c13	322	309	391	594
Akr1c14	10126	1041	1266	2004
Akr1c18	1	0	7	0
Akr1c19	2850	3240	3112	3990
Akr1c20	2	0	3	0
Akr1c21	2	4	4	4
Akr1c6	11	9	21	20
Akr1cl	0	0	0	0
Akr1d1	8	2	6	3
Akr1e1	1056	825	1380	1246
Akr7a5	2636	3091	3892	6387
Akt1	14978	15182	19690	20750
Akt1s1	5208	5323	7020	8196
Akt2	10434	11936	14643	13832
Akt3	2057	668	776	628
Aktip	3719	2472	3376	3660
Alad	9572	10071	14887	22000
Alas1	4498	4856	6549	6935
Alas2	106	124	1085	1618
Alb	1488	1859	2419	1913
Alcam	62556	46456	41941	40726
Aldh16a1	1858	1763	2323	3043
Aldh18a1	1324	1491	1952	1984
Aldh1a1	2258	1298	1641	1745
Aldh1a2	32	52	18	8
Aldh1a3	87	77	175	49
Aldh1a7	5645	6954	13173	14765
Aldh1b1	14	8	10	15
Aldh1l1	868	1261	1672	2075
Aldh1l2	716	998	959	1343
Aldh2	42303	53627	65150	98087
Aldh3a1	72	97	208	268
Aldh3a2	11687	8317	9792	11942
Aldh3b1	498	227	343	315
Aldh3b2	7	0	2	5
Aldh3b3	3	0	0	2
Aldh4a1	3001	3442	3144	5172
Aldh5a1	559	542	588	706
Aldh6a1	5028	4206	3708	6093
Aldh7a1	4092	3463	4658	4725
Aldh8a1	6	4	7	7
Aldh9a1	4771	5104	6361	8095
Aldoa	33675	33183	55196	51658
Aldoart1	229	147	331	405
Aldoart2	30	44	54	87
Aldob	44	41	78	69
Aldoc	523	729	517	1013
Alg1	1624	1276	1864	2539
Alg10b	3764	3612	2651	2762
Alg11	1812	1768	1963	2090
Alg12	792	597	841	889
Alg13	524	274	454	488
Alg14	560	602	1162	1016
Alg2	2222	2085	2049	2230
Alg3	904	852	949	865
Alg5	1559	1116	1838	2018
Alg6	881	743	694	954
Alg8	503	561	716	673
Alg9	1479	1574	1510	1775
Alk	17	33	1	3
Alkbh1	576	338	455	489
Alkbh2	254	226	444	523
Alkbh3	1403	1183	1492	1567
Alkbh4	495	386	382	453
Alkbh5	9870	9843	7523	9362
Alkbh6	1695	1214	2041	2535
Alkbh7	913	601	1419	2230
Alkbh8	592	288	425	465
Allc	0	0	0	1
Alms1	807	627	660	1068
Alms1-ps2	1	0	0	0
Alox12	179	247	49	62
Alox12b	1	0	0	0
Alox12e	0	0	0	0
Alox15	0	0	7	8
Alox5	18	12	18	27
Alox5ap	78	100	106	176
Alox8	2	3	4	6
Aloxe3	52	41	36	42
Alpi	0	0	0	0
Alpk1	383	277	291	263
Alpk2	8	8	5	4
Alpk3	390	159	125	298
Alpl	1141	2041	240	659
Alppl2	0	0	0	0
Als2	1786	1470	1710	2041
Als2cl	6598	2388	3390	2939
Als2cr11	3	0	2	1
Als2cr12	1	0	0	0
Alx1	4	0	0	0
Alx3	0	0	0	0
Alx4	10	4	1	2
Alyref	2920	2093	2796	2873
Alyref2	333	188	327	353
Amacr	625	571	747	1038
Ambn	0	0	0	0
Ambp	52	62	76	55
Ambra1	2627	2602	2243	2366
Amd1	0	0	0	0
Amd2	0	0	0	0
Amdhd1	3	7	8	9
Amdhd2	1149	1415	1893	3339
Amelx	0	0	0	0
Amer1	2215	1297	1898	1489
Amer2	7	6	5	0
Amer3	1	0	0	0
Amfr	13113	12387	14036	15629
Amh	40	5	14	24
Amhr2	304	96	122	322
Amica1	23	40	14	60
Amigo1	1626	1692	1323	2882
Amigo2	349	263	200	228
Amigo3	198	108	153	139
Ammecr1	360	222	353	298
Ammecr1l	3676	2459	2825	2618
Amn	2	1	2	5
Amn1	439	101	286	235
Amot	527	298	340	249
Amotl1	7000	4489	3723	2869
Amotl2	18259	8235	7372	8101
Ampd1	0	1	8	2
Ampd2	1355	1129	1086	1126
Ampd3	1688	1587	1344	728
Amph	49	102	84	87
Amt	525	546	779	756
Amtn	0	0	0	3
Amy1	42	5	14	6
Amy2a2	0	0	0	0
Amy2a3	0	0	0	0
Amy2a4	0	0	0	0
Amy2a5	0	0	0	0
Amy2b	0	0	0	0
Amz1	53	50	48	61
Amz2	2591	2219	2739	2882
Anapc1	7580	6543	5950	6187
Anapc10	552	321	657	652
Anapc11	2924	2150	3831	4699
Anapc13	3191	1867	3413	4614
Anapc15	374	271	556	489
Anapc16	3030	1847	3972	4500
Anapc2	6182	4526	5780	6434
Anapc4	5533	4220	6609	6014
Anapc5	14276	12259	15114	16139
Anapc7	2849	2424	3133	3312
Ang	1055	1279	2458	3244
Ang2	0	0	0	0
Ang3	0	0	0	0
Ang4	5	10	14	9
Ang5	0	0	0	0
Ang6	0	0	0	0
Angel1	408	406	360	473
Angel2	3957	2681	3375	4423
Angpt1	66	89	94	128
Angpt2	146	144	173	86
Angpt4	5	0	3	1
Angptl1	1	3	4	4
Angptl2	270	251	479	181
Angptl3	25	26	56	57
Angptl4	1997	2716	2353	2188
Angptl6	66	40	89	191
Angptl7	4	3	6	4
Ank	3037	1158	1188	1210
Ank1	14	18	19	31
Ank2	71	40	18	22
Ank3	17269	22957	15378	17076
Ankar	0	0	0	0
Ankdd1b	147	66	69	69
Ankef1	0	0	0	0
Ankfn1	82	24	1	18
Ankfy1	5062	4810	4376	4182
Ankhd1	6427	5398	4079	4881
Ankib1	2998	2177	2045	2002
Ankk1	4	1	1	0
Ankle1	16	30	31	30
Ankle2	3320	2844	2967	3021
Ankmy1	16	18	15	12
Ankmy2	1260	916	1440	1670
Ankra2	1135	659	788	961
Ankrd1	320	30	108	24
Ankrd10	2526	1444	1699	2305
Ankrd11	10838	8373	4904	5572
Ankrd12	3348	1555	1677	1904
Ankrd13a	8536	11150	9471	12053
Ankrd13b	826	596	712	745
Ankrd13c	3929	3174	3430	3469
Ankrd13d	162	62	92	126
Ankrd16	1576	529	787	1148
Ankrd17	9316	8497	6193	6223
Ankrd2	5	2	2	4
Ankrd22	12	20	15	83
Ankrd23	348	182	240	393
Ankrd24	626	306	388	596
Ankrd26	637	293	348	404
Ankrd27	1576	1106	1334	1573
Ankrd28	3120	2297	2740	2587
Ankrd29	1098	382	485	343
Ankrd32	669	321	484	518
Ankrd33	0	0	0	0
Ankrd33b	177	180	65	60
Ankrd34a	6	1	4	0
Ankrd34b	494	51	22	14
Ankrd34c	1	2	1	0
Ankrd35	18	8	9	14
Ankrd36	0	0	0	3
Ankrd37	301	179	491	364
Ankrd39	637	425	714	927
Ankrd40	10777	10811	11105	14313
Ankrd42	275	124	118	168
Ankrd44	2544	892	499	921
Ankrd45	7	1	3	5
Ankrd46	5693	3506	4672	4479
Ankrd49	579	441	556	524
Ankrd50	3491	2177	1506	1856
Ankrd52	3989	3283	2295	2173
Ankrd53	37	10	17	11
Ankrd54	2650	2715	4107	3840
Ankrd55	1	0	9	3
Ankrd6	72	92	67	94
Ankrd60	0	0	0	1
Ankrd61	60	9	42	40
Ankrd63	14	7	7	3
Ankrd66	2	4	4	5
Ankrd7	1	0	0	0
Ankrd9	458	449	612	600
Anks1	7586	3781	2995	3383
Anks1b	4	4	3	8
Anks3	1933	1130	1385	1813
Anks4b	1	2	1	1
Anks6	475	638	567	884
Ankub1	6	2	5	0
Ankzf1	1068	870	691	919
Anln	332	358	540	226
Ano1	31611	9010	13260	10592
Ano10	3646	3915	3917	3779
Ano2	4	4	10	8
Ano3	44	53	36	11
Ano4	0	0	0	0
Ano5	4	0	3	0
Ano6	15215	16260	11574	10820
Ano7	1	4	8	10
Ano8	1359	753	972	1283
Ano9	213	135	260	259
Anp32a	10421	7571	10360	12651
Anp32b	6945	5488	7676	8318
Anp32e	4629	4021	4560	5465
Anpep	7275	14020	5799	9837
Antxr1	1715	2497	2694	2540
Antxr2	2026	2288	1276	1369
Antxrl	0	0	2	0
Anxa1	17531	5393	24187	9716
Anxa10	0	0	1	0
Anxa11	6620	6436	5958	8387
Anxa13	3	3	8	7
Anxa2	42387	21774	58901	33517
Anxa3	37785	14497	37461	24811
Anxa4	25620	20100	30361	29449
Anxa5	15710	8725	17819	12412
Anxa6	17938	23801	22829	26227
Anxa7	7625	5652	7501	6496
Anxa8	3437	547	2187	782
Anxa9	86	47	55	65
Aoah	12	10	5	6
Aoc1	0	1	0	4
Aoc2	114	63	52	78
Aoc3	41	23	16	21
Aox1	2065	1379	2270	2098
Aox2	5	0	0	1
Aox3	1598	1828	1998	3645
Aox4	4	2	4	8
Ap1ar	4001	3039	3161	3975
Ap1b1	6796	7820	8816	9093
Ap1g1	9365	6466	6227	5662
Ap1g2	1076	1074	1317	1706
Ap1m1	2410	1951	2203	2352
Ap1m2	4998	4144	6314	6148
Ap1s1	5198	3991	7292	6723
Ap1s2	476	299	468	549
Ap1s3	1526	489	374	308
Ap2a1	4399	3866	4276	3848
Ap2a2	5256	3681	3795	3696
Ap2b1	12921	11933	10522	10329
Ap2m1	13989	10054	16338	17722
Ap2s1	3786	3258	6245	5928
Ap3b1	5845	5346	7425	7095
Ap3b2	1	0	4	0
Ap3d1	9203	9867	9649	11442
Ap3m1	2752	2117	3118	2873
Ap3m2	248	145	182	373
Ap3s1	1406	1108	1923	1798
Ap3s2	2580	2409	2706	2755
Ap4b1	1084	699	890	983
Ap4e1	1789	1052	1046	1098
Ap4m1	702	492	579	804
Ap4s1	1025	642	1313	1444
Ap5b1	393	513	525	601
Ap5m1	1279	779	1010	1267
Ap5s1	1024	1105	1044	1406
Ap5z1	962	688	713	1116
Apaf1	2627	1230	1157	1088
Apba1	46	29	34	31
Apba2	1	5	1	2
Apba3	2068	1814	2805	3376
Apbb1	6918	3497	5053	4960
Apbb1ip	83	85	34	61
Apbb2	3770	2699	2177	2110
Apbb3	1033	451	567	730
Apc	19187	12841	11419	11953
Apc2	116	26	20	55
Apcdd1	146	208	98	147
Apcs	3	3	4	1
Apeh	2851	2876	4725	5266
Apela	148	8	6	14
Apex1	545	439	649	786
Apex2	285	179	305	249
Aph1a	3587	3016	3533	3921
Aph1b	567	259	222	300
Aph1c	704	321	365	401
Api5	7370	5727	6436	6131
Apip	962	886	1618	1923
Apitd1	47	39	127	113
Aplf	711	328	482	480
Apln	1695	1662	866	819
Aplnr	140	168	60	85
Aplp1	552	291	280	264
Aplp2	84371	72151	51684	66024
Apmap	5361	4228	3397	4153
Apoa1	74	82	129	107
Apoa1bp	7478	7483	11952	18629
Apoa2	80	83	149	90
Apoa4	10	1	3	5
Apoa5	20	25	19	16
Apob	293	397	492	319
Apobec1	67	68	76	53
Apobec2	7	11	3	1
Apobec3	2365	1929	2827	2074
Apobec4	0	0	2	0
Apobr	106	93	92	187
Apoc1	1049	1411	1884	1827
Apoc2	0	0	0	4
Apoc3	37	35	44	33
Apoc4	5	1	7	2
Apoc4-apoc2	0	0	0	0
Apod	7	5	10	17
Apoe	9672	14582	7334	14623
Apof	17	13	26	10
Apoh	36	33	36	39
Apol10a	0	0	0	0
Apol10b	5	2	0	1
Apol11a	0	0	0	0
Apol11b	0	3	4	11
Apol6	2	1	0	3
Apol7a	3	1	3	3
Apol7b	0	0	0	0
Apol7c	0	0	0	1
Apol7d	0	0	2	2
Apol7e	0	0	0	4
Apol8	12	1	11	17
Apol9a	1	1	3	2
Apol9b	5	4	6	4
Apold1	302	75	59	84
Apom	19	2	13	10
Apon	9	4	16	5
Apoo	71	54	106	99
Apoo-ps	0	0	0	0
Apool	1244	986	2067	2098
Apopt1	1423	1249	1891	2435
App	231114	191101	181255	282855
Appbp2	2672	2220	2210	2323
Appbp2os	33	39	39	57
Appl1	2655	1491	1416	1465
Appl2	5054	3718	3578	6536
Aprt	3243	2276	3709	3771
Aptx	1181	748	1033	1272
Aqp1	81431	9867	12215	10636
Aqp11	27	32	37	44
Aqp12	1	0	0	0
Aqp2	22	15	28	81
Aqp3	1739	2919	2455	4194
Aqp4	63	53	44	37
Aqp5	30088	6618	13900	18445
Aqp6	4	0	4	2
Aqp7	33	13	7	23
Aqp8	2	2	6	1
Aqp9	16	14	5	9
Aqr	4045	4225	3119	2930
Ar	22	18	4	8
Araf	4347	3506	4076	5000
Arap1	3409	3409	2648	3727
Arap2	748	732	1113	750
Arap3	602	575	315	374
Arc	27	35	130	165
Arcn1	14081	12406	14284	14532
Areg	906	849	10543	4451
Arel1	2919	2599	2143	2449
Arf1	36596	27544	45250	43637
Arf2	4637	2461	3084	2934
Arf3	26851	13493	12283	11977
Arf4	11551	8152	11896	9408
Arf5	7908	6641	9979	10397
Arf6	18343	19869	30448	30329
Arfgap1	3075	2342	3133	3351
Arfgap2	6694	5083	7721	8703
Arfgap3	1752	1299	1988	2057
Arfgef1	12697	8889	8706	9420
Arfgef2	10445	9850	8734	8117
Arfgef3	3380	3047	3378	2673
Arfip1	5773	5059	5578	5590
Arfip2	5200	3854	7095	6811
Arfrp1	1671	949	1299	1805
Arg1	242	217	476	524
Arg2	2362	3173	4268	2692
Arglu1	5383	1838	2314	2557
Arhgap1	9514	5478	4591	4271
Arhgap10	939	1322	1343	1774
Arhgap11a	484	522	691	538
Arhgap12	2585	1502	1799	2314
Arhgap15	11	13	19	8
Arhgap15os	0	0	0	0
Arhgap17	2814	3035	2349	2559
Arhgap18	3244	3035	3849	3318
Arhgap19	341	241	328	284
Arhgap20	79	73	24	53
Arhgap20os	3	0	1	0
Arhgap21	5619	4872	3527	3532
Arhgap22	3313	700	1116	707
Arhgap23	2050	1268	771	774
Arhgap24	871	809	985	1170
Arhgap25	72	75	31	60
Arhgap26	416	369	404	506
Arhgap27	3692	2803	2791	2956
Arhgap27os3	10	6	7	10
Arhgap28	1854	682	411	453
Arhgap29	7388	4438	4231	4490
Arhgap30	113	79	36	95
Arhgap31	7817	8265	4515	4858
Arhgap32	1320	662	418	437
Arhgap33	319	247	160	222
Arhgap33os	3	0	0	0
Arhgap35	11106	9157	7475	7456
Arhgap36	0	1	0	0
Arhgap39	562	462	320	624
Arhgap4	128	90	125	238
Arhgap40	117	31	70	105
Arhgap42	163	172	133	141
Arhgap44	12207	8757	8664	9421
Arhgap5	7776	2950	4210	3759
Arhgap6	1604	618	707	665
Arhgap8	2471	1291	1718	1231
Arhgap9	36	42	28	78
Arhgdia	28033	21694	23302	23436
Arhgdib	465	276	373	420
Arhgdig	452	230	647	278
Arhgef1	12052	6446	6181	7372
Arhgef10	2532	964	637	558
Arhgef10l	2368	3168	2379	2989
Arhgef11	4211	3127	1723	2538
Arhgef12	16150	14749	8213	9199
Arhgef15	307	317	127	190
Arhgef16	4022	3746	4260	4684
Arhgef17	9731	7709	4906	4406
Arhgef18	7038	3834	2966	3050
Arhgef19	1221	1386	1257	1726
Arhgef2	17023	8012	6938	7708
Arhgef25	652	195	166	235
Arhgef26	12149	3159	2774	3480
Arhgef28	7935	3820	2763	3870
Arhgef3	682	670	349	421
Arhgef33	15	22	15	28
Arhgef37	24	16	25	15
Arhgef38	547	586	572	1052
Arhgef39	123	93	160	107
Arhgef4	282	264	312	426
Arhgef40	1663	925	1156	958
Arhgef5	7656	7030	7054	6188
Arhgef6	4204	1946	1470	2186
Arhgef7	4960	5273	4584	4625
Arhgef9	420	410	426	352
Arid1a	11025	10162	5700	7477
Arid1b	5508	4849	2931	3649
Arid2	6895	5611	3093	3818
Arid3a	2830	1941	1518	1512
Arid3b	734	357	285	410
Arid3c	4	4	1	4
Arid4a	2466	1428	1281	1617
Arid4b	5131	2448	3021	3284
Arid5a	304	354	597	396
Arid5b	3542	4097	2404	2092
Arih1	7307	5394	5934	6276
Arih2	5184	4147	5217	5445
Arl1	6310	4153	7123	8246
Arl10	980	612	834	1043
Arl11	32	23	15	38
Arl13a	1	0	6	1
Arl13b	812	482	624	603
Arl14	62	5	19	7
Arl14ep	1638	1098	1442	1559
Arl14epl	1	0	1	0
Arl15	850	972	1128	887
Arl16	515	409	454	576
Arl2	2282	2226	3612	4607
Arl2bp	3286	2472	2613	2360
Arl3	1830	1326	1741	2040
Arl4a	825	708	928	1391
Arl4c	12034	5229	9257	4595
Arl4d	783	681	934	1899
Arl5a	6343	4007	5422	3782
Arl5b	1121	874	885	1079
Arl5c	281	371	99	139
Arl6	466	221	443	372
Arl6ip1	19103	19714	26422	29766
Arl6ip4	3752	2542	3529	3922
Arl6ip5	3918	2631	4351	3790
Arl6ip6	1707	1382	2005	2344
Arl8a	4276	2649	2861	2892
Arl8b	6485	6767	8902	8719
Arl9	5	3	2	1
Armc1	2412	1572	2408	2340
Armc10	2827	2541	3311	3025
Armc12	3	2	12	2
Armc2	13	4	6	10
Armc3	0	6	4	9
Armc4	12	7	7	2
Armc5	2613	2607	2600	2710
Armc6	418	318	529	653
Armc7	321	216	279	289
Armc8	2704	1904	2333	2615
Armc9	609	495	436	591
Armcx1	1002	414	508	610
Armcx2	1333	727	745	616
Armcx3	1662	927	1112	1303
Armcx4	880	397	313	232
Armcx5	538	314	244	421
Armcx6	106	88	79	87
Armt1	851	725	1135	1138
Arnt	6391	5801	4331	5342
Arnt2	331	642	439	440
Arntl	1198	1108	1567	1769
Arntl2	29	35	33	54
Arpc1a	6876	5871	8124	9557
Arpc1b	10920	10151	14662	15372
Arpc2	18253	12355	20587	19426
Arpc3	6406	5097	9736	9609
Arpc4	5495	4988	8622	7030
Arpc5	12092	7881	14300	13656
Arpc5l	2700	1999	4231	3845
Arpin	2110	1799	2107	2484
Arpp19	6443	4286	7518	7088
Arpp21	2	4	2	0
Arr3	12	3	10	3
Arrb1	5300	2273	1451	1748
Arrb2	720	671	1005	1500
Arrdc1	11077	8061	8517	9799
Arrdc2	473	386	293	611
Arrdc3	11087	5365	6404	7416
Arrdc4	1159	908	774	861
Arrdc5	0	0	0	0
Arsa	1389	1148	1090	1265
Arsb	3038	3181	2482	2587
Arsg	590	601	483	697
Arsi	4	12	9	6
Arsj	19	14	19	24
Arsk	646	429	436	493
Art1	0	0	0	0
Art2a-ps	0	1	0	0
Art2b	0	0	0	0
Art3	10	11	9	28
Art4	21	48	28	47
Art5	1	1	0	5
Artn	265	159	380	311
Arv1	553	438	625	775
Arvcf	955	724	651	973
Arx	0	0	0	3
Arxes1	513	306	609	891
Arxes2	3278	860	1778	1969
As3mt	840	581	805	1125
Asah1	13419	7077	15533	14006
Asah2	1220	780	631	770
Asap1	651	700	570	476
Asap2	937	934	988	888
Asap3	1886	1208	1063	1282
Asb1	1690	1106	1123	1516
Asb10	0	0	0	0
Asb11	54	84	109	110
Asb12	0	0	0	0
Asb13	1637	933	956	1742
Asb14	28	3	4	10
Asb15	42	10	10	1
Asb16	1	10	4	3
Asb17	1	0	0	0
Asb17os	3	0	3	0
Asb18	0	0	0	0
Asb2	12	4	5	13
Asb3	541	321	620	578
Asb4	8	21	23	12
Asb5	1	2	16	2
Asb6	1669	1135	1644	1735
Asb7	1165	1056	861	905
Asb8	1625	1393	1245	1284
Asb9	2	0	0	0
Ascc1	1777	1605	1996	2677
Ascc2	3485	3762	5923	4216
Ascc3	3192	2544	3450	3419
Ascl1	6	10	0	0
Ascl2	164	213	109	287
Ascl3	10	8	28	8
Ascl4	2	5	10	3
Ascl5	0	0	2	1
Asf1a	2233	1521	2312	2677
Asf1b	156	201	302	248
Asgr1	6	2	6	3
Asgr2	4	4	9	2
Ash1l	8303	6443	5043	5043
Ash2l	4355	3662	4148	4658
Asic1	423	347	301	390
Asic2	0	0	1	2
Asic3	30	15	12	26
Asic4	3	4	2	0
Asic5	0	0	2	0
Asl	2523	2263	3275	4597
Asmt	3	0	0	0
Asna1	4079	3480	7666	7665
Asns	3119	3384	5510	5631
Asnsd1	2403	1839	3418	3705
Aspa	6	5	11	9
Aspdh	2	2	5	5
Aspg	4	3	12	20
Asph	2780	1783	2101	2331
Asphd1	8	0	1	3
Asphd2	0	0	6	0
Aspm	153	197	175	66
Aspn	251	219	114	116
Asprv1	36	45	37	47
Aspscr1	4775	4079	5421	7379
Asrgl1	1044	803	1268	1450
Ass1	0	2	0	0
Aste1	636	452	576	597
Astl	0	0	0	1
Astn1	1	1	1	0
Astn2	88	91	42	64
Asun	1788	1334	2196	2108
Asxl1	6385	4818	3627	3451
Asxl2	4884	3529	3122	3628
Asxl3	179	194	109	227
Asz1	1	3	3	15
Atad1	6317	4943	6161	6094
Atad2	1052	817	1333	1054
Atad2b	4060	2294	2304	2338
Atad3a	2454	2237	3437	3441
Atad3aos	72	32	43	93
Atad5	466	245	306	332
Atat1	1098	561	719	673
Atcay	0	2	1	0
Atcayos	0	0	0	0
Ate1	3126	2645	2362	2749
Atf1	3944	3344	3283	4264
Atf2	3908	3100	2690	2830
Atf3	3127	1960	6682	12183
Atf4	12566	9431	16840	20007
Atf5	5637	6968	8062	12149
Atf6	5368	4046	3809	3386
Atf6b	3721	3147	3381	4130
Atf7	6031	5193	3508	3172
Atf7ip	4394	4171	2215	2856
Atf7ip2	5	5	12	11
Atg10	486	308	390	606
Atg101	1276	896	1383	1583
Atg12	3031	2340	3141	3393
Atg13	4317	4354	3930	4850
Atg14	1503	1269	1195	1429
Atg16l1	2275	1467	2093	2090
Atg16l2	608	399	635	779
Atg2a	2535	2677	1992	2133
Atg2b	4080	3456	2976	3227
Atg3	3509	2656	4036	4328
Atg4a	123	154	191	195
Atg4b	3259	2614	3409	3956
Atg4c	655	629	486	587
Atg4d	1924	1607	3284	3893
Atg5	2095	1667	2948	2780
Atg7	4315	4449	3494	4528
Atg9a	3220	3382	2199	2096
Atg9b	16	1	37	16
Athl1	935	1049	980	1410
Atic	3661	2904	4057	3790
Atl1	128	86	198	203
Atl2	3872	3533	5619	5752
Atl3	15957	11713	11375	10548
Atm	2199	1511	1622	1923
Atmin	4875	3411	2368	2407
Atn1	10329	10400	7745	8194
Atoh1	2	0	3	4
Atoh7	0	1	0	1
Atoh8	857	550	613	898
Atox1	3395	2586	6518	6742
Atp10a	326	224	264	99
Atp10b	3	2	0	1
Atp10d	4047	5207	2366	1993
Atp11a	51009	49211	59327	42542
Atp11b	5926	4105	4616	4705
Atp11c	3279	2400	5779	2459
Atp12a	7	4	3	1
Atp13a1	4792	4837	5717	5230
Atp13a2	3162	3079	3232	3637
Atp13a3	33579	33476	14066	15735
Atp13a4	725	200	615	460
Atp13a5	67	9	7	15
Atp1a1	84968	104496	146163	123224
Atp1a2	106	230	106	282
Atp1a3	24	32	16	30
Atp1a4	4	1	2	0
Atp1b1	61640	70898	88469	74953
Atp1b2	46	34	30	30
Atp1b3	6101	5619	7199	6374
Atp1b4	2	0	3	0
Atp2a1	63	22	35	29
