PROV_ID,CONTACT_DATE,EFF_TO_DATE,PROV_TYPE
3731,2010-01-01,2099-12-31,Nurse Practitioner
2862,2010-01-01,2099-12-31,Physician
4971,2010-01-01,2099-12-31,Nurse Practitioner
512,2010-01-01,2099-12-31,Resident
2636,2010-01-01,2099-12-31,Resident
1754,2010-01-01,2099-12-31,Physician
774,2010-01-01,2099-12-31,Physician
1099,2010-01-01,2099-12-31,Physician
3292,2010-01-01,2099-12-31,Nurse Practitioner
750,2010-01-01,2099-12-31,Nurse Practitioner
882,2010-01-01,2099-12-31,Resident
4648,2010-01-01,2099-12-31,Physician
709,2010-01-01,2099-12-31,FELLOW
1917,2010-01-01,2099-12-31,Physician
4805,2010-01-01,2099-12-31,Physician
1697,2010-01-01,2099-12-31,Resident
4562,2010-01-01,2099-12-31,Physician
610,2010-01-01,2099-12-31,Physician
2821,2010-01-01,2099-12-31,Nurse Practitioner
1282,2010-01-01,2099-12-31,Physician
2184,2010-01-01,2099-12-31,Nurse Practitioner
1128,2010-01-01,2099-12-31,Resident
2518,2010-01-01,2099-12-31,FELLOW
3837,2010-01-01,2099-12-31,Physician
2299,2010-01-01,2099-12-31,Nurse Practitioner
850,2010-01-01,2099-12-31,Resident
4913,2010-01-01,2099-12-31,Physician
2887,2010-01-01,2099-12-31,Physician
4406,2010-01-01,2099-12-31,Physician
4130,2010-01-01,2099-12-31,Resident
3036,2010-01-01,2099-12-31,Resident
4112,2010-01-01,2099-12-31,Physician
3838,2010-01-01,2099-12-31,Physician
3712,2010-01-01,2099-12-31,Physician with Sedation
2376,2010-01-01,2099-12-31,Nurse Practitioner
715,2010-01-01,2099-12-31,Physician
4315,2010-01-01,2099-12-31,Resident
3549,2010-01-01,2099-12-31,Physician
3015,2010-01-01,2099-12-31,Resident
2904,2010-01-01,2099-12-31,Physician
3920,2010-01-01,2099-12-31,Physician
222,2010-01-01,2099-12-31,Resident
3751,2010-01-01,2099-12-31,Physician
1952,2010-01-01,2099-12-31,Physician
1035,2010-01-01,2099-12-31,FELLOW
2232,2010-01-01,2099-12-31,Physician
730,2010-01-01,2099-12-31,Nurse Practitioner
196,2010-01-01,2099-12-31,Physician
341,2010-01-01,2099-12-31,Physician
2713,2010-01-01,2099-12-31,Physician
4577,2010-01-01,2099-12-31,Nurse Practitioner
1290,2010-01-01,2099-12-31,Physician
4728,2010-01-01,2099-12-31,Physician
1383,2010-01-01,2099-12-31,Nurse Practitioner
4181,2010-01-01,2099-12-31,Resident
2109,2010-01-01,2099-12-31,Physician
2700,2010-01-01,2099-12-31,Physician
4370,2010-01-01,2099-12-31,Physician
1108,2010-01-01,2099-12-31,Nurse Practitioner
598,2010-01-01,2099-12-31,Resident
2237,2010-01-01,2099-12-31,Physician
3750,2010-01-01,2099-12-31,Physician
65,2010-01-01,2099-12-31,Physician
33,2010-01-01,2099-12-31,Physician
1735,2010-01-01,2099-12-31,Resident
2289,2010-01-01,2099-12-31,Nurse Practitioner
4974,2010-01-01,2099-12-31,Physician
2785,2010-01-01,2099-12-31,Resident
4076,2010-01-01,2099-12-31,Nurse Practitioner
2903,2010-01-01,2099-12-31,Physician
1513,2010-01-01,2099-12-31,Resident
3789,2010-01-01,2099-12-31,Physician
2306,2010-01-01,2099-12-31,Nurse Practitioner
602,2010-01-01,2099-12-31,Resident
2948,2010-01-01,2099-12-31,Physician
4986,2010-01-01,2099-12-31,Physician
743,2010-01-01,2099-12-31,Physician
1801,2010-01-01,2099-12-31,Resident
4312,2010-01-01,2099-12-31,Resident
3276,2010-01-01,2099-12-31,Resident
4084,2010-01-01,2099-12-31,Physician
2982,2010-01-01,2099-12-31,Resident
3494,2010-01-01,2099-12-31,Physician
4277,2010-01-01,2099-12-31,Nurse Practitioner
4453,2010-01-01,2099-12-31,Physician
4790,2010-01-01,2099-12-31,FELLOW
1722,2010-01-01,2099-12-31,Resident
1835,2010-01-01,2099-12-31,Physician
4613,2010-01-01,2099-12-31,Physician
1689,2010-01-01,2099-12-31,Physician
146,2010-01-01,2099-12-31,Nurse Practitioner
3432,2010-01-01,2099-12-31,Physician
2499,2010-01-01,2099-12-31,Physician
4480,2010-01-01,2099-12-31,Resident
544,2010-01-01,2099-12-31,Resident
4155,2010-01-01,2099-12-31,Nurse Practitioner
3964,2010-01-01,2099-12-31,Physician
1709,2010-01-01,2099-12-31,FELLOW
4793,2010-01-01,2099-12-31,Physician with Sedation
3639,2010-01-01,2099-12-31,Resident
589,2010-01-01,2099-12-31,Physician
1985,2010-01-01,2099-12-31,Physician
2935,2010-01-01,2099-12-31,Nurse Practitioner
1576,2010-01-01,2099-12-31,FELLOW
577,2010-01-01,2099-12-31,Physician
4451,2010-01-01,2099-12-31,Physician
1893,2010-01-01,2099-12-31,Resident
4226,2010-01-01,2099-12-31,Nurse Practitioner
122,2010-01-01,2099-12-31,Physician
343,2010-01-01,2099-12-31,Resident
4887,2010-01-01,2099-12-31,Physician
4907,2010-01-01,2099-12-31,Resident
2992,2010-01-01,2099-12-31,Physician
1227,2010-01-01,2099-12-31,Nurse Practitioner
1303,2010-01-01,2099-12-31,Nurse Practitioner
3535,2010-01-01,2099-12-31,Resident
3805,2010-01-01,2099-12-31,Physician
1071,2010-01-01,2099-12-31,Resident
78,2010-01-01,2099-12-31,Resident
4825,2010-01-01,2099-12-31,Nurse Practitioner
1936,2010-01-01,2099-12-31,Nurse Practitioner
3129,2010-01-01,2099-12-31,FELLOW
165,2010-01-01,2099-12-31,Physician
110,2010-01-01,2099-12-31,Physician
999,2010-01-01,2099-12-31,Physician
2846,2010-01-01,2099-12-31,FELLOW
2760,2010-01-01,2099-12-31,Physician
3512,2010-01-01,2099-12-31,Resident
4880,2010-01-01,2099-12-31,Physician
1008,2010-01-01,2099-12-31,Physician
596,2010-01-01,2099-12-31,Physician
833,2010-01-01,2099-12-31,Physician
3078,2010-01-01,2099-12-31,Physician
804,2010-01-01,2099-12-31,Physician
3209,2010-01-01,2099-12-31,Resident
2972,2010-01-01,2099-12-31,Physician
3347,2010-01-01,2099-12-31,Resident
4193,2010-01-01,2099-12-31,Physician
1578,2010-01-01,2099-12-31,Nurse Practitioner
4189,2010-01-01,2099-12-31,Physician
3882,2010-01-01,2099-12-31,Physician
4050,2010-01-01,2099-12-31,Resident
4131,2010-01-01,2099-12-31,Physician
1160,2010-01-01,2099-12-31,Physician
1483,2010-01-01,2099-12-31,Nurse Practitioner
1455,2010-01-01,2099-12-31,Physician
4037,2010-01-01,2099-12-31,Physician
593,2010-01-01,2099-12-31,Physician
260,2010-01-01,2099-12-31,Physician
4227,2010-01-01,2099-12-31,Physician
2531,2010-01-01,2099-12-31,Nurse Practitioner
2652,2010-01-01,2099-12-31,Resident
4202,2010-01-01,2099-12-31,Resident
2943,2010-01-01,2099-12-31,FELLOW
1140,2010-01-01,2099-12-31,Nurse Practitioner
87,2010-01-01,2099-12-31,Physician
1218,2010-01-01,2099-12-31,Physician
938,2010-01-01,2099-12-31,Resident
3960,2010-01-01,2099-12-31,Resident
3400,2010-01-01,2099-12-31,Physician
3164,2010-01-01,2099-12-31,Physician
209,2010-01-01,2099-12-31,Physician
4237,2010-01-01,2099-12-31,Nurse Practitioner
1892,2010-01-01,2099-12-31,Nurse Practitioner
4382,2010-01-01,2099-12-31,Nurse Practitioner
2130,2010-01-01,2099-12-31,Physician
1764,2010-01-01,2099-12-31,Physician
1480,2010-01-01,2099-12-31,Physician
3447,2010-01-01,2099-12-31,Nurse Practitioner
4882,2010-01-01,2099-12-31,Resident
3695,2010-01-01,2099-12-31,Physician
143,2010-01-01,2099-12-31,Physician
2159,2010-01-01,2099-12-31,Physician
4216,2010-01-01,2099-12-31,Physician
4394,2010-01-01,2099-12-31,Nurse Practitioner
754,2010-01-01,2099-12-31,Physician
3100,2010-01-01,2099-12-31,Physician
4038,2010-01-01,2099-12-31,Physician
3385,2010-01-01,2099-12-31,Physician
4966,2010-01-01,2099-12-31,Physician
584,2010-01-01,2099-12-31,Physician
1461,2010-01-01,2099-12-31,Physician
2701,2010-01-01,2099-12-31,Physician
1817,2010-01-01,2099-12-31,Nurse Practitioner
3736,2010-01-01,2099-12-31,Physician
2208,2010-01-01,2099-12-31,Physician
3450,2010-01-01,2099-12-31,Physician
4089,2010-01-01,2099-12-31,Resident
786,2010-01-01,2099-12-31,Physician
3616,2010-01-01,2099-12-31,Physician
773,2010-01-01,2099-12-31,Physician
2975,2010-01-01,2099-12-31,FELLOW
4939,2010-01-01,2099-12-31,Resident
2883,2010-01-01,2099-12-31,Resident
1062,2010-01-01,2099-12-31,Resident
3255,2010-01-01,2099-12-31,Physician
2444,2010-01-01,2099-12-31,Resident
350,2010-01-01,2099-12-31,Physician
1444,2010-01-01,2099-12-31,Physician
2581,2010-01-01,2099-12-31,Nurse Practitioner
4104,2010-01-01,2099-12-31,Physician
3401,2010-01-01,2099-12-31,Physician
2465,2010-01-01,2099-12-31,Resident
2244,2010-01-01,2099-12-31,Nurse Practitioner
3668,2010-01-01,2099-12-31,FELLOW
473,2010-01-01,2099-12-31,Physician
2076,2010-01-01,2099-12-31,Resident
3197,2010-01-01,2099-12-31,FELLOW
4915,2010-01-01,2099-12-31,Physician
897,2010-01-01,2099-12-31,Resident
3682,2010-01-01,2099-12-31,Resident
1746,2010-01-01,2099-12-31,Physician with Sedation
2929,2010-01-01,2099-12-31,Physician
3679,2010-01-01,2099-12-31,Physician
3523,2010-01-01,2099-12-31,Physician
4854,2010-01-01,2099-12-31,Physician
1649,2010-01-01,2099-12-31,Resident
4773,2010-01-01,2099-12-31,FELLOW
4139,2010-01-01,2099-12-31,Physician
2855,2010-01-01,2099-12-31,Nurse Practitioner
1361,2010-01-01,2099-12-31,Physician
3713,2010-01-01,2099-12-31,Nurse Practitioner
4592,2010-01-01,2099-12-31,Physician
533,2010-01-01,2099-12-31,Physician with Sedation
2279,2010-01-01,2099-12-31,Physician
4528,2010-01-01,2099-12-31,Resident
3454,2010-01-01,2099-12-31,Physician
3502,2010-01-01,2099-12-31,Nurse Practitioner
1788,2010-01-01,2099-12-31,Physician
3981,2010-01-01,2099-12-31,Resident
2519,2010-01-01,2099-12-31,Resident
2971,2010-01-01,2099-12-31,Physician
2210,2010-01-01,2099-12-31,Physician
4072,2010-01-01,2099-12-31,Physician
2001,2010-01-01,2099-12-31,Physician
4103,2010-01-01,2099-12-31,Physician
3594,2010-01-01,2099-12-31,Resident
4167,2010-01-01,2099-12-31,FELLOW
1944,2010-01-01,2099-12-31,Physician
2412,2010-01-01,2099-12-31,Physician
595,2010-01-01,2099-12-31,Resident
2229,2010-01-01,2099-12-31,Physician
668,2010-01-01,2099-12-31,FELLOW
430,2010-01-01,2099-12-31,Physician
4563,2010-01-01,2099-12-31,Resident
1536,2010-01-01,2099-12-31,Physician
1777,2010-01-01,2099-12-31,Nurse Practitioner
4840,2010-01-01,2099-12-31,Physician
3001,2010-01-01,2099-12-31,Physician
4529,2010-01-01,2099-12-31,Nurse Practitioner
2407,2010-01-01,2099-12-31,Nurse Practitioner
3918,2010-01-01,2099-12-31,Physician
2967,2010-01-01,2099-12-31,Resident
4225,2010-01-01,2099-12-31,Physician
3131,2010-01-01,2099-12-31,Resident
2485,2010-01-01,2099-12-31,Physician
3783,2010-01-01,2099-12-31,Physician
679,2010-01-01,2099-12-31,Physician
2692,2010-01-01,2099-12-31,Physician
3676,2010-01-01,2099-12-31,Nurse Practitioner
1094,2010-01-01,2099-12-31,Physician
2769,2010-01-01,2099-12-31,Physician
4778,2010-01-01,2099-12-31,Physician
3435,2010-01-01,2099-12-31,Physician
887,2010-01-01,2099-12-31,FELLOW
3050,2010-01-01,2099-12-31,Resident
4381,2010-01-01,2099-12-31,Physician
550,2010-01-01,2099-12-31,Physician
1677,2010-01-01,2099-12-31,Resident
2479,2010-01-01,2099-12-31,Physician
1627,2010-01-01,2099-12-31,Physician
389,2010-01-01,2099-12-31,Resident
4317,2010-01-01,2099-12-31,Physician
4516,2010-01-01,2099-12-31,FELLOW
1990,2010-01-01,2099-12-31,Nurse Practitioner
1898,2010-01-01,2099-12-31,Physician
4184,2010-01-01,2099-12-31,Resident
3067,2010-01-01,2099-12-31,Resident
117,2010-01-01,2099-12-31,Resident
1552,2010-01-01,2099-12-31,Physician
2443,2010-01-01,2099-12-31,Physician
732,2010-01-01,2099-12-31,Physician
2688,2010-01-01,2099-12-31,Resident
1006,2010-01-01,2099-12-31,Resident
4574,2010-01-01,2099-12-31,Resident
3884,2010-01-01,2099-12-31,Resident
3575,2010-01-01,2099-12-31,Physician
1566,2010-01-01,2099-12-31,Physician
3103,2010-01-01,2099-12-31,Physician with Sedation
2012,2010-01-01,2099-12-31,FELLOW
3043,2010-01-01,2099-12-31,FELLOW
1728,2010-01-01,2099-12-31,Physician
651,2010-01-01,2099-12-31,Physician
2721,2010-01-01,2099-12-31,Physician with Sedation
989,2010-01-01,2099-12-31,FELLOW
4505,2010-01-01,2099-12-31,Resident
1562,2010-01-01,2099-12-31,Physician
1802,2010-01-01,2099-12-31,Physician
1850,2010-01-01,2099-12-31,Resident
3726,2010-01-01,2099-12-31,Physician
455,2010-01-01,2099-12-31,Nurse Practitioner
1003,2010-01-01,2099-12-31,Physician
2765,2010-01-01,2099-12-31,Physician
562,2010-01-01,2099-12-31,Physician
3411,2010-01-01,2099-12-31,Physician
4034,2010-01-01,2099-12-31,Physician
1859,2010-01-01,2099-12-31,Resident
1953,2010-01-01,2099-12-31,Physician
1577,2010-01-01,2099-12-31,Physician
1034,2010-01-01,2099-12-31,Resident
1243,2010-01-01,2099-12-31,Nurse Practitioner
524,2010-01-01,2099-12-31,Physician
3358,2010-01-01,2099-12-31,Physician
564,2010-01-01,2099-12-31,Physician
3790,2010-01-01,2099-12-31,Physician
3193,2010-01-01,2099-12-31,Physician
2662,2010-01-01,2099-12-31,Physician
2178,2010-01-01,2099-12-31,Physician
1304,2010-01-01,2099-12-31,Physician
4961,2010-01-01,2099-12-31,Physician
4537,2010-01-01,2099-12-31,Physician
1181,2010-01-01,2099-12-31,Physician
2038,2010-01-01,2099-12-31,Nurse Practitioner
4799,2010-01-01,2099-12-31,Nurse Practitioner
2927,2010-01-01,2099-12-31,Physician
2852,2010-01-01,2099-12-31,Resident
3718,2010-01-01,2099-12-31,Physician
39,2010-01-01,2099-12-31,Resident
2659,2010-01-01,2099-12-31,Nurse Practitioner
4198,2010-01-01,2099-12-31,Resident
946,2010-01-01,2099-12-31,Physician
2743,2010-01-01,2099-12-31,Physician
1222,2010-01-01,2099-12-31,Physician
4434,2010-01-01,2099-12-31,Resident
639,2010-01-01,2099-12-31,Nurse Practitioner
2271,2010-01-01,2099-12-31,Physician
2508,2010-01-01,2099-12-31,Physician
2143,2010-01-01,2099-12-31,Physician
2355,2010-01-01,2099-12-31,Nurse Practitioner
1335,2010-01-01,2099-12-31,FELLOW
865,2010-01-01,2099-12-31,Physician
4354,2010-01-01,2099-12-31,Physician
295,2010-01-01,2099-12-31,Nurse Practitioner
2214,2010-01-01,2099-12-31,Nurse Practitioner
2724,2010-01-01,2099-12-31,Physician
1943,2010-01-01,2099-12-31,Physician
1723,2010-01-01,2099-12-31,Nurse Practitioner
3953,2010-01-01,2099-12-31,Resident
4919,2010-01-01,2099-12-31,Physician
3930,2010-01-01,2099-12-31,Physician
1268,2010-01-01,2099-12-31,FELLOW
2973,2010-01-01,2099-12-31,Resident
909,2010-01-01,2099-12-31,Resident
2912,2010-01-01,2099-12-31,Physician
3572,2010-01-01,2099-12-31,Nurse Practitioner
491,2010-01-01,2099-12-31,Nurse Practitioner
4651,2010-01-01,2099-12-31,Nurse Practitioner
1517,2010-01-01,2099-12-31,Resident
2632,2010-01-01,2099-12-31,Physician
1419,2010-01-01,2099-12-31,Physician
4239,2010-01-01,2099-12-31,Nurse Practitioner
2480,2010-01-01,2099-12-31,Resident
1815,2010-01-01,2099-12-31,Nurse Practitioner
2348,2010-01-01,2099-12-31,Physician
3602,2010-01-01,2099-12-31,Resident
2123,2010-01-01,2099-12-31,Nurse Practitioner
3105,2010-01-01,2099-12-31,Physician
532,2010-01-01,2099-12-31,Physician
2314,2010-01-01,2099-12-31,Physician
1438,2010-01-01,2099-12-31,Physician
4730,2010-01-01,2099-12-31,Nurse Practitioner
2382,2010-01-01,2099-12-31,Physician
3462,2010-01-01,2099-12-31,Physician
3490,2010-01-01,2099-12-31,Nurse Practitioner
2492,2010-01-01,2099-12-31,Resident
3654,2010-01-01,2099-12-31,Resident
4028,2010-01-01,2099-12-31,Nurse Practitioner
79,2010-01-01,2099-12-31,Physician
600,2010-01-01,2099-12-31,Physician
1834,2010-01-01,2099-12-31,Physician
4857,2010-01-01,2099-12-31,Nurse Practitioner
513,2010-01-01,2099-12-31,Physician
3219,2010-01-01,2099-12-31,Physician
4894,2010-01-01,2099-12-31,Resident
3239,2010-01-01,2099-12-31,Resident
3509,2010-01-01,2099-12-31,Nurse Practitioner
1711,2010-01-01,2099-12-31,Physician
921,2010-01-01,2099-12-31,Resident
4678,2010-01-01,2099-12-31,Physician
3063,2010-01-01,2099-12-31,Physician
572,2010-01-01,2099-12-31,FELLOW
1491,2010-01-01,2099-12-31,Resident
1343,2010-01-01,2099-12-31,Physician
2192,2010-01-01,2099-12-31,Resident
3661,2010-01-01,2099-12-31,Resident
3579,2010-01-01,2099-12-31,Nurse Practitioner
3172,2010-01-01,2099-12-31,Nurse Practitioner
1481,2010-01-01,2099-12-31,Nurse Practitioner
3531,2010-01-01,2099-12-31,Physician
380,2010-01-01,2099-12-31,Physician
1358,2010-01-01,2099-12-31,FELLOW
67,2010-01-01,2099-12-31,Physician
2795,2010-01-01,2099-12-31,Resident
4914,2010-01-01,2099-12-31,Physician
424,2010-01-01,2099-12-31,Physician
3595,2010-01-01,2099-12-31,Resident
3032,2010-01-01,2099-12-31,Resident
1851,2010-01-01,2099-12-31,Nurse Practitioner
3647,2010-01-01,2099-12-31,Physician
1733,2010-01-01,2099-12-31,Nurse Practitioner
3995,2010-01-01,2099-12-31,Resident
2816,2010-01-01,2099-12-31,Physician
3293,2010-01-01,2099-12-31,Nurse Practitioner
1581,2010-01-01,2099-12-31,Physician
2768,2010-01-01,2099-12-31,Physician
4175,2010-01-01,2099-12-31,Nurse Practitioner
2319,2010-01-01,2099-12-31,Physician
4503,2010-01-01,2099-12-31,Physician
2898,2010-01-01,2099-12-31,Physician
645,2010-01-01,2099-12-31,Physician
1321,2010-01-01,2099-12-31,Physician
3117,2010-01-01,2099-12-31,Nurse Practitioner
486,2010-01-01,2099-12-31,Physician
1436,2010-01-01,2099-12-31,Physician
727,2010-01-01,2099-12-31,Physician
1421,2010-01-01,2099-12-31,Physician
4259,2010-01-01,2099-12-31,Physician
4693,2010-01-01,2099-12-31,Physician
801,2010-01-01,2099-12-31,Physician
1275,2010-01-01,2099-12-31,Resident
4955,2010-01-01,2099-12-31,Physician
4888,2010-01-01,2099-12-31,Nurse Practitioner
3776,2010-01-01,2099-12-31,Physician
927,2010-01-01,2099-12-31,Nurse Practitioner
3737,2010-01-01,2099-12-31,Nurse Practitioner
4014,2010-01-01,2099-12-31,Physician
1045,2010-01-01,2099-12-31,Physician
966,2010-01-01,2099-12-31,Resident
3451,2010-01-01,2099-12-31,Resident
444,2010-01-01,2099-12-31,Resident
4042,2010-01-01,2099-12-31,Physician
3320,2010-01-01,2099-12-31,Physician
