FIPS,State,"County, State",2010 Food Insecurity Rate, Number of Food Insecure Persons in 2010 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child food insecurity rate, Number of Food Insecure Children in 2010  ,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL, 2010 Cost Per Meal , 2010 Weighted Annual Food Budget Shortfall ,
1071,AL,"Jackson County, Alabama",14.8%," 7,910 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.7%,33.9%,19.4%,27.2%," 3,250 ",71%,29%, $2.56 ," $3,485,560 ",
1073,AL,"Jefferson County, Alabama",18.4%," 121,010 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.0%,18.2%,42.8%,20.4%," 31,260 ",73%,27%, $2.39 ," $49,782,280 ",
1075,AL,"Lamar County, Alabama",18.3%," 2,690 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.9%,35.1%,20.0%,28.6%, 940 ,79%,21%, $2.80 ," $1,296,480 ",
1077,AL,"Lauderdale County, Alabama",15.0%," 13,790 ",130.0%,SNAP,185.0%,Other Nutrition Program,42.3%,26.9%,30.8%,25.6%," 5,090 ",64%,36%, $2.35 ," $5,578,120 ",
1079,AL,"Lawrence County, Alabama",15.6%," 5,350 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.8%,34.6%,24.7%,25.1%," 2,020 ",72%,28%, $2.53 ," $2,329,860 ",
1081,AL,"Lee County, Alabama",16.4%," 22,130 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.2%,21.4%,33.4%,20.9%," 6,320 ",62%,38%, $2.57 ," $9,789,720 ",
1083,AL,"Limestone County, Alabama",13.7%," 10,770 ",130.0%,SNAP,185.0%,Other Nutrition Program,37.0%,25.1%,37.8%,22.9%," 4,330 ",56%,44%, $2.68 ," $4,968,280 ",
1085,AL,"Lowndes County, Alabama",29.3%," 3,440 ",130.0%,SNAP,185.0%,Other Nutrition Program,54.4%,18.0%,27.5%,27.1%, 810 ,95%,5%, $3.09 ," $1,829,670 ",
1087,AL,"Macon County, Alabama",29.1%," 6,320 ",130.0%,SNAP,185.0%,Other Nutrition Program,48.2%,12.2%,39.6%,23.3%," 1,060 ",100%,0%, $2.92 ," $3,176,550 ",
1089,AL,"Madison County, Alabama",13.8%," 44,670 ",130.0%,SNAP,185.0%,Other Nutrition Program,33.9%,18.6%,47.5%,19.7%," 15,160 ",54%,46%, $2.42 ," $18,607,450 ",
1091,AL,"Marengo County, Alabama",23.9%," 5,080 ",130.0%,SNAP,185.0%,Other Nutrition Program,51.3%,18.4%,30.3%,23.3%," 1,270 ",88%,12%, $2.50 ," $2,186,050 ",
1093,AL,"Marion County, Alabama",17.5%," 5,380 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.5%,32.1%,22.4%,32.1%," 2,130 ",66%,34%, $2.50 ," $2,315,140 ",
1095,AL,"Marshall County, Alabama",13.9%," 12,650 ",130.0%,SNAP,185.0%,Other Nutrition Program,49.0%,35.8%,15.1%,29.3%," 6,630 ",63%,37%, $2.48 ," $5,400,050 ",
1097,AL,"Mobile County, Alabama",19.1%," 78,200 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.1%,20.9%,34.1%,24.1%," 24,670 ",76%,24%, $2.60 ," $34,997,400 ",
1099,AL,"Monroe County, Alabama",26.2%," 6,120 ",130.0%,SNAP,185.0%,Other Nutrition Program,54.2%,17.8%,28.0%,32.2%," 1,950 ",81%,19%, $2.55 ," $2,686,260 ",
1101,AL,"Montgomery County, Alabama",20.6%," 47,030 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.1%,14.4%,42.5%,20.8%," 11,570 ",83%,17%, $2.43 ," $19,671,470 ",
1103,AL,"Morgan County, Alabama",14.8%," 17,370 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.3%,29.2%,31.5%,25.3%," 7,130 ",63%,37%, $2.40 ," $7,175,740 ",
1105,AL,"Perry County, Alabama",29.9%," 3,190 ",130.0%,SNAP,185.0%,Other Nutrition Program,64.2%,18.3%,17.4%,28.2%, 760 ,100%,0%, $2.88 ," $1,581,390 ",
1107,AL,"Pickens County, Alabama",22.9%," 4,560 ",130.0%,SNAP,185.0%,Other Nutrition Program,57.2%,12.6%,30.3%,26.7%," 1,290 ",77%,23%, $2.87 ," $2,252,690 ",
1109,AL,"Pike County, Alabama",20.2%," 6,500 ",130.0%,SNAP,185.0%,Other Nutrition Program,56.2%,17.1%,26.7%,24.6%," 1,660 ",81%,19%, $2.57 ," $2,875,430 ",
1111,AL,"Randolph County, Alabama",19.7%," 4,510 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.0%,25.0%,28.9%,27.8%," 1,450 ",77%,24%, $2.48 ," $1,925,240 ",
1113,AL,"Russell County, Alabama",21.2%," 10,970 ",130.0%,SNAP,185.0%,Other Nutrition Program,51.8%,24.5%,23.7%,25.9%," 3,420 ",89%,11%, $2.54 ," $4,796,190 ",
1115,AL,"St. Clair County, Alabama",13.3%," 10,720 ",130.0%,SNAP,185.0%,Other Nutrition Program,37.2%,25.1%,37.7%,22.6%," 4,290 ",51%,49%, $2.54 ," $4,686,880 ",
1117,AL,"Shelby County, Alabama",10.7%," 20,120 ",130.0%,SNAP,185.0%,Other Nutrition Program,25.6%,21.5%,52.8%,19.2%," 9,260 ",39%,61%, $2.59 ," $8,969,810 ",
1119,AL,"Sumter County, Alabama",30.5%," 4,230 ",130.0%,SNAP,185.0%,Other Nutrition Program,59.4%,17.6%,23.0%,29.9%, 990 ,100%,0%, $2.90 ," $2,111,510 ",
1121,AL,"Talladega County, Alabama",19.6%," 16,130 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.3%,23.9%,31.8%,25.3%," 4,720 ",81%,19%, $2.55 ," $7,079,950 ",
1123,AL,"Tallapoosa County, Alabama",19.6%," 8,120 ",130.0%,SNAP,185.0%,Other Nutrition Program,42.6%,26.4%,31.0%,26.9%," 2,520 ",76%,24%, $2.54 ," $3,550,140 ",
1125,AL,"Tuscaloosa County, Alabama",17.4%," 32,720 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.5%,17.2%,39.2%,20.7%," 8,280 ",67%,33%, $2.66 ," $14,981,340 ",
1127,AL,"Walker County, Alabama",16.0%," 10,820 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.1%,29.9%,25.0%,28.8%," 4,370 ",60%,40%, $2.54 ," $4,730,600 ",
1129,AL,"Washington County, Alabama",20.4%," 3,580 ",130.0%,SNAP,185.0%,Other Nutrition Program,49.2%,22.2%,28.6%,28.1%," 1,250 ",68%,32%, $2.80 ," $1,725,430 ",
1131,AL,"Wilcox County, Alabama",36.4%," 4,380 ",130.0%,SNAP,185.0%,Other Nutrition Program,65.1%,13.2%,21.8%,35.4%," 1,200 ",99%,1%, $2.94 ," $2,216,550 ",
1133,AL,"Winston County, Alabama",18.8%," 4,640 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.4%,33.2%,20.3%,34.6%," 1,910 ",67%,33%, $2.57 ," $2,052,610 ",
2013,AK,"Aleutians East Borough, Alaska",14.5%, 540 ,130.0%,SNAP,185.0%,Other Nutrition Program,67.2%,32.8%,0.0%,21.4%, 70 ,66%,34%, $2.69 ," $250,040 ",
2016,AK,"Aleutians West Census Area, Alaska",13.3%, 830 ,130.0%,SNAP,185.0%,Other Nutrition Program,50.9%,49.1%,0.0%,15.3%, 80 ,36%,64%, $4.67 ," $667,190 ",
2020,AK,"Anchorage Municipality, Alaska",12.3%," 35,090 ",130.0%,SNAP,185.0%,Other Nutrition Program,34.3%,16.7%,49.0%,17.0%," 12,460 ",51%,49%, $2.64 ," $15,945,680 ",
2050,AK,"Bethel Census Area, Alaska",20.4%," 3,440 ",130.0%,SNAP,185.0%,Other Nutrition Program,58.6%,28.8%,12.6%,28.2%," 1,720 ",75%,25%, $2.69 ," $1,592,820 ",
2060,AK,"Bristol Bay Borough, Alaska",9.1%, 90 ,130.0%,SNAP,185.0%,Other Nutrition Program,24.4%,26.5%,49.1%,13.0%, 50 ,29%,71%, $2.86 ," $44,310 ",
2068,AK,"Denali Borough, Alaska",13.1%, 150 ,130.0%,SNAP,185.0%,Other Nutrition Program,21.2%,22.3%,56.5%,17.3%, 50 ,48%,52%, $3.16 ," $81,590 ",
2070,AK,"Dillingham Census Area, Alaska",16.8%, 810 ,130.0%,SNAP,185.0%,Other Nutrition Program,56.0%,22.4%,21.6%,24.6%, 400 ,67%,33%, $2.78 ," $387,600 ",
2090,AK,"Fairbanks North Star Borough, Alaska",12.5%," 11,780 ",130.0%,SNAP,185.0%,Other Nutrition Program,32.6%,20.7%,46.7%,16.8%," 4,000 ",50%,50%, $2.78 ," $5,636,970 ",
2100,AK,"Haines Borough, Alaska",13.4%, 220 ,130.0%,SNAP,185.0%,Other Nutrition Program,29.1%,17.0%,53.9%,18.5%, 80 ,21%,79%, $2.85 ," $107,930 ",
2105,AK,"Hoonah-Angoon Census Area, Alaska",20.0%, 400 ,130.0%,SNAP,185.0%,Other Nutrition Program,44.3%,30.7%,25.0%,27.9%, 100 ,65%,35%, $2.78 ," $191,410 ",
2110,AK,"Juneau City and Borough, Alaska",10.8%," 3,340 ",130.0%,SNAP,185.0%,Other Nutrition Program,32.8%,17.4%,49.9%,16.0%," 1,170 ",44%,57%, $2.43 ," $1,397,040 ",
2122,AK,"Kenai Peninsula Borough, Alaska",14.7%," 7,930 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.1%,23.0%,37.9%,20.4%," 2,650 ",57%,43%, $3.09 ," $4,217,810 ",
2130,AK,"Ketchikan Gateway Borough, Alaska",12.7%," 1,700 ",130.0%,SNAP,185.0%,Other Nutrition Program,37.1%,21.3%,41.5%,17.9%, 570 ,55%,45%, $3.20 ," $936,390 ",
2150,AK,"Kodiak Island Borough, Alaska",12.9%," 1,720 ",130.0%,SNAP,185.0%,Other Nutrition Program,37.2%,24.2%,38.6%,18.8%, 730 ,48%,52%, $3.14 ," $929,640 ",
2164,AK,"Lake and Peninsula Borough, Alaska",16.7%, 270 ,130.0%,SNAP,185.0%,Other Nutrition Program,69.9%,21.2%,8.8%,22.7%, 180 ,74%,26%, $2.86 ," $132,920 ",
2170,AK,"Matanuska-Susitna Borough, Alaska",14.1%," 11,840 ",130.0%,SNAP,185.0%,Other Nutrition Program,37.2%,16.4%,46.4%,19.8%," 4,770 ",48%,52%, $3.08 ," $6,277,090 ",
2180,AK,"Nome Census Area, Alaska",20.6%," 1,920 ",130.0%,SNAP,185.0%,Other Nutrition Program,64.8%,23.4%,11.8%,29.0%, 910 ,78%,22%, $4.81 ," $1,589,650 ",
2185,AK,"North Slope Borough, Alaska",11.8%," 1,040 ",130.0%,SNAP,185.0%,Other Nutrition Program,50.2%,18.2%,31.6%,18.7%, 420 ,65%,35%, $-   , $-   ,
2188,AK,"Northwest Arctic Borough, Alaska",19.6%," 1,460 ",130.0%,SNAP,185.0%,Other Nutrition Program,60.4%,34.5%,5.1%,26.7%, 700 ,87%,13%, $3.09 ," $776,550 ",
2195,AK,"Petersburg Census Area, Alaska",14.2%, 550 ,130.0%,SNAP,185.0%,Other Nutrition Program,36.1%,14.4%,49.5%,,,0%,0%, $2.58 ," $244,250 ",
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",15.4%, 850 ,130.0%,SNAP,185.0%,Other Nutrition Program,54.0%,36.0%,10.0%,,,0%,0%, $2.60 ," $380,410 ",
2220,AK,"Sitka City and Borough, Alaska",11.4%," 1,010 ",130.0%,SNAP,185.0%,Other Nutrition Program,34.9%,23.2%,41.9%,16.3%, 320 ,44%,56%, $2.58 ," $448,540 ",
2230,AK,"Skagway Municipality, Alaska",17.2%, 200 ,130.0%,SNAP,185.0%,Other Nutrition Program,32.0%,35.8%,32.2%,19.6%, 40 ,76%,24%, $2.78 ," $95,700 ",
2240,AK,"Southeast Fairbanks Census Area, Alaska",15.4%," 1,070 ",130.0%,SNAP,185.0%,Other Nutrition Program,38.2%,18.2%,43.6%,20.7%, 380 ,54%,46%, $2.58 ," $475,180 ",
2261,AK,"Valdez-Cordova Census Area, Alaska",13.3%," 1,280 ",130.0%,SNAP,185.0%,Other Nutrition Program,30.5%,26.4%,43.2%,18.0%, 440 ,52%,48%, $4.45 ," $980,450 ",
2270,AK,"Wade Hampton Census Area, Alaska",27.4%," 2,030 ",130.0%,SNAP,185.0%,Other Nutrition Program,79.5%,20.5%,0.0%,37.5%," 1,150 ",93%,7%, $-   , $-   ,
2275,AK,"Wrangell City and Borough, Alaska",14.0%, 330 ,130.0%,SNAP,185.0%,Other Nutrition Program,38.3%,20.1%,41.6%,,,0%,0%, $2.58 ," $146,550 ",
2282,AK,"Yakutat City and Borough, Alaska",13.6%, 90 ,130.0%,SNAP,185.0%,Other Nutrition Program,19.0%,38.8%,42.2%,18.8%, 40 ,56%,44%, $2.83 ," $43,840 ",
2290,AK,"Yukon-Koyukuk Census Area, Alaska",22.2%," 1,250 ",130.0%,SNAP,185.0%,Other Nutrition Program,67.6%,22.5%,9.9%,31.8%, 490 ,77%,23%, $2.72 ," $585,240 ",
4001,AZ,"Apache County, Arizona",27.1%," 19,070 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",85.0%,N/A,15.0%,37.7%," 8,490 ",88%,12%, $2.47 ," $8,107,800 ",
4003,AZ,"Cochise County, Arizona",16.0%," 20,700 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",62.6%,N/A,37.4%,25.9%," 7,710 ",65%,35%, $2.40 ," $8,551,400 ",
4005,AZ,"Coconino County, Arizona",17.7%," 23,270 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",64.9%,N/A,35.1%,25.5%," 8,020 ",72%,28%, $2.47 ," $9,893,480 ",
4007,AZ,"Gila County, Arizona",19.1%," 10,150 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",73.9%,N/A,26.1%,29.4%," 3,420 ",82%,18%, $2.44 ," $4,262,960 ",
4009,AZ,"Graham County, Arizona",20.5%," 7,370 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",66.9%,N/A,33.1%,30.8%," 3,090 ",73%,27%, $2.41 ," $3,057,310 ",
4011,AZ,"Greenlee County, Arizona",16.1%," 1,340 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",74.2%,N/A,25.8%,27.0%, 640 ,58%,42%, $2.57 ," $592,780 ",
4012,AZ,"La Paz County, Arizona",18.5%," 3,800 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",84.4%,N/A,15.6%,32.2%," 1,170 ",90%,10%, $2.38 ," $1,556,740 ",
4013,AZ,"Maricopa County, Arizona",16.1%," 605,460 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",59.2%,N/A,40.8%,24.8%," 244,970 ",63%,37%, $2.43 ," $253,248,780 ",
4015,AZ,"Mohave County, Arizona",18.6%," 37,120 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",67.6%,N/A,32.4%,28.4%," 11,830 ",79%,21%, $2.38 ," $15,206,900 ",
4017,AZ,"Navajo County, Arizona",23.9%," 25,570 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",72.0%,N/A,28.0%,34.1%," 10,940 ",78%,22%, $2.42 ," $10,651,280 ",
4019,AZ,"Pima County, Arizona",16.4%," 158,630 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",66.8%,N/A,33.2%,26.2%," 57,770 ",69%,31%, $2.45 ," $66,897,060 ",
4021,AZ,"Pinal County, Arizona",18.0%," 59,240 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",58.1%,N/A,41.9%,26.7%," 22,440 ",69%,31%, $2.39 ," $24,370,730 ",
4023,AZ,"Santa Cruz County, Arizona",20.7%," 9,550 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",92.9%,N/A,7.1%,38.8%," 5,540 ",70%,30%, $2.21 ," $3,632,880 ",
4025,AZ,"Yavapai County, Arizona",17.5%," 36,720 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",61.6%,N/A,38.4%,26.2%," 10,540 ",71%,29%, $2.43 ," $15,359,060 ",
4027,AZ,"Yuma County, Arizona",27.1%," 51,630 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",78.3%,N/A,21.7%,42.9%," 22,990 ",76%,24%, $2.28 ," $20,262,480 ",
5001,AR,"Arkansas County, Arkansas",25.1%," 4,840 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.9%,18.1%,36.1%,29.2%," 1,240 ",76%,24%, $2.40 ," $1,999,460 ",
5003,AR,"Ashley County, Arkansas",20.7%," 4,580 ",130.0%,SNAP,185.0%,Other Nutrition Program,50.0%,21.8%,28.2%,26.1%," 1,440 ",75%,25%, $2.45 ," $1,931,470 ",
5005,AR,"Baxter County, Arkansas",16.3%," 6,740 ",130.0%,SNAP,185.0%,Other Nutrition Program,47.7%,27.8%,24.5%,30.3%," 2,160 ",73%,28%, $2.49 ," $2,888,780 ",
5007,AR,"Benton County, Arkansas",12.9%," 27,040 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.4%,28.3%,32.4%,24.2%," 13,940 ",56%,44%, $2.32 ," $10,798,170 ",
5009,AR,"Boone County, Arkansas",15.3%," 5,620 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.9%,27.7%,28.4%,26.4%," 2,210 ",66%,34%, $2.43 ," $2,350,710 ",
5011,AR,"Bradley County, Arkansas",23.4%," 2,720 ",130.0%,SNAP,185.0%,Other Nutrition Program,61.6%,18.9%,19.5%,30.9%, 850 ,84%,17%, $2.78 ," $1,301,580 ",
5013,AR,"Calhoun County, Arkansas",17.8%, 990 ,130.0%,SNAP,185.0%,Other Nutrition Program,52.8%,32.5%,14.8%,20.7%, 260 ,98%,2%, $2.73 ," $465,210 ",
5015,AR,"Carroll County, Arkansas",14.7%," 3,960 ",130.0%,SNAP,185.0%,Other Nutrition Program,52.6%,29.2%,18.2%,27.3%," 1,600 ",70%,31%, $2.41 ," $1,642,740 ",
5017,AR,"Chicot County, Arkansas",28.8%," 3,490 ",130.0%,SNAP,185.0%,Other Nutrition Program,65.0%,9.4%,25.5%,30.6%, 880 ,88%,12%, $2.76 ," $1,658,020 ",
5019,AR,"Clark County, Arkansas",20.4%," 4,710 ",130.0%,SNAP,185.0%,Other Nutrition Program,48.1%,15.0%,36.8%,25.3%," 1,160 ",72%,28%, $2.46 ," $1,994,400 ",
5021,AR,"Clay County, Arkansas",19.3%," 3,140 ",130.0%,SNAP,185.0%,Other Nutrition Program,51.0%,31.0%,18.0%,32.0%," 1,180 ",70%,30%, $2.31 ," $1,248,530 ",
5023,AR,"Cleburne County, Arkansas",15.7%," 4,040 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.4%,26.3%,28.3%,28.3%," 1,450 ",61%,39%, $2.47 ," $1,717,650 ",
5025,AR,"Cleveland County, Arkansas",17.2%," 1,510 ",130.0%,SNAP,185.0%,Other Nutrition Program,41.0%,25.6%,33.4%,26.6%, 590 ,63%,37%, $2.80 ," $727,760 ",
5027,AR,"Columbia County, Arkansas",22.7%," 5,620 ",130.0%,SNAP,185.0%,Other Nutrition Program,49.1%,12.3%,38.6%,26.0%," 1,460 ",78%,23%, $2.44 ," $2,360,380 ",
5029,AR,"Conway County, Arkansas",17.4%," 3,670 ",130.0%,SNAP,185.0%,Other Nutrition Program,48.2%,27.6%,24.2%,24.9%," 1,270 ",68%,32%, $2.41 ," $1,522,430 ",
